step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.4410663576230513,0.05794413796791719,0.04785616226619553,0.0,0.012960214388785815,6.836920777153339e-05,0.004197805865095525,0.3424950191240985,0.05,curated
1,0.44212147939905305,0.0404148619865342,0.01576265938581934,0.0,0.2726200250660964,0.00013575547002095235,0.0899488096114238,0.02415135972406276,0.05,curated
2,0.4457319976059303,0.02667917651813215,0.03993869189730891,0.0,0.4571186333645118,0.00018268630860224504,0.15085335709897102,0.016709312367326704,0.05,curated
3,0.440495567314376,0.01590536000829984,0.06425928666568002,0.0,0.5899042162079949,0.00016527673635207757,0.1947334752745869,0.012306486434458464,0.05,curated
4,0.438804066355065,0.007420716614770721,0.0007661279156702755,0.0,0.6862800144443807,0.00010616390647323155,0.2264717403306756,0.008419664704052678,0.05,curated
5,0.43859053978304047,0.0029369524765560594,-0.01054852320674431,0.0,0.7611327635834944,5.937133435371245e-05,0.2512234763737889,0.005668245267491017,0.05,curated
6,0.4386571520306726,0.001128004863539184,,0.0,0.820419812352067,4.550227015881688e-05,0.2707945183266212,0.004621172680414532,0.05,curated
7,0.43941840304741225,0.00038984590700814865,,0.0,0.8663174784764468,3.0545484047948906e-05,0.28591971928545307,0.0036003036039655,0.05,curated
8,0.438834209607581,0.00014075614257720625,,0.0,0.9018365310524254,2.076560710907962e-05,0.2976361263780661,0.002832167955497198,0.05,curated
9,0.4386438476263267,4.682358344053222e-05,,0.0,0.9285529290490793,1.3063151627453872e-05,0.3064571423185764,0.002174364207061501,0.05,curated
10,0.43885854994962187,1.5192602957340787e-05,,0.0,0.9483662448277914,7.550862334715985e-06,0.3129880341467049,0.0016098750293170384,0.05,curated
11,0.43884167967607124,4.909242562680309e-06,,0.0,0.9629431892546408,4.115459571881061e-06,0.3177906230493558,0.0011716971044009484,0.05,curated
12,0.43884149824222424,1.678384529104527e-06,,0.0,0.9735372539536286,2.195000914085241e-06,0.32127924607182295,0.0008480512457148848,0.05,curated
13,0.4388435428710224,5.461346286822143e-07,,0.0,0.981170831268891,1.166006661742166e-06,0.3237959499932188,0.0006119120127000599,0.05,curated
14,0.4388618458447527,1.8150284692889726e-07,,0.0,0.9866375085946929,6.04011465876035e-07,0.32559671251742,0.00043857308384957604,0.05,curated
15,0.43886181552143794,6.13450978046893e-08,,0.0,0.9905461698487334,3.0470583918527594e-07,0.32688415554756445,0.000311613683621772,0.05,curated
16,0.4388592803901389,2.1635263090502935e-08,,0.0,0.9933239157683005,1.5401898544352778e-07,0.3277998922579794,0.0002208848128908869,0.05,curated
17,0.43886380953958315,7.749416205175394e-09,,0.0,0.9952927577368849,7.709355194986414e-08,0.3284488513912154,0.0001560218933545343,0.05,curated
18,0.4388645908406001,2.6312014443675934e-09,,0.0,0.9966843887441671,3.866039668325241e-08,0.32890749048329715,0.00011046084053717209,0.05,curated
19,0.4388652358282538,8.995080938305769e-10,,0.0,0.9976665930350357,1.9148941013972443e-08,0.32923119666705974,7.764173917991001e-05,0.05,curated
20,0.4388648190576202,3.13148134055975e-10,,0.0,0.9983595646303989,9.543492999843307e-09,0.3294595321443892,5.480315958564575e-05,0.05,curated
21,0.43886440241996266,1.1245962558795581e-10,,0.0,0.9988474268036511,4.7308661887442125e-09,0.32962029393955733,3.856077486560139e-05,0.05,curated
22,0.43886452236564666,3.8906461972945595e-11,,0.0,0.9991906334801218,2.3423431760297735e-09,0.32973337677338826,2.7115315306787123e-05,0.05,curated
23,0.43886450193033755,1.3449791519142128e-11,,0.0,0.9994319718308846,1.158547735778342e-09,0.329812885189855,1.9075393103946682e-05,0.05,curated
24,0.4388644848597976,4.4515950567489825e-12,,0.0,0.9996015094455941,5.71688359334756e-10,0.32986873660161864,1.3392076477032333e-05,0.05,curated
25,0.43886448910447035,1.4616079267105349e-12,,0.0,0.999720552853002,2.8150900974489665e-10,0.3299079513952438,9.396789179305643e-06,0.05,curated
26,0.43886444667636704,5.230990582414121e-13,,0.0,0.9998041099672078,1.3883854065454855e-10,0.3299354737473979,6.599696125277888e-06,0.05,curated
27,0.43886443910248035,1.8232072877244005e-13,,0.0,0.9998627113175018,6.826565862868526e-11,0.3299547774906306,4.62660530970993e-06,0.05,curated
28,0.43886444813734277,6.208243968220891e-14,,0.0,0.9999037985212956,3.359169921027938e-11,0.32996831143170285,3.245980734334353e-06,0.05,curated
29,0.43886444544819303,2.176969556072483e-14,,0.0,0.9999326013526242,1.6517742174928524e-11,0.3299777990432663,2.2764189522206377e-06,0.05,curated
30,0.4388644413536551,7.344267585900536e-15,,0.0,0.9999527877043299,8.111798920131186e-12,0.3299844484709329,1.595389372965883e-06,0.05,curated
31,0.4388644411632838,2.506413349446852e-15,,0.0,0.9999669314696145,3.9840448566675936e-12,0.3299891074920946,1.1182242192830926e-06,0.05,curated
32,0.4388644404071709,8.971641112351328e-16,,0.0,0.9999768407214514,1.95288299311471e-12,0.3299923714875316,7.829326369801492e-07,0.05,curated
33,0.4388644412620032,2.910953097151584e-16,,0.0,0.9999837813756352,9.5767560562064e-13,0.3299946577110797,5.482884377272513e-07,0.05,curated
34,0.43886444099085337,9.689373900168086e-17,,0.0,0.9999886429445591,4.69598599145123e-13,0.32999625906161006,3.839422096518774e-07,0.05,curated
35,0.438864441009076,3.4495255990932215e-17,,0.0,0.9999920477600561,2.302606929943726e-13,0.3299973805963654,2.688492369884443e-07,0.05,curated
36,0.4388644410330989,1.1943112399180151e-17,,0.0,0.999994432049292,1.1289383783442205e-13,0.3299981659593091,1.882569921463073e-07,0.05,curated
37,0.4388644409596182,3.993861574733384e-18,,0.0,0.9999961016502232,5.533139225445629e-14,0.32999871591087254,1.317924362354006e-07,0.05,curated
38,0.4388644409821619,1.383604480955361e-18,,0.0,0.999997270695474,2.7117888103692652e-14,0.32999910098496216,9.226912482063199e-08,0.05,curated
