step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.4410663576230513,0.05794413796791719,0.0,0.006860852060309723,echo,0.19831223628691982,0.3102705678526703,0.2737162331095008,0.12868925172695306,0,0,,0.43
1,0.44150929264230393,0.04316154179574279,0.0,0.1252960578893071,echo,0.19831223628691982,0.26475508379491075,0.20562892450853343,0.12601103729730184,63,262,0.19384615384615383,0.44
2,0.4410740966760916,0.033865905311469845,0.0,0.24481787079895342,echo,0.19831223628691982,0.22559197076893447,0.15996378310254963,0.12498287995813223,65,291,0.18258426966292135,0.44
3,0.4374264861359409,0.025411213894196205,0.0,0.15721933401619512,echo,0.19831223628691982,0.19327597859533485,0.12685113116360977,0.11288695915551894,73,318,0.1867007672634271,0.4
4,0.4376698480307835,0.01878839562464905,0.0,0.21200454982938136,echo,0.19831223628691982,0.16017465576351003,0.0994333826138249,0.10118592002187932,82,339,0.19477434679334918,0.39
5,0.43715212401213277,0.014307804601608957,0.0,0.22424211904522107,echo,0.19831223628691982,0.13411470693972266,0.07868357318843086,0.09309204784968944,86,355,0.19501133786848074,0.33
6,0.4367563383599402,0.011073590166023894,0.0,0.15908827953256993,echo,0.19831223628691982,0.11314463355785777,0.062117424153840445,0.08509765522738694,87,364,0.19290465631929046,0.29
7,0.43667349755415424,0.009149871889207543,0.0,-0.02265372168284995,echo,0.19831223628691982,0.09832313774701994,0.05113247969644214,0.0774913108212098,87,364,0.19290465631929046,0.24
8,0.43665841044578213,0.007935214233237543,0.0,-0.015261044176704435,echo,0.19831223628691982,0.08753717717619212,0.04343879458756053,0.07049837292991984,88,363,0.1951219512195122,0.18
9,0.4362962584091741,0.007108060602912913,0.0,-0.015261044176704435,echo,0.19831223628691982,0.07842761645901697,0.037761353504393934,0.06443013517082768,85,366,0.188470066518847,0.16
