step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.09067663236258802,0.4505130185318071,0.1,0.009625954763708469,curated,0.04801670146137787,0.6843052462233284,0.7639303104117144,,0,0,,0.41
1,0.09105817272865195,0.4478987218319928,0.03,-0.008412231413633947,curated,0.04801670146137787,0.6878212921463382,0.7588206672458423,,7,49,0.125,0.44
2,0.09066509528980574,0.44114346304763047,0.0,-0.014827428162097155,curated,0.04801670146137787,0.687308837757394,0.7477333394408588,,2,54,0.03571428571428571,0.45
3,0.08743850945671068,0.43727576445485267,0.0,-0.012858092494697784,curated,0.04801670146137787,0.6756829900866751,0.7395204739041263,,3,58,0.04918032786885246,0.45
4,0.08743155951925655,0.4344276618237483,0.0,-0.020805601064919087,curated,0.04801670146137787,0.671999263134722,0.7335861212071091,,5,55,0.08333333333333333,0.45
5,0.08830736111874407,0.43376077514229877,0.0,-0.01672542510040886,curated,0.04801670146137787,0.6672199052848252,0.7300392007410584,,2,67,0.028985507246376812,0.45
6,0.08816358448546396,0.4337337986734262,0.0,-0.01672542510040886,curated,0.04801670146137787,0.6649633176942227,0.7278807581736814,,4,67,0.056338028169014086,0.45
7,0.08801396564512197,0.43337395327426426,0.0,-0.023145598664997994,curated,0.04801670146137787,0.6627157085917802,0.7265821562956734,,8,68,0.10526315789473684,0.45
8,0.08794622244427604,0.433491022098791,0.0,-0.03603731879636033,curated,0.04801670146137787,0.6615901717290626,0.7260793472113611,,7,67,0.0945945945945946,0.45
9,0.08792622657741545,0.433492518273287,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6600475388010435,0.7257561300887869,,3,66,0.043478260869565216,0.45
10,0.08796077617455582,0.4335527044952577,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6592405625409904,0.725637375943008,,6,70,0.07894736842105263,0.45
11,0.08799012861866506,0.4335827459116597,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6588895363326686,0.7255083358808581,,4,67,0.056338028169014086,0.45
12,0.08797373673260152,0.43357389475872055,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6584895028196326,0.7254177823311398,,4,69,0.0547945205479452,0.45
13,0.0879763644444753,0.4335649473047738,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6583138569348417,0.7253682766299493,,5,66,0.07042253521126761,0.45
14,0.08796425773873849,0.4335686543639295,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6582238115778086,0.7253485110667055,,3,60,0.047619047619047616,0.45
15,0.08796294630430788,0.43356967123724827,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581865584822031,0.7253367302569231,,2,64,0.030303030303030304,0.45
16,0.08796254594970594,0.4335686656095,0.0,-0.03771702802296681,curated,0.04801670146137787,0.658156883583619,0.7253278392287212,,4,60,0.0625,0.45
17,0.08796398750286395,0.4335691407383434,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581435793102947,0.7253228809418342,,4,65,0.057971014492753624,0.45
18,0.08796322652111269,0.43356909573752533,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581355630683755,0.7253203913703693,,6,56,0.0967741935483871,0.45
19,0.0879637519786785,0.4335694142485135,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581306682235798,0.7253191747700484,,1,72,0.0136986301369863,0.45
20,0.08796364899165338,0.43356967934947904,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581287148240413,0.7253183726829276,,5,60,0.07692307692307693,0.45
21,0.0879637983194631,0.43356980085141344,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581268330087735,0.7253179401864245,,2,63,0.03076923076923077,0.45
22,0.08796379507214454,0.43356973665843673,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581256451101127,0.7253174975678292,,6,66,0.08333333333333333,0.45
23,0.08796385119807992,0.43356980267566814,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581250585279219,0.7253173406105651,,2,61,0.031746031746031744,0.45
24,0.08796386298920393,0.43356981720401044,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581246889521039,0.725317241969221,,4,62,0.06060606060606061,0.45
25,0.08796387310224973,0.43356980740343837,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581245012935459,0.7253171546166315,,3,41,0.06818181818181818,0.45
26,0.0879638680786098,0.4335698063711995,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581243726107641,0.7253171111087865,,2,52,0.037037037037037035,0.45
27,0.08796387386966581,0.4335698004440729,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581243114624341,0.7253170738619934,,4,56,0.06666666666666667,0.45
28,0.08796386961673813,0.43356979683482727,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242717122006,0.7253170582260329,,6,70,0.07894736842105263,0.45
29,0.08796386815660069,0.4335697973351463,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242547822853,0.7253170513518123,,3,57,0.05,0.45
30,0.08796386760526005,0.4335697964454042,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242439539163,0.7253170471407062,,3,64,0.04477611940298507,0.45
31,0.08796386673544401,0.43356979610165103,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242360128062,0.7253170442282784,,6,57,0.09523809523809523,0.45
32,0.08796386678896036,0.4335697962087581,0.0,-0.03771702802296681,curated,0.04801670146137787,0.658124232234198,0.7253170427915361,,5,66,0.07042253521126761,0.45
33,0.08796386669059186,0.4335697960887261,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242297160447,0.7253170418442912,,1,58,0.01694915254237288,0.45
34,0.08796386681778323,0.4335697960870014,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242277989832,0.7253170413935595,,6,57,0.09523809523809523,0.45
35,0.08796386673460276,0.43356979598007084,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242271095114,0.725317041014685,,4,54,0.06896551724137931,0.45
36,0.08796386670564134,0.4335697959553674,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242263120516,0.725317040801478,,3,71,0.04054054054054054,0.45
37,0.08796386668493648,0.4335697959391079,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242260885309,0.7253170406854782,,3,57,0.05,0.45
38,0.08796386668590696,0.4335697959306967,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242259217535,0.7253170406219117,,3,57,0.05,0.45
39,0.0879638666893791,0.4335697959322349,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242258241653,0.7253170405954675,,2,48,0.04,0.45
40,0.08796386669089767,0.43356979593308126,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257780114,0.725317040576839,,4,68,0.05555555555555555,0.45
41,0.08796386668958935,0.433569795935572,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257573213,0.7253170405684941,,3,63,0.045454545454545456,0.45
42,0.08796386668929677,0.433569795937212,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257414022,0.7253170405631658,,5,63,0.07352941176470588,0.45
43,0.08796386668839844,0.4335697959364719,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257344242,0.7253170405584963,,8,52,0.13333333333333333,0.45
44,0.08796386668855127,0.4335697959360145,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257308163,0.7253170405562153,,3,63,0.045454545454545456,0.45
45,0.08796386668891758,0.4335697959359257,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257280118,0.7253170405546602,,2,64,0.030303030303030304,0.45
46,0.08796386668900948,0.4335697959358306,0.0,-0.03771702802296681,curated,0.04801670146137787,0.65812422572706,0.72531704055369,,1,55,0.017857142857142856,0.45
47,0.08796386668904682,0.43356979593579154,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257257537,0.7253170405532072,,6,53,0.1016949152542373,0.45
48,0.08796386668906195,0.4335697959358392,0.0,-0.03771702802296681,curated,0.04801670146137787,0.658124225725329,0.7253170405529462,,5,53,0.08620689655172414,0.45
49,0.08796386668906214,0.43356979593584705,0.0,-0.03771702802296681,curated,0.04801670146137787,0.658124225725065,0.7253170405527869,,6,61,0.08955223880597014,0.45
50,0.08796386668906188,0.43356979593585104,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257249319,0.7253170405527078,,5,67,0.06944444444444445,0.45
51,0.08796386668906983,0.433569795935857,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257248153,0.7253170405526552,,4,64,0.058823529411764705,0.45
52,0.08796386668908207,0.4335697959358608,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257247544,0.7253170405526276,,1,53,0.018518518518518517,0.45
53,0.08796386668908206,0.4335697959358595,0.0,-0.03771702802296681,curated,0.04801670146137787,0.658124225724706,0.7253170405526114,,2,59,0.03278688524590164,0.45
54,0.0879638666890819,0.4335697959358589,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246802,0.7253170405526003,,3,49,0.057692307692307696,0.45
55,0.0879638666890827,0.43356979593586,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246646,0.7253170405525956,,1,62,0.015873015873015872,0.45
56,0.08796386668908189,0.43356979593586,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246573,0.7253170405525919,,3,70,0.0410958904109589,0.45
57,0.08796386668908218,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246517,0.7253170405525904,,4,59,0.06349206349206349,0.45
58,0.08796386668908213,0.4335697959358604,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246481,0.7253170405525892,,1,64,0.015384615384615385,0.45
59,0.08796386668908221,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246462,0.7253170405525886,,4,57,0.06557377049180328,0.45
60,0.08796386668908218,0.43356979593586054,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246452,0.7253170405525882,,4,56,0.06666666666666667,0.45
61,0.0879638666890822,0.4335697959358606,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246442,0.7253170405525878,,4,46,0.08,0.45
62,0.08796386668908214,0.43356979593586054,0.0,-0.03771702802296681,curated,0.04801670146137787,0.658124225724644,0.7253170405525876,,6,70,0.07894736842105263,0.45
63,0.08796386668908215,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246439,0.7253170405525875,,6,67,0.0821917808219178,0.45
64,0.08796386668908218,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246436,0.7253170405525874,,2,59,0.03278688524590164,0.45
65,0.08796386668908215,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246436,0.7253170405525874,,3,52,0.05454545454545454,0.45
66,0.08796386668908218,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246436,0.7253170405525874,,3,79,0.036585365853658534,0.45
67,0.08796386668908218,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246436,0.7253170405525874,,5,64,0.07246376811594203,0.45
68,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,55,0.06779661016949153,0.45
69,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,55,0.06779661016949153,0.45
70,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,2,55,0.03508771929824561,0.45
71,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,65,0.057971014492753624,0.45
72,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,1,54,0.01818181818181818,0.45
73,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,7,55,0.11290322580645161,0.45
74,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,60,0.047619047619047616,0.45
75,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,56,0.05084745762711865,0.45
76,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,50,0.07407407407407407,0.45
77,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,60,0.047619047619047616,0.45
78,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,65,0.04411764705882353,0.45
79,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,55,0.06779661016949153,0.45
80,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,59,0.04838709677419355,0.45
81,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,58,0.06451612903225806,0.45
82,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,61,0.046875,0.45
83,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,2,69,0.028169014084507043,0.45
84,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,62,0.06060606060606061,0.45
85,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,2,57,0.03389830508474576,0.45
86,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,3,47,0.06,0.45
87,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,4,57,0.06557377049180328,0.45
88,0.08796386668908214,0.4335697959358605,0.0,-0.03771702802296681,curated,0.04801670146137787,0.6581242257246435,0.7253170405525874,,2,59,0.03278688524590164,0.45
