step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.09067663236258802,0.4505130185318071,0.27,-0.019292092655448446,mixed,0.05,0.5108633867146486,0.7830088050442398,,0,0,,0.41
1,0.08924744322744288,0.44098133688036606,0.23,-0.0035043427970835594,mixed,0.05,0.5151184102241626,0.7564786618504192,,20,259,0.07168458781362007,0.44
2,0.09099681754758439,0.43408730070602464,0.18,-0.006809950638345377,mixed,0.05,0.5051118620764103,0.7372160753873801,,17,273,0.05862068965517241,0.45
3,0.0909526670285302,0.4292163661973023,0.13,-0.0041536718739074285,mixed,0.05,0.5027960964164125,0.7253417787217096,,18,273,0.061855670103092786,0.45
4,0.09094788058550606,0.4268438673881541,0.12,0.0048381499740455525,mixed,0.05,0.5061202308568,0.7177902570627924,,17,274,0.058419243986254296,0.45
5,0.09191010631703392,0.4242488248907911,0.1,0.021985080932181458,mixed,0.05,0.499510243187155,0.7131417358376048,,19,265,0.06690140845070422,0.45
6,0.0914227304909139,0.42395478419463756,0.08,0.023602094605982733,mixed,0.05,0.48908175643887797,0.7108409791910076,,17,270,0.059233449477351915,0.45
7,0.09066399549914575,0.4220415022164116,0.06,0.033437826541274744,mixed,0.05,0.48772792728002995,0.7070036281527693,,19,279,0.06375838926174497,0.45
8,0.08987818228470955,0.42080815901903046,0.02,0.033437826541274744,mixed,0.05,0.48651186526540535,0.7046053280667633,,19,277,0.06418918918918919,0.46
9,0.08985197290259764,0.4209290989948871,0.01,0.03347149176273906,mixed,0.05,0.4825410253597147,0.7037396966213375,,15,269,0.0528169014084507,0.46
10,0.08933077360539646,0.4206537067511751,0.01,0.03066619668664083,mixed,0.05,0.4801118961970687,0.7026380060424632,,20,280,0.06666666666666667,0.46
11,0.08937388265676499,0.41992537129163493,0.01,0.025444751577007457,mixed,0.05,0.47875660824386485,0.7015788568533392,,19,268,0.06620209059233449,0.46
12,0.08929384441144302,0.41966501963732683,0.01,0.025444751577007457,mixed,0.05,0.4761996859779455,0.7011289034299669,,22,267,0.07612456747404844,0.46
13,0.0895791048724022,0.4197843577499051,0.01,0.021204248033428737,mixed,0.05,0.4729126920929908,0.7009689602881621,,19,273,0.06506849315068493,0.46
14,0.08955850349101085,0.4189523261472118,0.01,0.021204248033428737,mixed,0.05,0.47165819198665654,0.6997508702172119,,17,278,0.0576271186440678,0.46
15,0.08923714053292096,0.41846093612647595,0.01,0.015377397509738239,mixed,0.05,0.46981601258136535,0.6988519345714613,,18,271,0.06228373702422145,0.46
16,0.08921164074733207,0.4178336875091723,0.01,0.015377397509738239,mixed,0.05,0.46794747290145283,0.6979485799283477,,19,275,0.06462585034013606,0.46
17,0.0888989418970476,0.41770640523298846,0.01,0.010367870150337254,mixed,0.05,0.4671622495437846,0.6974609895437518,,22,273,0.07457627118644068,0.46
18,0.08869188456241414,0.4178310941307469,0.01,0.010367870150337254,mixed,0.05,0.4666874645033634,0.6972957562382398,,17,269,0.05944055944055944,0.46
19,0.08891869589417148,0.4179290935875819,0.01,0.01032446996163049,mixed,0.05,0.46659641408816976,0.6971869564000743,,16,280,0.05405405405405406,0.46
20,0.08871546632365973,0.4176653646644557,0.01,0.01032446996163049,mixed,0.05,0.4664535832698668,0.6967874577092612,,18,275,0.06143344709897611,0.46
21,0.08878518225892679,0.41775650638334466,0.01,0.01032446996163049,mixed,0.05,0.4650864314487292,0.6968912033387595,,18,276,0.061224489795918366,0.46
22,0.08907260429303232,0.4178319429281218,0.01,0.01032446996163049,mixed,0.05,0.4642275661176391,0.696758689883246,,17,280,0.05723905723905724,0.46
23,0.08882948187314059,0.41730700209618254,0.01,0.01032446996163049,mixed,0.05,0.4640094193103495,0.6963380971566498,,16,269,0.056140350877192984,0.46
24,0.08876911451692146,0.41693722572259795,0.01,0.01032446996163049,mixed,0.05,0.46370297595760485,0.6956511483343963,,16,277,0.05460750853242321,0.46
25,0.08895905721164142,0.41682146133908143,0.01,0.01032446996163049,mixed,0.05,0.46357157375234026,0.6955900345474637,,21,281,0.0695364238410596,0.46
26,0.08886104470605707,0.4165056415669396,0.01,0.01032446996163049,mixed,0.05,0.4632714838914721,0.6950896795653718,,17,269,0.05944055944055944,0.46
27,0.08880941678251718,0.41627621771274326,0.01,0.01032446996163049,mixed,0.05,0.4630269460295995,0.6948571851650737,,20,265,0.07017543859649122,0.46
28,0.08904702433330193,0.41621603047323885,0.01,0.01032446996163049,mixed,0.05,0.46181949512216497,0.694986075699358,,18,268,0.06293706293706294,0.46
29,0.08899174555606432,0.41636987024722033,0.01,0.01032446996163049,mixed,0.05,0.4618005443014961,0.6950371737189649,,14,280,0.047619047619047616,0.46
30,0.08905828380109311,0.4164463317856527,0.01,0.01032446996163049,mixed,0.05,0.46108489115149015,0.6950824587320847,,16,268,0.056338028169014086,0.46
31,0.08914005012882628,0.41607441193147815,0.01,0.01032446996163049,mixed,0.05,0.460533872102412,0.6945808167513756,,19,273,0.06506849315068493,0.46
32,0.08932896175741792,0.41627323065044597,0.01,0.01032446996163049,mixed,0.05,0.4599598248147408,0.694786514217832,,17,262,0.06093189964157706,0.46
33,0.08932333265567519,0.41620200961448417,0.01,0.01032446996163049,mixed,0.05,0.4605239812584111,0.6946199841798036,,15,292,0.048859934853420196,0.46
34,0.08937493309331197,0.4162483093800591,0.01,0.01032446996163049,mixed,0.05,0.46060016046236485,0.6946362823960698,,20,276,0.06756756756756757,0.46
35,0.08935430317949876,0.4162248000250456,0.01,0.01032446996163049,mixed,0.05,0.4603981883870004,0.69461718788392,,17,283,0.056666666666666664,0.46
36,0.08927788269097155,0.4161823857901767,0.01,0.01032446996163049,mixed,0.05,0.4598606163865599,0.6944274875022858,,23,274,0.07744107744107744,0.46
37,0.08921615701209379,0.4161321418258359,0.01,0.01032446996163049,mixed,0.05,0.46011665993212136,0.6943162388264458,,17,269,0.05944055944055944,0.46
38,0.08918568510454626,0.41610199734284814,0.01,0.01032446996163049,mixed,0.05,0.4603849158283414,0.6941959655561375,,18,283,0.059800664451827246,0.46
39,0.08931848487676904,0.41610106427714155,0.01,0.01032446996163049,mixed,0.05,0.45997537158667784,0.6942808188572895,,19,271,0.06551724137931035,0.46
40,0.08929466305802414,0.41590292976331544,0.01,0.01032446996163049,mixed,0.05,0.4597407775227255,0.6940130380425806,,19,282,0.06312292358803986,0.46
41,0.0893131180812914,0.4158458762032562,0.01,0.01032446996163049,mixed,0.05,0.4596565404337972,0.6939817155403498,,21,278,0.07023411371237458,0.46
42,0.08947357034169318,0.41589583120030915,0.01,0.01032446996163049,mixed,0.05,0.45991399680770056,0.6939873029418928,,20,270,0.06896551724137931,0.46
43,0.08939639993398041,0.41570795826775075,0.01,0.01032446996163049,mixed,0.05,0.4593894769996289,0.6937843846141507,,21,273,0.07142857142857142,0.46
44,0.0894066292170339,0.41572193100765753,0.01,0.01032446996163049,mixed,0.05,0.4596300192444209,0.6938131490756625,,20,281,0.0664451827242525,0.46
45,0.08937826540165879,0.41576440128762987,0.01,0.01032446996163049,mixed,0.05,0.45971163214794375,0.6938420063605885,,20,290,0.06451612903225806,0.46
46,0.08942822502585489,0.41577740038488575,0.01,0.01032446996163049,mixed,0.05,0.45981795015086585,0.6938514545848835,,19,268,0.06620209059233449,0.46
47,0.0894928748129623,0.41580276981620834,0.01,0.01032446996163049,mixed,0.05,0.4598596246085587,0.6938434706804808,,22,270,0.07534246575342465,0.46
48,0.0895560380315188,0.41580730278254696,0.01,0.01032446996163049,mixed,0.05,0.4595574032264157,0.6938020093584955,,21,278,0.07023411371237458,0.46
