step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.29278796416504177,0.35351750339630406,-0.028043072942429845,0.11,0.022844774273345702,0.0005203495003173671,0.01110535947308219,0.5105208431382945,0.03,echo
1,0.29709841679442844,0.3474395237191375,0.00690322060759088,0.05,0.23600298836933703,0.013557831826695049,0.11573137074699433,0.23110790659262123,0.03,echo
2,0.3005208543070058,0.343398883310071,0.017124640297917954,0.03,0.39800175939562155,0.03612563476954366,0.1958855099694896,0.21147379296738322,0.03,echo
3,0.30140684946933827,0.3422569958435075,0.017124640297917954,0.03,0.5176305658859418,0.058380598813184366,0.2554661291371586,0.1994676783747289,0.03,echo
4,0.30123928027272323,0.34172183702152864,0.017124640297917954,0.03,0.603767406332704,0.07829683199060061,0.2984706359383803,0.19291413801629745,0.03,echo
5,0.3014722078912767,0.3417194577934079,0.020689259376165774,0.03,0.6655616134964231,0.09468271209903215,0.32936374876852526,0.1887065867899736,0.03,echo
6,0.30156342989579027,0.34169920491356925,0.020689259376165774,0.03,0.7096045895798043,0.10747948769208242,0.35139366174736,0.18601979541721833,0.03,echo
7,0.30171448141419044,0.3417523835106951,0.02871616814184476,0.03,0.7410154401205896,0.11717988384893153,0.3671114426250939,0.18419672016061042,0.03,echo
8,0.30177028794308103,0.34177815035049114,0.028883349093097217,0.03,0.7633725238407676,0.12437512641795925,0.3782984467789811,0.18288899561344749,0.03,echo
9,0.30190592171225644,0.34184500105078913,0.028883349093097217,0.03,0.7793010560081819,0.12965039773615797,0.3862693560548013,0.18198089682356852,0.03,echo
10,0.30199893668865063,0.3419276052538654,0.028883349093097217,0.03,0.7907509988494188,0.13351716741619715,0.391992446933197,0.18126963351213873,0.03,echo
11,0.30210652992372394,0.3419609318740946,0.028883349093097217,0.03,0.7989759753508707,0.13633280756159716,0.39609465818118883,0.18069306469155108,0.03,echo
12,0.30221683285461426,0.34201323259470234,0.028883349093097217,0.03,0.8048239483975733,0.13835473392761724,0.3990100971173174,0.180280373320349,0.03,echo
13,0.30229858175060265,0.3420568597696366,0.028883349093097217,0.03,0.8091104453054317,0.13984655948338373,0.4011401007424775,0.17992872714218336,0.03,echo
14,0.3023727163958824,0.3420853896644493,0.028883349093097217,0.03,0.8121446940244479,0.1409081358639402,0.40264870600515335,0.1796860988958983,0.03,echo
15,0.30245681626169696,0.34213146099423125,0.028883349093097217,0.03,0.8143950579291013,0.14169780639657426,0.40376049047042456,0.17946084349020083,0.03,echo
16,0.3025315704372677,0.3421835740161898,0.028883349093097217,0.03,0.8160274557659817,0.14227215082943612,0.404566986164497,0.17929145082227949,0.03,echo
17,0.3025750203001417,0.3421972647045265,0.028883349093097217,0.03,0.8172192306832747,0.1426922530153519,0.40515286964781483,0.17916000999017626,0.03,echo
18,0.3026149383845228,0.34221094058373325,0.028883349093097217,0.03,0.8180962750344978,0.14300176174134177,0.4055824347498768,0.17905115671476082,0.03,echo
19,0.30265703424560336,0.3422298352746362,0.028883349093097217,0.03,0.8187673509843278,0.14323865801017066,0.40590757102198255,0.17894895713061515,0.03,echo
20,0.3026677624636068,0.34221659378273933,0.028883349093097217,0.03,0.8192748404348204,0.1434178648790966,0.40615166021957494,0.17886064944389346,0.03,echo
21,0.30268924001390596,0.3422143611839326,0.028883349093097217,0.03,0.8196628921561333,0.14355494840476446,0.40633719642134275,0.17878358095516775,0.03,echo
22,0.30270753492994285,0.3422136533571162,0.028883349093097217,0.03,0.8199721168717633,0.14366420792217405,0.4064841338365504,0.17871526572099797,0.03,echo
23,0.30271645452503104,0.34220366319548545,0.028883349093097217,0.03,0.8202208595552056,0.14375200643682134,0.4065994244527398,0.17864305175795636,0.03,echo
24,0.30274056269952754,0.34221265859509964,0.028883349093097217,0.03,0.8204163791254175,0.14382112330764615,0.40669078963533595,0.17858936314615192,0.03,echo
25,0.3027603634125747,0.34221280014103883,0.028883349093097217,0.03,0.8205615032282532,0.14387240764311093,0.40675726338512314,0.17854438256030492,0.03,echo
26,0.3027879256624806,0.3422275124121428,0.028883349093097217,0.03,0.8206925063177478,0.1439186927903519,0.4068173781919146,0.1784989141873902,0.03,echo
27,0.3028020475517149,0.34222884132080933,0.028883349093097217,0.03,0.8207988237562194,0.14395624215672484,0.40686564960533383,0.17845726569192222,0.03,echo
28,0.3027807738465468,0.34219854129637567,0.028883349093097217,0.03,0.8208926003009135,0.14398934998989488,0.4069072328893183,0.17841514235382105,0.03,echo
29,0.30277696867860354,0.34218443128196196,0.020802635000433348,0.03,0.8209737137259259,0.1440179963061789,0.4069433624998257,0.17837806803265835,0.03,echo
30,0.30278873923074573,0.3421862655733186,0.020802635000433348,0.03,0.8210394178491582,0.14404121498724787,0.4069727139753758,0.178347842262813,0.03,echo
31,0.302783988079535,0.34217340688774156,0.020802635000433348,0.03,0.8211044345233041,0.1440642066067836,0.4070014139454474,0.1783184726617567,0.03,echo
