step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.4410663576230513,0.05794413796791719,0.04785616226619553,0.0,0.012960214388785815,6.836920777153339e-05,0.0065868113325315055,0.3424950191240985,0.03,curated
1,0.43598772483927595,0.039811985448667195,0.04661351391542088,0.0,0.27366482252265834,0.0001221052840085213,0.13756235263608688,0.022496877937593352,0.03,curated
2,0.4370134983011457,0.024359543965487382,0.06459366080817203,0.0,0.45761228940854776,0.0001653785717878073,0.2302570153431174,0.015834358969453035,0.03,curated
3,0.4369846324455871,0.013402055778057486,0.06925028337021634,0.0,0.5905443154949652,0.00013546039318985305,0.2974072763479496,0.011209308213033325,0.03,curated
4,0.4415604600725963,0.0061098230862414275,0.06209790209790169,0.0,0.6893206946630518,0.00011100670345262407,0.347356682838426,0.00859089924644124,0.03,curated
5,0.4405050538492141,0.002516660344787455,0.055348338692391474,0.0,0.7658856461644448,9.742914168093419e-05,0.38601964987586546,0.007290506278464761,0.03,curated
6,0.4394024284592216,0.000990034003321873,,0.0,0.8250379553326096,7.335214087728647e-05,0.41586918093335973,0.00583459610628239,0.03,curated
7,0.43981895989740527,0.00035953691542701775,,0.0,0.870404057477078,4.9593084104710756e-05,0.43875316583484403,0.0045648100813524195,0.03,curated
8,0.43987616428173126,0.00013438911962474577,,0.0,0.9049081622156379,3.0206471884831095e-05,0.4561349107830871,0.003387722703599252,0.03,curated
9,0.43967641819609954,4.551192383044427e-05,,0.0,0.9307534541709838,1.7846350120547316e-05,0.4691577572203521,0.0025269686167807494,0.03,curated
10,0.4397329287025383,1.4961099988240204e-05,,0.0,0.9499421051272986,1.0177030247655867e-05,0.4788412879812316,0.0018602115966676535,0.03,curated
11,0.43970185527758265,5.019045858476613e-06,,0.0,0.9640541689279638,5.554725156042516e-06,0.4859531727919771,0.001347596105250517,0.03,curated
12,0.43967428824090427,1.8550931674674533e-06,,0.0,0.9743173914196009,2.9008276224021343e-06,0.49112753048447494,0.0009611874771007933,0.03,curated
13,0.43966995119931335,5.862175238428627e-07,,0.0,0.9816849981604353,1.5448176895787227e-06,0.49484357402541007,0.0006953158527414871,0.03,curated
14,0.43963879874531747,2.0160940923366298e-07,,0.0,0.9869978168487284,7.937819157045263e-07,0.49752488812025747,0.0004973334085448755,0.03,curated
15,0.4396410071753562,6.719535260422868e-08,,0.0,0.9907937327518713,4.078454078600965e-07,0.49943931250897916,0.00035480144618489363,0.03,curated
16,0.4396390435928241,2.2965725542590513e-08,,0.0,0.9934960608071429,2.092812517004847e-07,0.5008018474047838,0.0002535024296167876,0.03,curated
17,0.4396417927663924,7.979523453855418e-09,,0.0,0.9954118833480305,1.0557649797168857e-07,0.5017680171462598,0.00017977241533657207,0.03,curated
18,0.43964268552643415,2.592986879707708e-09,,0.0,0.9967666733141729,5.2649942438781436e-08,0.5024511854325934,0.0001267185299083451,0.03,curated
19,0.43964076037606054,8.783854261271853e-10,,0.0,0.9977248714036584,2.5966347728738897e-08,0.5029343397982176,8.897000715961667e-05,0.03,curated
20,0.43964056678390684,3.023918217014898e-10,,0.0,0.9984002833274103,1.2953874079440215e-08,0.5032750162226087,6.278216956317806e-05,0.03,curated
21,0.4396403232348586,1.0343826407012921e-10,,0.0,0.9988761972436373,6.391401298980386e-09,0.5035150159207459,4.406107384212987e-05,0.03,curated
22,0.4396400137186853,3.370937569644603e-11,,0.0,0.9992109766188926,3.1681000176986863e-09,0.5036838619426075,3.1019734549175834e-05,0.03,curated
23,0.43963985504032443,1.1699442169282323e-11,,0.0,0.9994463524299743,1.5578579800640806e-09,0.503802562199571,2.1745819626204366e-05,0.03,curated
24,0.4396398105255364,3.9670162788877554e-12,,0.0,0.9996116656163551,7.668072521238206e-10,0.5038859268957586,1.5254440610732444e-05,0.03,curated
25,0.439639798771727,1.3937475968033822e-12,,0.0,0.9997277103755041,3.769558569627828e-10,0.5039444497103305,1.0692352666552552e-05,0.03,curated
26,0.4396397952359422,4.551105451757401e-13,,0.0,0.9998091248770519,1.8538109256224262e-10,0.5039855055297735,7.4981310405064505e-06,0.03,curated
27,0.43963979238489226,1.4824572063204607e-13,,0.0,0.9998662316138958,9.108241179332921e-11,0.5040143046166586,5.253780265803698e-06,0.03,curated
28,0.4396397801871315,5.2842110835746194e-14,,0.0,0.9999062725333137,4.4713227768451644e-11,0.5040344960902818,3.681006298563716e-06,0.03,curated
29,0.4396397785732937,1.8465181015903293e-14,,0.0,0.9999343389274118,2.19411476331816e-11,0.5040486490241035,2.578004624069763e-06,0.03,curated
30,0.43963977211425864,6.2751503106559364e-15,,0.0,0.9999540061759685,1.0768826521921168e-11,0.5040585668147954,1.8057603755039508e-06,0.03,curated
31,0.4396397708446842,2.0503227949275376e-15,,0.0,0.9999677868694122,5.28886461731087e-12,0.5040655159670497,1.2654045754345588e-06,0.03,curated
32,0.43963976990806986,7.208994301700853e-16,,0.0,0.9999774403284063,2.5935739848541106e-12,0.5040703838919701,8.859698547780681e-07,0.03,curated
33,0.43963977020548706,2.4248393779634095e-16,,0.0,0.9999842021502071,1.2717395293966715e-12,0.5040737936317116,6.203566141493866e-07,0.03,curated
34,0.43963976979959696,7.900884818458025e-17,,0.0,0.999988937852805,6.234359424370979e-13,0.5040761816371336,4.342895816478176e-07,0.03,curated
35,0.4396397696565277,2.69065176441577e-17,,0.0,0.9999922544766836,3.056530181922522e-13,0.5040778540566193,3.040637311357841e-07,0.03,curated
36,0.43963976970540997,9.650336666632217e-18,,0.0,0.9999945769383225,1.498195121270104e-13,0.5040790251567179,2.1287093133537382e-07,0.03,curated
37,0.43963976958402606,3.214860059162479e-18,,0.0,0.9999962030890902,7.342136699412622e-14,0.5040798451394842,1.4901550116519501e-07,0.03,curated
38,0.4396397695567209,1.0935109674118255e-18,,0.0,0.9999973417498538,3.5985974671091797e-14,0.5040804193054658,1.0432352070210981e-07,0.03,curated
39,0.43963976955517614,3.622948357273879e-19,,0.0,0.9999981389861554,1.7631713939501232e-14,0.5040808213103428,7.301983401930556e-08,0.03,curated
40,0.43963976953174033,1.287883567439971e-19,,0.0,0.9999986971517518,8.64105818773759e-15,0.5040811027636086,5.111862535045475e-08,0.03,curated
41,0.4396397695258674,4.5005282600502346e-20,,0.0,0.9999990879248435,4.234649747628227e-15,0.5040812998096666,3.578492012934476e-08,0.03,curated
42,0.43963976953421136,1.5360531277803633e-20,,0.0,0.9999993615011661,2.07494562976538e-15,0.5040814377594058,2.5049232306173508e-08,0.03,curated
43,0.43963976953960393,5.118863774772727e-21,,0.0,0.9999995530222964,1.0168801361186792e-15,0.5040815343328803,1.7535732581563934e-08,0.03,curated
44,0.4396397695415022,1.7428283129211884e-21,,0.0,0.9999996870995244,4.983264710243319e-16,0.5040816019403954,1.2275761065438928e-08,0.03,curated
45,0.4396397695411421,5.913723994658161e-22,,0.0,0.9999997809599744,2.4418142858296013e-16,0.5040816492690109,8.593034692694347e-09,0.03,curated
46,0.4396397695414608,2.0259181780823525e-22,,0.0,0.9999998466665447,1.1965730262011292e-16,0.5040816824011521,6.015276312609785e-09,0.03,curated
47,0.43963976954146566,7.082573199408554e-23,,0.0,0.9999998926634013,5.863657674070387e-17,0.5040817055947474,4.210867814435914e-09,0.03,curated
48,0.4396397695418133,2.4888484182328883e-23,,0.0,0.9999999248625158,2.873302602488407e-17,0.5040817218309442,2.9476473173417615e-09,0.03,curated
49,0.4396397695419194,8.525909355778231e-24,,0.0,0.9999999474026555,1.407969921578253e-17,0.50408173319665,2.0633875408293533e-09,0.03,curated
50,0.4396397695419413,2.981082810162707e-24,,0.0,0.9999999631812152,6.8993710815507756e-18,0.5040817411528791,1.444403778805281e-09,0.03,curated
51,0.4396397695419634,1.0299188513942188e-24,,0.0,0.9999999742264424,3.3808735839574917e-18,0.5040817467223541,1.011109276305433e-09,0.03,curated
52,0.4396397695419712,3.5622910633848794e-25,,0.0,0.9999999819582764,1.6566577628646062e-18,0.5040817506210764,7.077835562085965e-10,0.03,curated
53,0.4396397695419615,1.2467994545725523e-25,,0.0,0.9999999873706629,8.11770554383379e-19,0.5040817533502329,4.954510757215757e-10,0.03,curated
54,0.4396397695419519,4.081237621298047e-26,,0.0,0.9999999911593848,3.9777347571840686e-19,0.5040817552606675,3.4681875149544795e-10,0.03,curated
55,0.43963976954195266,1.4643863121003407e-26,,0.0,0.9999999938115208,1.949128430615818e-19,0.5040817565979874,2.42775399783568e-10,0.03,curated
56,0.43963976954195405,4.720871527156267e-27,,0.0,0.9999999956680357,9.550822826177914e-20,0.5040817575341214,1.6994420093396912e-10,0.03,curated
57,0.4396397695419549,1.6751476113510158e-27,,0.0,0.999999996967609,4.679912696887048e-20,0.5040817581894212,1.1896091223206894e-10,0.03,curated
58,0.4396397695419558,6.0365285063544215e-28,,0.0,0.999999997877317,2.2931617415171237e-20,0.5040817586481345,8.32727664601407e-11,0.03,curated
59,0.43963976954195566,1.9568797926679342e-28,,0.0,0.9999999985141163,1.1236514851591052e-20,0.5040817589692357,5.82915049562871e-11,0.03,curated
