step,mean_belief,polarization_var,share_extremes,assortativity,regime
0,0.2590556300110582,0.4132247066951102,0.09,-0.03627349573777512,echo
1,0.2557578267232389,0.4134622735826064,0.06,-0.029335697923594136,echo
2,0.2562466770561431,0.40648409429129395,0.07,0.007968578873824513,echo
3,0.2559403862802823,0.4043333791588082,0.05,0.017598733795598513,echo
4,0.25598458276628105,0.40332441640561584,0.05,0.02707784881534425,echo
5,0.25584361402352174,0.40290060694470786,0.04,0.02707784881534425,echo
6,0.25585494794507874,0.4025516772106424,0.04,0.035051778901272486,echo
7,0.2558526309881728,0.40239452760651845,0.04,0.035051778901272486,echo
8,0.25648103025301006,0.40182161903126373,0.04,0.035051778901272486,echo
9,0.2567428441002979,0.4012524222619549,0.04,0.035051778901272486,echo
10,0.2572757079266882,0.4006996747616833,0.04,0.035051778901272486,echo
11,0.2576932735674589,0.40028537325229485,0.04,0.035051778901272486,echo
12,0.2576061386836007,0.40023494974376084,0.04,0.035051778901272486,echo
13,0.25742423790344815,0.4002883138585741,0.04,0.035051778901272486,echo
14,0.2573188537799579,0.40031722497937366,0.04,0.035051778901272486,echo
15,0.25735656982184446,0.4002395915079656,0.04,0.034325803599977486,echo
16,0.2574086071641402,0.4002041509165774,0.04,0.034325803599977486,echo
17,0.25745164740199855,0.4001661012800021,0.04,0.034325803599977486,echo
18,0.257475992181352,0.4001468836532042,0.04,0.034325803599977486,echo
19,0.257499811170057,0.40014325962344555,0.04,0.034325803599977486,echo
20,0.2575394919068403,0.40012894890056105,0.04,0.034325803599977486,echo
21,0.2575634916152738,0.40010523060297587,0.04,0.034325803599977486,echo
22,0.2576058212244227,0.4001127888344562,0.04,0.034325803599977486,echo
23,0.2575678785332275,0.4001407107239205,0.04,0.034325803599977486,echo
24,0.2575570690551454,0.400152902955731,0.04,0.034325803599977486,echo
25,0.25755275395586896,0.40015638573709916,0.04,0.034325803599977486,echo
26,0.25758644376277884,0.400156897666985,0.04,0.032141308650819024,echo
27,0.2576017685375766,0.40015968572793825,0.04,0.032141308650819024,echo
28,0.25763350325899603,0.4001569289944065,0.04,0.037466699416176925,echo
29,0.25764718517599544,0.4001565684248245,0.04,0.037466699416176925,echo
30,0.25765077597995234,0.40016098065705236,0.04,0.037466699416176925,echo
31,0.2576584192769089,0.40016775868992144,0.04,0.037466699416176925,echo
32,0.2576744263445442,0.400165191888054,0.04,0.037466699416176925,echo
33,0.2576856981154119,0.400166233699018,0.04,0.037466699416176925,echo
34,0.257703281595132,0.40016664326263046,0.04,0.037466699416176925,echo
35,0.25771170915731345,0.40017370303489785,0.04,0.037466699416176925,echo
36,0.2577035045310847,0.4001801240824873,0.04,0.037466699416176925,echo
37,0.25771815790782193,0.40018297697711364,0.04,0.037466699416176925,echo
38,0.2577205466842293,0.40018428633148345,0.04,0.037466699416176925,echo
39,0.25772386679548687,0.40018854178955243,0.04,0.037466699416176925,echo
40,0.25772952491810885,0.40019395777074357,0.04,0.037466699416176925,echo
41,0.2577302651959174,0.40020170191721993,0.04,0.037466699416176925,echo
42,0.25773387120309466,0.40020385258687147,0.04,0.037466699416176925,echo
43,0.2577313262842443,0.4002069523751808,0.04,0.037466699416176925,echo
44,0.25773067959987705,0.40021343682867505,0.04,0.037466699416176925,echo
45,0.2577287311690223,0.40021579909406974,0.04,0.037466699416176925,echo
46,0.2577293179431959,0.4002180466143712,0.04,0.037466699416176925,echo
47,0.2577302882061146,0.40022251830088473,0.04,0.037466699416176925,echo
48,0.2577321578644484,0.40022632247601614,0.04,0.037466699416176925,echo
49,0.2577319388666663,0.400225293428213,0.04,0.037466699416176925,echo
50,0.25773200738985286,0.4002290490166942,0.04,0.037466699416176925,echo
51,0.2577328021305871,0.4002340000485667,0.04,0.037466699416176925,echo
52,0.25773238929024755,0.40023733010146306,0.04,0.037466699416176925,echo
53,0.2577321744331876,0.40023807943758316,0.04,0.037466699416176925,echo
54,0.25773459439159213,0.40024037425244346,0.04,0.037466699416176925,echo
55,0.25773498666182026,0.4002405512914757,0.04,0.037466699416176925,echo
56,0.257736213506382,0.40024202901684514,0.04,0.037466699416176925,echo
57,0.2577376070401129,0.40024331628814047,0.04,0.037466699416176925,echo
58,0.25774005251118576,0.4002449224899778,0.04,0.037466699416176925,echo
59,0.2577397007844346,0.4002459419820768,0.04,0.037466699416176925,echo
60,0.257741147650472,0.4002472572655344,0.04,0.037466699416176925,echo
61,0.2577411725042996,0.4002482982238558,0.04,0.037466699416176925,echo
62,0.2577416831286801,0.4002490649420911,0.04,0.037466699416176925,echo
63,0.2577420587702183,0.40024962886467724,0.04,0.037466699416176925,echo
64,0.2577426252758114,0.40025005024193505,0.04,0.037466699416176925,echo
65,0.257743576535297,0.4002506689546221,0.04,0.037466699416176925,echo
66,0.25774320109004223,0.4002500731760372,0.04,0.037466699416176925,echo
67,0.2577444109593521,0.4002510935045993,0.04,0.037466699416176925,echo
68,0.25774582043155897,0.4002527906034788,0.04,0.037466699416176925,echo
69,0.25774595366575215,0.40025306052891935,0.04,0.037466699416176925,echo
70,0.2577462335235781,0.4002533420814,0.04,0.037466699416176925,echo
71,0.25774623298906035,0.40025326991782095,0.04,0.037466699416176925,echo
72,0.2577466640736824,0.400253666067861,0.04,0.037466699416176925,echo
73,0.2577471653494929,0.4002541483185675,0.04,0.037466699416176925,echo
74,0.25774774167723535,0.4002545932671919,0.04,0.037466699416176925,echo
75,0.2577475033087204,0.4002543098472647,0.04,0.037466699416176925,echo
76,0.25774780557854254,0.4002548166316543,0.04,0.037466699416176925,echo
77,0.25774731517051563,0.40025441673104917,0.04,0.037466699416176925,echo
78,0.25774760900160393,0.4002548088885955,0.04,0.037466699416176925,echo
79,0.2577478654642412,0.400255213630651,0.04,0.037466699416176925,echo
80,0.2577478066335008,0.4002551056634926,0.04,0.037466699416176925,echo
81,0.2577480444456246,0.40025534980760424,0.04,0.037466699416176925,echo
82,0.2577491033154791,0.40025645841309654,0.04,0.037466699416176925,echo
83,0.25774925446217045,0.4002565319975043,0.04,0.037466699416176925,echo
84,0.257748856346964,0.4002560784353622,0.04,0.037466699416176925,echo
85,0.2577488351710977,0.4002560140599447,0.04,0.037466699416176925,echo
86,0.25774909826793196,0.40025624699597856,0.04,0.037466699416176925,echo
87,0.25774936331434717,0.4002564811712606,0.04,0.037466699416176925,echo
88,0.25774918334617,0.40025625978107016,0.04,0.037466699416176925,echo
89,0.25774943001080314,0.4002564920256581,0.04,0.037466699416176925,echo
90,0.2577497398546223,0.40025679412051574,0.04,0.037466699416176925,echo
91,0.25774979835026757,0.400256768158921,0.04,0.037466699416176925,echo
92,0.25774985107758247,0.4002568202813875,0.04,0.037466699416176925,echo
93,0.25775014689644743,0.40025714180838734,0.04,0.037466699416176925,echo
94,0.25775004624016884,0.400257025144737,0.04,0.037466699416176925,echo
95,0.25775012240896483,0.4002570953710108,0.04,0.037466699416176925,echo
96,0.25775042061712505,0.4002574052198325,0.04,0.037466699416176925,echo
97,0.25775035599569246,0.40025732819929916,0.04,0.037466699416176925,echo
98,0.25775045032698973,0.4002574219237345,0.04,0.037466699416176925,echo
99,0.25775071822065543,0.4002577022891123,0.04,0.037466699416176925,echo
100,0.2577505671611978,0.40025753314659973,0.04,0.037466699416176925,echo
101,0.2577506560644971,0.4002576199903617,0.04,0.037466699416176925,echo
102,0.25775071686258494,0.4002576757795604,0.04,0.037466699416176925,echo
103,0.25775060035131037,0.4002575456165054,0.04,0.037466699416176925,echo
104,0.25775063811381344,0.4002575842041784,0.04,0.037466699416176925,echo
105,0.2577508721843962,0.40025783229043277,0.04,0.037466699416176925,echo
106,0.25775057293692066,0.400257510891837,0.04,0.037466699416176925,echo
107,0.2577506137305018,0.400257555316386,0.04,0.037466699416176925,echo
108,0.2577506887390607,0.4002576335659107,0.04,0.037466699416176925,echo
109,0.25775067307050475,0.400257612409195,0.04,0.037466699416176925,echo
110,0.2577506045036298,0.40025753356257004,0.04,0.037466699416176925,echo
111,0.2577506110390888,0.4002575366317046,0.04,0.037466699416176925,echo
112,0.25775059246522813,0.40025751359379746,0.04,0.037466699416176925,echo
113,0.2577506213155813,0.4002575441014432,0.04,0.037466699416176925,echo
114,0.257750685624878,0.40025761251126746,0.04,0.037466699416176925,echo
115,0.25775058869089923,0.4002575066751429,0.04,0.037466699416176925,echo
116,0.2577506552840165,0.40025757597992845,0.04,0.037466699416176925,echo
117,0.2577506632086374,0.4002575826422661,0.04,0.037466699416176925,echo
118,0.25775068938028933,0.40025760695589546,0.04,0.037466699416176925,echo
119,0.2577506593912087,0.40025757403943835,0.04,0.037466699416176925,echo
120,0.25775066087540294,0.4002575740757641,0.04,0.037466699416176925,echo
121,0.25775059495037,0.4002575016987627,0.04,0.037466699416176925,echo
122,0.2577505545880403,0.400257457144218,0.04,0.037466699416176925,echo
123,0.25775050510799136,0.400257403505766,0.04,0.037466699416176925,echo
124,0.2577505038827253,0.40025740123268094,0.04,0.037466699416176925,echo
125,0.25775043786622104,0.40025732935837055,0.04,0.037466699416176925,echo
126,0.2577504588093793,0.40025735094117004,0.04,0.037466699416176925,echo
127,0.25775044312185913,0.40025733321409873,0.04,0.037466699416176925,echo
128,0.25775051613002664,0.40025741082320104,0.04,0.037466699416176925,echo
129,0.2577505170208336,0.4002574110393601,0.04,0.037466699416176925,echo
130,0.2577504678976314,0.40025735772405185,0.04,0.037466699416176925,echo
131,0.25775048010913887,0.4002573702091248,0.04,0.037466699416176925,echo
132,0.25775043832160205,0.4002573249597205,0.04,0.037466699416176925,echo
133,0.2577503950401102,0.40025727799371424,0.04,0.037466699416176925,echo
134,0.25775037384414345,0.4002572547831247,0.04,0.037466699416176925,echo
135,0.25775037936347533,0.40025726025710445,0.04,0.037466699416176925,echo
136,0.25775034314583584,0.4002572210848973,0.04,0.037466699416176925,echo
137,0.2577503592838735,0.4002572380006044,0.04,0.037466699416176925,echo
138,0.257750316176071,0.4002571913213799,0.04,0.037466699416176925,echo
139,0.25775035482079095,0.4002572324265988,0.04,0.037466699416176925,echo
140,0.2577503124000698,0.4002571866422045,0.04,0.037466699416176925,echo
141,0.2577503221981963,0.4002571969009328,0.04,0.037466699416176925,echo
142,0.2577503075849637,0.4002571809313551,0.04,0.037466699416176925,echo
143,0.257750283230201,0.40025715453426414,0.04,0.037466699416176925,echo
144,0.2577502551380806,0.4002571241518497,0.04,0.037466699416176925,echo
145,0.2577502551871738,0.40025712398791824,0.04,0.037466699416176925,echo
146,0.25775023988551643,0.40025710738977205,0.04,0.037466699416176925,echo
147,0.2577502215491473,0.4002570875224798,0.04,0.037466699416176925,echo
148,0.2577501971958034,0.4002570612174721,0.04,0.037466699416176925,echo
149,0.2577501992027178,0.40025706320246784,0.04,0.037466699416176925,echo
150,0.2577501900552184,0.400257053222433,0.04,0.037466699416176925,echo
151,0.2577501619263822,0.40025702289341486,0.04,0.037466699416176925,echo
152,0.25775017373848075,0.40025703543623964,0.04,0.037466699416176925,echo
153,0.25775014688882264,0.4002570065281501,0.04,0.037466699416176925,echo
154,0.2577501501610072,0.4002570099212409,0.04,0.037466699416176925,echo
155,0.257750118516949,0.4002569758694131,0.04,0.037466699416176925,echo
156,0.2577501091793978,0.4002569657565357,0.04,0.037466699416176925,echo
157,0.2577501126666496,0.4002569694035246,0.04,0.037466699416176925,echo
158,0.25775008650241205,0.4002569412541391,0.04,0.037466699416176925,echo
159,0.2577500766632495,0.4002569306159797,0.04,0.037466699416176925,echo
160,0.25775008384250264,0.4002569382425682,0.04,0.037466699416176925,echo
161,0.25775007479177087,0.40025692846488226,0.04,0.037466699416176925,echo
162,0.2577500651714427,0.4002569180822254,0.04,0.037466699416176925,echo
163,0.2577500521253001,0.40025690402902403,0.04,0.037466699416176925,echo
164,0.2577500470387613,0.40025689851547674,0.04,0.037466699416176925,echo
165,0.2577500266276093,0.4002568765713372,0.04,0.037466699416176925,echo
166,0.25775002950757775,0.4002568796156361,0.04,0.037466699416176925,echo
167,0.2577500195858105,0.40025686892730855,0.04,0.037466699416176925,echo
168,0.2577500260603274,0.40025687583182856,0.04,0.037466699416176925,echo
169,0.2577500144041387,0.4002568632940568,0.04,0.037466699416176925,echo
170,0.2577499978553028,0.4002568455084854,0.04,0.037466699416176925,echo
171,0.25774998758753004,0.4002568344635006,0.04,0.037466699416176925,echo
172,0.2577499782349729,0.40025682440189536,0.04,0.037466699416176925,echo
173,0.2577499680582436,0.40025681345878994,0.04,0.037466699416176925,echo
174,0.2577499602580064,0.4002568050659008,0.04,0.037466699416176925,echo
175,0.2577499559838834,0.4002568004575133,0.04,0.037466699416176925,echo
176,0.2577499500320761,0.40025679405131653,0.04,0.037466699416176925,echo
177,0.2577499379765238,0.4002567810988598,0.04,0.037466699416176925,echo
178,0.2577499232968148,0.4002567653337441,0.04,0.037466699416176925,echo
179,0.2577499132720397,0.4002567545630601,0.04,0.037466699416176925,echo
180,0.2577499207785675,0.4002567625989093,0.04,0.037466699416176925,echo
181,0.2577499074724242,0.40025674831146896,0.04,0.037466699416176925,echo
182,0.25774990215327775,0.40025674259212096,0.04,0.037466699416176925,echo
183,0.257749899403999,0.40025673962976804,0.04,0.037466699416176925,echo
184,0.257749882625027,0.4002567216198019,0.04,0.037466699416176925,echo
185,0.2577498765568078,0.4002567150995393,0.04,0.037466699416176925,echo
186,0.25774987924040016,0.40025671796763446,0.04,0.037466699416176925,echo
187,0.2577498722477849,0.40025671045758193,0.04,0.037466699416176925,echo
188,0.2577498726861108,0.40025671091863685,0.04,0.037466699416176925,echo
189,0.25774987467777694,0.4002567130463484,0.04,0.037466699416176925,echo
190,0.25774986960273594,0.4002567075948801,0.04,0.037466699416176925,echo
191,0.25774986278888806,0.40025670027867105,0.04,0.037466699416176925,echo
192,0.2577498612326373,0.4002566986024302,0.04,0.037466699416176925,echo
193,0.2577498548763035,0.4002566917781035,0.04,0.037466699416176925,echo
194,0.2577498494109737,0.40025668591031777,0.04,0.037466699416176925,echo
195,0.25774984848910143,0.4002566849158729,0.04,0.037466699416176925,echo
196,0.25774983733402573,0.40025667294572387,0.04,0.037466699416176925,echo
197,0.257749835396773,0.4002566708632105,0.04,0.037466699416176925,echo
198,0.2577498337220916,0.40025666906242874,0.04,0.037466699416176925,echo
199,0.2577498318947381,0.4002566670981029,0.04,0.037466699416176925,echo
200,0.25774982832271326,0.40025666326296017,0.04,0.037466699416176925,echo
201,0.25774982671432095,0.40025666153423584,0.04,0.037466699416176925,echo
202,0.2577498230373859,0.4002566575869515,0.04,0.037466699416176925,echo
203,0.2577498181015309,0.4002566522898008,0.04,0.037466699416176925,echo
204,0.25774981649017176,0.4002566505585841,0.04,0.037466699416176925,echo
205,0.2577498118092527,0.4002566455350434,0.04,0.037466699416176925,echo
206,0.25774980999058,0.4002566435818115,0.04,0.037466699416176925,echo
207,0.25774980931265845,0.4002566428525206,0.04,0.037466699416176925,echo
