step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.15948362934708185,0.47540176903997533,0.0022632869648323744,0.15,0.01622139764996908,8.917834087906409e-05,0.005248091033271653,0.31676776677842855,0.05,mixed
1,0.16262703174597867,0.46541191898260265,0.019066358291046814,0.06,0.277762159402671,0.0016076097131207995,0.09158765852415719,0.05042956235049544,0.05,mixed
2,0.16374913858603624,0.46082738395829176,0.031174400073378492,0.02,0.4651816387995267,0.005252174841948771,0.15364653951997884,0.05227749672150097,0.05,mixed
3,0.16607556048955538,0.45732593979298436,0.048948215511710864,0.0,0.599253648932957,0.0091960423034587,0.19815984606261075,0.053616153046622234,0.05,mixed
4,0.17008575201959483,0.4556693942159584,0.06481164239295889,0.0,0.6988874081913208,0.011194258223952641,0.23113938644869195,0.04879915999917998,0.05,mixed
5,0.17143516180982205,0.45263223634328975,0.09978782691551295,0.0,0.7694531465985536,0.013006076459792196,0.25433577360793286,0.04585910860044166,0.05,mixed
6,0.1725459570176556,0.44930039749269574,0.10671186741606697,0.0,0.818537786577897,0.014728028119281023,0.2704075159999373,0.04526129814758335,0.05,mixed
7,0.1748350050489073,0.4459137049774771,0.1485892095468942,0.0,0.8542106870062088,0.015666253430943453,0.2821955556077957,0.043559227372601726,0.05,mixed
8,0.17800601700988236,0.44381557132154315,0.1686250166274997,0.0,0.8783234911542506,0.01651155507255259,0.2900840974426267,0.04315660565864022,0.05,mixed
9,0.1786318559924893,0.4416958324986414,0.17738161963799207,0.0,0.8975619818004847,0.0169255090287577,0.2963767343527977,0.041047128483577354,0.05,mixed
10,0.17881344373346506,0.4394101564100108,0.1722291203128863,0.0,0.9121837164097144,0.017255100579183683,0.30123797505731725,0.03914149837190408,0.05,mixed
11,0.17835494879226313,0.43743956961961594,0.1722291203128863,0.0,0.9239123026659088,0.017493295261038978,0.3051696540910548,0.03713956138871211,0.05,mixed
12,0.17889516517163237,0.43690801157450176,0.1770855998348592,0.0,0.9330004759198396,0.017673456117111554,0.30821105485284583,0.0353528584262682,0.05,mixed
13,0.17939981687280512,0.4357497153327725,0.1811599486261995,0.0,0.9390174878217569,0.017805057701454352,0.310272733125666,0.0342358998057891,0.05,mixed
14,0.1793090510601333,0.4342359469508706,0.17525422575927632,0.0,0.943526451358325,0.017933481122704004,0.3118160090254115,0.0335963684088398,0.05,mixed
15,0.17893886851938048,0.43176153643806686,0.195346805526818,0.0,0.946424363489363,0.018033600696189925,0.3127210487952175,0.03337643070615201,0.05,mixed
16,0.17853075922302794,0.43021327893725597,0.2125893739798148,0.0,0.948641702912194,0.0181322662151467,0.31351495634834725,0.03332070012672659,0.05,mixed
17,0.1779405082950584,0.4290864626602855,0.2273406101702734,0.0,0.9515283886936377,0.018185589289193643,0.31445812067459383,0.032467857485301295,0.05,mixed
18,0.17714333498476756,0.42737302472174143,0.23069272755992112,0.0,0.9534442619545489,0.01820708702408262,0.31502631838647754,0.031922102790831276,0.05,mixed
19,0.17765403055268775,0.42720572304211757,0.23069272755992112,0.0,0.9556812894426264,0.0181984050870826,0.3156341314416009,0.030844738335232335,0.05,mixed
20,0.17791382707810996,0.42647290567324114,0.23069272755992112,0.0,0.9575005228993811,0.01820525999436353,0.31615544881317204,0.030025547420945032,0.05,mixed
21,0.1767125264706104,0.42492283983337276,0.21469664348992337,0.0,0.959048228341804,0.018224153714051363,0.3166639652341438,0.029416860087823408,0.05,mixed
22,0.17686231931963511,0.4240590905079264,0.18934223467350156,0.0,0.9602037880541171,0.01822916203573973,0.31708056775396154,0.028745251513274752,0.05,mixed
23,0.1770560611613705,0.42324487835705904,0.14937589394292636,0.0,0.9607428870677461,0.01828030287905633,0.31730454635611877,0.02880583040328716,0.05,mixed
24,0.17761998141516894,0.42212462450443367,0.14887580679480808,0.0,0.9603712154428317,0.018305822514814562,0.3172033634020528,0.02919330061837769,0.05,mixed
25,0.17855396757163663,0.42197150199721223,0.12564452232485004,0.0,0.9608412064517887,0.0183519564478284,0.3174158996995432,0.029320959604674072,0.05,mixed
26,0.1784802994047328,0.42152078717152586,0.13437639182219158,0.0,0.962144267828879,0.018342459918956763,0.3178975240800766,0.028659039758285872,0.05,mixed
27,0.17824477736776406,0.4211672987979015,0.08218346996873205,0.0,0.9635630317338989,0.018319232142674325,0.3184280062429583,0.027681438063669645,0.05,mixed
28,0.17829943215645216,0.4209317644048751,0.0222917481423542,0.0,0.9651792650447523,0.01831755890278927,0.31900645827318064,0.02665085822799824,0.05,mixed
29,0.17815866072786923,0.4208926284463287,0.007397359946462381,0.0,0.9666902413255137,0.018326747839283876,0.31952456486725433,0.025705711120635754,0.05,mixed
30,0.17834333876561612,0.4207554572384635,0.007397359946462381,0.0,0.9681795339075704,0.01834605751323394,0.3200419206863338,0.024789166276015493,0.05,mixed
31,0.1781379840115485,0.42031266891071395,0.007397359946462381,0.0,0.9693834249049954,0.018368213177739658,0.3204493435229074,0.024068284252676618,0.05,mixed
32,0.17791561083587892,0.42037005082155937,0.007397359946462381,0.0,0.9704730328540819,0.01839410954544085,0.32082190767648294,0.0234625922851815,0.05,mixed
33,0.17782884103178914,0.4203409736951964,0.007397359946462381,0.0,0.9714482954275855,0.01842059048055325,0.32115647861260604,0.022963388994665906,0.05,mixed
34,0.17798530612304944,0.42006154968512993,0.007397359946462381,0.0,0.9722107718756887,0.01844380836219806,0.32140760129569995,0.022634945439494344,0.05,mixed
35,0.17783501162294457,0.4200894132301525,0.007397359946462381,0.0,0.9729280713447139,0.018466797361768303,0.32164951755440746,0.022353209473094892,0.05,mixed
36,0.17780011719176883,0.4201634221142786,0.007397359946462381,0.0,0.9734612636368125,0.01848451856299362,0.3218330353945552,0.022162683961720973,0.05,mixed
37,0.1776438022321387,0.4197298912063547,0.007397359946462381,0.0,0.9739923066283298,0.01850266051245352,0.3220139810619403,0.021989851063884628,0.05,mixed
38,0.17756956345455147,0.4195962153574634,0.007397359946462381,0.0,0.9744542853898411,0.0185176944320018,0.32217056291378443,0.02179604056981276,0.05,mixed
39,0.1775509651318958,0.41946177221674064,0.007397359946462381,0.0,0.974922938302599,0.01853326644238162,0.32233217708901024,0.021600908006758176,0.05,mixed
40,0.1774745813459735,0.4193952341181636,0.007397359946462381,0.0,0.9752964113393839,0.01854574728488453,0.3224571754964261,0.021446445937919806,0.05,mixed
41,0.17749451696638252,0.4194688897613776,0.007397359946462381,0.0,0.9756504560703962,0.01855791840715835,0.3225768281340059,0.021307343434192775,0.05,mixed
