step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.43302835583216004,0.058899336375445595,-0.008744374078353621,0.0,0.012395382395382395,6.618169554132736e-05,0.003896576839983895,0.36175731867818756,0.05,curated
1,0.42783661423515745,0.04283523143999956,0.021554789649324453,0.0,0.2736220008628198,0.00014915360685774715,0.0900884909862757,0.025014781531450724,0.05,curated
2,0.4292672770780582,0.02810041212393942,0.08660291357583338,0.0,0.4583355444787497,0.0001973194485171889,0.15094516674030037,0.017122034908029774,0.05,curated
3,0.43134017868425617,0.01637447799402619,0.06558058349264417,0.0,0.5908311609355357,0.00020307216320803833,0.19494047950615692,0.013427971856568206,0.05,curated
4,0.43279907334830403,0.0077563731784117875,0.06232599341938744,0.0,0.6883671798957747,0.00019584561028094437,0.22708697907918768,0.011399903595497135,0.05,curated
5,0.43597900073016704,0.003171322491143445,0.008454608454608024,0.0,0.7629088519347714,0.00019589810041780733,0.2516706511742106,0.01040973848177444,0.05,curated
6,0.4371171149262367,0.0011835508668386998,,0.0,0.8213409494746778,0.0001463617580601401,0.2710517899786623,0.008270607380149642,0.05,curated
7,0.4383979320465731,0.00042851198220102935,,0.0,0.8673370558927824,9.961959886171239e-05,0.2862163277667815,0.006353265839359778,0.05,curated
8,0.43898605307469785,0.00014841250038730906,,0.0,0.9023339444244168,6.110001684429051e-05,0.29778919752792243,0.004748504767157868,0.05,curated
9,0.4393842356359773,5.870962913159712e-05,,0.0,0.9288276598993541,3.610623206728258e-05,0.3065491664995658,0.0035518418843356867,0.05,curated
10,0.43941485046559714,1.992991831297728e-05,,0.0,0.948468654990002,1.984139877269093e-05,0.31302551804664497,0.0025565637870029433,0.05,curated
11,0.43949474592306403,7.019822947326083e-06,,0.0,0.9628506663373251,1.0729400541498022e-05,0.3177674605400151,0.001831329180711947,0.05,curated
12,0.43953041997194103,2.444948081163972e-06,,0.0,0.9733883115805884,5.702722449103083e-06,0.32123858700961705,0.0013091041801418157,0.05,curated
13,0.4396081868337243,8.257114739052806e-07,,0.0,0.9810059604677613,2.9942924815960423e-06,0.3237468287374051,0.0009415706191569484,0.05,curated
14,0.43964086564509974,2.7234740696045377e-07,,0.0,0.9864945584970124,1.546123254166704e-06,0.32555364233393114,0.0006701559123948186,0.05,curated
15,0.4396573648898061,8.693040173402542e-08,,0.0,0.9904319954747226,7.89542312249152e-07,0.3268503699216362,0.00047696537342901025,0.05,curated
16,0.4396758367313926,3.040132858510538e-08,,0.0,0.9932323864655188,4.018084748301145e-07,0.32777234474319544,0.00033910099735948054,0.05,curated
17,0.43966867916501257,1.018516062330457e-08,,0.0,0.9952209172786114,1.9967730560044627e-07,0.328426929437444,0.00023848902155251039,0.05,curated
18,0.4396710412567022,3.2835407987709096e-09,,0.0,0.9966307880395943,9.944331543066225e-08,0.3288909540386003,0.0001675837677875336,0.05,curated
19,0.43967381138156886,1.1414447720250952e-09,,0.0,0.9976281058589725,4.970795863858023e-08,0.32921927585204136,0.00011820346116721225,0.05,curated
20,0.43967400767709314,3.681843614191789e-10,,0.0,0.9983317770600303,2.46378014786909e-08,0.3294508368672573,8.301599279420202e-05,0.05,curated
21,0.4396741182385566,1.2384971578822456e-10,,0.0,0.9988277743116075,1.2179240702350545e-08,0.3296140933893238,5.830068293064983e-05,0.05,curated
22,0.4396742819168098,4.041417411865322e-11,,0.0,0.9991768530295245,6.011049561988379e-09,0.3297290076089491,4.0910891219425596e-05,0.05,curated
23,0.43967414406515315,1.438705924501089e-11,,0.0,0.9994224017231637,2.9605743011866133e-09,0.3298098408310926,2.870178348970853e-05,0.05,curated
24,0.43967422506918175,4.579326365604174e-12,,0.0,0.9995948146975517,1.4614404292795579e-09,0.32986660020628855,2.0156374152833222e-05,0.05,curated
25,0.4396742526504629,1.5049458194711522e-12,,0.0,0.9997158788918291,7.192330727583528e-10,0.32990646018817527,1.4135554718421872e-05,0.05,curated
26,0.43967424889822704,5.045319815384606e-13,,0.0,0.9998008160406637,3.528427231817898e-10,0.32993442299055564,9.898186915933138e-06,0.05,curated
27,0.43967425155519746,1.837111202204776e-13,,0.0,0.9998604092455673,1.7307489224805684e-10,0.32995404215284974,6.932153695515808e-06,0.05,curated
28,0.43967424358830653,6.214381651361207e-14,,0.0,0.9999021855562821,8.49756284894165e-11,0.3299677962617211,4.857241923588162e-06,0.05,curated
29,0.4396742404994684,2.0827636187910657e-14,,0.0,0.9999314708681343,4.164956174228438e-11,0.3299774379688648,3.4010072874934848e-06,0.05,curated
30,0.43967424605779976,6.923271145272845e-15,,0.0,0.9999519956909215,2.0436610857404516e-11,0.32998419531488676,2.3822906869952475e-06,0.05,curated
31,0.43967424595383003,2.4038251207244535e-15,,0.0,0.9999663773459921,1.0018050375010788e-11,0.3299889302564726,1.6678082604926202e-06,0.05,curated
32,0.4396742463222557,8.184741906679564e-16,,0.0,0.9999764521752249,4.9149127347113206e-12,0.3299922472675329,1.1681470755320333e-06,0.05,curated
33,0.4396742460145014,2.725578143648684e-16,,0.0,0.999983509594715,2.408206577310276e-12,0.3299945708230736,8.175819844780108e-07,0.05,curated
34,0.4396742461853173,9.025541352332576e-17,,0.0,0.9999884526890647,1.180312488732637e-12,0.3299961982492509,5.723337497443026e-07,0.05,curated
35,0.439674246233863,3.3008335223027165e-17,,0.0,0.9999919145881766,5.783551804134612e-13,0.32999733802353404,4.006149796964564e-07,0.05,curated
