step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.43302835583216004,0.058899336375445595,0.059800727743803725,0.0,0.02728921871779015,0.000788462983950507,0.00883108413677987,0.5106378852266902,0.05,echo
1,0.42889389238435377,0.04372240326534362,0.21004556962025328,0.0,0.2600101528418139,0.0061052364327698885,0.08510318393717142,0.12274679098394259,0.05,echo
2,0.4268384802905603,0.03427128599818997,0.29686523753097055,0.0,0.4333692844087902,0.014284150518406667,0.1432376478996385,0.10115495222396888,0.05,echo
3,0.4249126614007791,0.02750661421717626,0.35548093639113165,0.0,0.561468824656056,0.021292697588467746,0.18621177909304312,0.08936348933117344,0.05,echo
4,0.4238145948366757,0.02209737032285924,0.3640830846221098,0.0,0.6549192078666356,0.027852240823062528,0.21750107503976704,0.08391454286571275,0.05,echo
5,0.42358174610338806,0.01829468853736133,0.34902665084506596,0.0,0.7233612566756183,0.033453880789124424,0.24034824266688887,0.08064782532904985,0.05,echo
6,0.4213032176321408,0.014464736691501355,0.3217506962051622,0.0,0.775536647560402,0.03508268104341967,0.25773809824680155,0.07548540631120516,0.05,echo
7,0.4184091069723863,0.011293586955620492,0.25591428776874964,0.0,0.8171963651253723,0.03346467581245887,0.2712850622543832,0.06816422381793232,0.05,echo
8,0.4168716356117859,0.00966467553427196,0.3246312491841772,0.0,0.8494640989011947,0.033069034246830956,0.2817815526867971,0.06238201223478242,0.05,echo
9,0.41634747637581404,0.008702438313369847,0.3246312491841772,0.0,0.8740543275853812,0.03329789101382961,0.28985464790180865,0.05771184929031548,0.05,echo
10,0.41453010984234984,0.007236383083312563,0.30832729905865186,0.0,0.8952759755226531,0.030347735609677406,0.29672688794117463,0.05149525991155713,0.05,echo
11,0.41369188445063165,0.0064906622413623835,-0.01732462368645399,0.0,0.9112683618269858,0.028787763433246613,0.3019490902147547,0.04679511379667986,0.05,echo
12,0.4133821682729834,0.00611959415226882,-0.014197306152164732,0.0,0.9236958378215583,0.028048796464399436,0.30597914064928367,0.04309072856055238,0.05,echo
13,0.4132482630046102,0.005895685588249819,-0.012722646310431568,0.0,0.9332973306161992,0.027778222745450797,0.30909523267457634,0.04026589760535515,0.05,echo
14,0.41321800842932455,0.005745004507061882,-0.012722646310431568,0.0,0.9407270803816102,0.027775116899685544,0.311514117182304,0.03811559931494131,0.05,echo
15,0.41329512023485543,0.005629713588462651,-0.012722646310431568,0.0,0.9464511436257215,0.027886028363528378,0.3133732361468268,0.036466809225135254,0.05,echo
16,0.41337393114872234,0.005546538545514441,-0.012722646310431568,0.0,0.950822320428674,0.028028086420111186,0.3147892253030555,0.03523679528894732,0.05,echo
17,0.4134051928615684,0.0054821702476640834,-0.012722646310431568,0.0,0.9542644486572175,0.028168418845792454,0.31591275751247766,0.03429929008875661,0.05,echo
18,0.41346343708701316,0.005431356797994096,-0.012722646310431568,0.0,0.9569453488394752,0.02829244548077027,0.3167866623589719,0.033575141385271366,0.05,echo
19,0.41354854380646777,0.005390616516485968,-0.012722646310431568,0.0,0.9590178418022144,0.028395685910074252,0.31745809838411587,0.03301238799887073,0.05,echo
20,0.4136548280383935,0.005359228356338327,-0.012722646310431568,0.0,0.9607053846401681,0.02848403404930603,0.3180062150604339,0.03257111906596691,0.05,echo
21,0.4137457117508594,0.005334876521124505,-0.012722646310431568,0.0,0.9620722044332761,0.02855784212990097,0.318450184776818,0.032213557005457145,0.05,echo
22,0.4138268243613969,0.005315538559289551,-0.012722646310431568,0.0,0.9631769815025228,0.0286190070448062,0.3188061553758691,0.03194421983483693,0.05,echo
23,0.4138938808743987,0.005300964818639117,-0.012722646310431568,0.0,0.9640838320948645,0.028669654495699467,0.3190983736815129,0.031714321643019044,0.05,echo
24,0.41393648832943425,0.005288866662054132,-0.012722646310431568,0.0,0.9648362862030823,0.028712076359359885,0.31934549286811026,0.03152292733932683,0.05,echo
25,0.4140200524565831,0.005279156057150317,-0.012722646310431568,0.0,0.9654768731508289,0.02874838262382311,0.3195509165651552,0.03135973854607855,0.05,echo
26,0.4140859871722919,0.00527132509008405,-0.012722646310431568,0.0,0.9660130537677081,0.028778883127114782,0.31972440167566063,0.031215734696268812,0.05,echo
27,0.4141373016897186,0.0052653916585339655,-0.012722646310431568,0.0,0.9664725038619832,0.028805222695731384,0.31987142142046926,0.031097154120401597,0.05,echo
28,0.414176641055524,0.005260568066506981,-0.012722646310431568,0.0,0.9668723295430877,0.028828130226971834,0.3200026073588749,0.030985385120243052,0.05,echo
29,0.41423605831813215,0.005256699900589201,-0.012722646310431568,0.0,0.9672089234901508,0.028847510327423945,0.32010938175999043,0.030888864290318452,0.05,echo
30,0.41427353917579945,0.0052536229740616225,-0.012722646310431568,0.0,0.9675059980419107,0.02886467636681947,0.32020573791217544,0.030801631317692254,0.05,echo
31,0.4143189526740965,0.005251247193697694,-0.012722646310431568,0.0,0.9677649824251026,0.028879697308264844,0.32028751511345854,0.030726086385917454,0.05,echo
32,0.41436606170402157,0.005249442204122348,-0.012722646310431568,0.0,0.9679976733839315,0.028893201174554566,0.32036197664544125,0.030655404355018023,0.05,echo
33,0.4144077305798588,0.005248007860479348,-0.012722646310431568,0.0,0.9682004265409965,0.02890500509531118,0.32042694717450354,0.030592967484888902,0.05,echo
34,0.4144424123790428,0.005246825376188837,-0.012722646310431568,0.0,0.9683783688365091,0.028915375969274675,0.32048455749167687,0.030536467156664457,0.05,echo
35,0.41447758857149447,0.005245928189321289,-0.012722646310431568,0.0,0.9685345902673764,0.028924516857254085,0.3205344347260619,0.030488564765245484,0.05,echo
36,0.4145109700372608,0.005245302257835344,-0.012722646310431568,0.0,0.9686728617760606,0.0289326277088479,0.32057863178382284,0.030445823428822648,0.05,echo
37,0.41454143333144877,0.005244800783135353,-0.012722646310431568,0.0,0.9688009313088193,0.02894013936808228,0.320620047048399,0.030404463291711467,0.05,echo
38,0.41457037914442635,0.005244471224238363,-0.012722646310431568,0.0,0.9689140374456667,0.028946789045304455,0.3206562483343049,0.03036824826289589,0.05,echo
39,0.41459709060724675,0.005244197761812508,-0.012722646310431568,0.0,0.9690134907925079,0.02895264409839501,0.320687484856865,0.03033667263978117,0.05,echo
40,0.4146161043091844,0.005243928862210125,-0.012722646310431568,0.0,0.9691045930116041,0.02895801724659313,0.3207163282195725,0.03030820102567901,0.05,echo
41,0.4146408354641957,0.005243847595839719,-0.012722646310431568,0.0,0.9691857517598477,0.028962809424101423,0.32074216073409056,0.030282659085949463,0.05,echo
42,0.4146609093496329,0.005243775296818064,-0.012722646310431568,0.0,0.96926013685521,0.028967201560209547,0.32076623073139965,0.03025724315994836,0.05,echo
43,0.41468013826589695,0.0052437469363367725,-0.012722646310431568,0.0,0.9693251379188488,0.02897104489676824,0.320786939957867,0.030236399012369616,0.05,echo
44,0.4147009664494211,0.005243794402045694,-0.012722646310431568,0.0,0.9693866312968666,0.028974682303991573,0.32080652881372435,0.030215791100858383,0.05,echo
45,0.4147200238932893,0.005243857296599609,-0.012722646310431568,0.0,0.969440731968692,0.028977886450062204,0.3208236514570143,0.03019815975373362,0.05,echo
46,0.4147373127032794,0.005243932337573715,-0.012722646310431568,0.0,0.9694896911009274,0.028980791386629425,0.3208389550395623,0.03018376946999808,0.05,echo
47,0.4147553480521895,0.0052440498206405796,-0.012722646310431568,0.0,0.969534132283059,0.028983426061223706,0.32085302976015917,0.0301688104332689,0.05,echo
48,0.4147718785611454,0.005244164123172703,-0.012722646310431568,0.0,0.9695735908522539,0.02898576786052645,0.3208656055550393,0.030156222398091046,0.05,echo
49,0.41478783787311585,0.00524429796942273,-0.012722646310431568,0.0,0.969608737002425,0.028987855159798296,0.32087680149039166,0.03014491182834817,0.05,echo
50,0.41480047398897496,0.0052443905318128314,-0.012722646310431568,0.0,0.969643664097566,0.028989930014696387,0.32088804798473225,0.030133462472543754,0.05,echo
51,0.4148123720106342,0.005244482049238925,-0.012722646310431568,0.0,0.9696729857906462,0.02899167217950347,0.320897249593492,0.030123604265714476,0.05,echo
52,0.41482563016301294,0.005244612073346717,-0.012722646310431568,0.0,0.969699893805629,0.028993270850376875,0.3209057654533447,0.030113775672362095,0.05,echo
53,0.41483580197496295,0.0052447043788442,-0.012722646310431568,0.0,0.9697248561185562,0.028994754968733414,0.32091366652231834,0.03010527412848347,0.05,echo
54,0.41484739135085164,0.00524482949491697,-0.012722646310431568,0.0,0.9697472881271852,0.028996088247135673,0.3209207853096737,0.03009716413504563,0.05,echo
55,0.4148578903768204,0.005244945562192693,-0.012722646310431568,0.0,0.9697675338944789,0.028997292261941265,0.32092716184654063,0.03008986969351682,0.05,echo
56,0.41486758483527253,0.005245051301158321,-0.012722646310431568,0.0,0.9697858864554897,0.02899838333349831,0.32093307170616164,0.03008305095354075,0.05,echo
57,0.4148771388019226,0.0052451644020119655,-0.012722646310431568,0.0,0.9698031713016195,0.028999411113263054,0.3209384383428211,0.030076331561988637,0.05,echo
58,0.4148856974788113,0.0052452650925004915,-0.012722646310431568,0.0,0.9698192729315669,0.029000368900727182,0.320943554648265,0.03007029985923495,0.05,echo
59,0.41489329558833643,0.005245356735993262,-0.012722646310431568,0.0,0.9698329432906556,0.029001182325815708,0.32094783876723726,0.030065278910274742,0.05,echo
60,0.4149016958248056,0.005245464831219602,-0.012722646310431568,0.0,0.9698461575829682,0.029001968190332537,0.32095194738862304,0.030059880756019054,0.05,echo
61,0.4149088933735649,0.005245555081361713,-0.012722646310431568,0.0,0.969858019303906,0.0290026741297742,0.32095572781636306,0.030055351095741544,0.05,echo
62,0.41491548310909415,0.00524563997617379,-0.012722646310431568,0.0,0.9698687121504314,0.029003310626265533,0.3209590700085396,0.0300511483153808,0.05,echo
63,0.41492215051610054,0.0052457285339364826,-0.012722646310431568,0.0,0.969878604975154,0.02900389925459801,0.32096215104402454,0.030046792310675984,0.05,echo
64,0.4149288267521943,0.005245820895597708,-0.012722646310431568,0.0,0.9698881985176325,0.029004470083902847,0.3209651377617249,0.030042523471977205,0.05,echo
65,0.4149349096126648,0.005245904770625358,-0.012722646310431568,0.0,0.9698961367854774,0.02900494255870047,0.32096762672525925,0.030039050748024324,0.05,echo
66,0.4149408895892791,0.005245989914060478,-0.012722646310431568,0.0,0.9699042610396894,0.029005426138083493,0.32097014638305893,0.030035294959198922,0.05,echo
67,0.41494600343131616,0.005246061232412263,-0.012722646310431568,0.0,0.9699110143226938,0.029005828430906842,0.3209722606200417,0.030032476265777035,0.05,echo
68,0.4149508659572524,0.005246130156227551,-0.012722646310431568,0.0,0.9699170752784727,0.029006189411851478,0.32097414714488975,0.030029777715768802,0.05,echo
69,0.41495589577276554,0.005246203492534728,-0.012722646310431568,0.0,0.9699234357434284,0.029006568122503473,0.32097613096867234,0.030026624577919422,0.05,echo
70,0.41496113633703247,0.005246282901952107,-0.012722646310431568,0.0,0.9699299423544866,0.029006955547388805,0.32097814419773507,0.030023289486840524,0.05,echo
71,0.414966109004097,0.005246359084649356,-0.012722646310431568,0.0,0.9699351931605112,0.02900726825035385,0.320979776272637,0.03002066568428617,0.05,echo
72,0.4149704467135358,0.0052464251269017294,-0.012722646310431568,0.0,0.9699400818534513,0.029007559558356592,0.320981290625181,0.030018306888328253,0.05,echo
