step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.43302835583216004,0.058899336375445595,0.0,-0.008744374078353621,curated,0.19960861056751467,0.2666308924162253,0.2663339032359128,,0,0,,0.41
1,0.4352907211022054,0.04260601108076822,0.0,-0.008630634340186301,curated,0.19960861056751467,0.22574044113061095,0.22739916935836746,,7,56,0.1111111111111111,0.42
2,0.4338915181554387,0.02839569996146818,0.0,0.03001968503937006,curated,0.19960861056751467,0.1860659326325929,0.1859076752165799,,16,55,0.22535211267605634,0.39
3,0.43660551112769014,0.016539939693235563,0.0,0.07952259477184091,curated,0.19960861056751467,0.143330855064995,0.14105096693189337,,18,54,0.25,0.34
4,0.43777978650179905,0.007858700798127585,0.0,0.07940245261984395,curated,0.19960861056751467,0.09802234835505802,0.09693682507090495,,10,64,0.13513513513513514,0.28
5,0.43749024829718125,0.0031758082196839286,0.0,0.06963271926775653,curated,0.19960861056751467,0.064051196814776,0.06293521169867689,,18,64,0.21951219512195122,0.17
6,0.43929891812536065,0.001192905161999014,0.0,,curated,0.19960861056751467,0.040216407347220005,0.03899599648760588,,16,53,0.2318840579710145,0.0
7,0.43950962229785956,0.0004444650334810493,0.0,,curated,0.19960861056751467,0.025005039463457356,0.02382975273016688,,19,70,0.21348314606741572,0.0
8,0.4394753574955905,0.0001530439687355516,0.0,,curated,0.19960861056751467,0.015138780218154345,0.013828640799092358,,16,64,0.2,0.0
9,0.4397889761168243,5.4463008120705534e-05,0.0,,curated,0.19960861056751467,0.009184348213590522,0.00821969980770446,,17,73,0.18888888888888888,0.0
10,0.43976012275003185,1.923335363205296e-05,0.0,,curated,0.19960861056751467,0.00536365557437983,0.0048858396269614345,,18,59,0.23376623376623376,0.0
11,0.4398668190455467,6.69656227849385e-06,0.0,,curated,0.19960861056751467,0.003258418846104485,0.0029005448151073346,,12,71,0.14457831325301204,0.0
12,0.43994907904823355,2.172393724787871e-06,0.0,,curated,0.19960861056751467,0.0018613425759523964,0.0016594828834103454,,19,60,0.24050632911392406,0.0
13,0.4399569484446701,7.646732146698826e-07,0.0,,curated,0.19960861056751467,0.001119532714305694,0.0009642974998919209,,11,54,0.16923076923076924,0.0
14,0.4399412686451282,2.469936277255352e-07,0.0,,curated,0.19960861056751467,0.0006186509029259285,0.0005364250337414418,,21,55,0.27631578947368424,0.0
