step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.011721409889321974,0.4798757085176126,0.35,0.005152996587985644,mixed,0.05,0.8804095279777342,0.7827372862046403,,0,0,,0.37
1,0.00828400171566659,0.474555174614453,0.32,0.026680873330242542,mixed,0.05,0.852356401058342,0.7665803758723627,,13,263,0.04710144927536232,0.38
2,0.008245533139335588,0.4669219709869056,0.28,0.04389825758699699,mixed,0.05,0.832729186406649,0.7503805374131897,,14,269,0.04946996466431095,0.39
3,0.009199108772020471,0.4602737275375678,0.28,0.06539516939712564,mixed,0.05,0.8245054102395015,0.7377770141567025,,10,281,0.03436426116838488,0.39
4,0.010154658727273011,0.45812994526815637,0.3,0.05917195998418956,mixed,0.05,0.8259785151722084,0.7333001861853377,,14,280,0.047619047619047616,0.39
5,0.011654189433503164,0.4556485328425813,0.24,0.0780382641724013,mixed,0.05,0.8284704869600624,0.7272799659101745,,12,284,0.04054054054054054,0.39
6,0.013481194276940169,0.4513541133220537,0.23,0.0826645573444511,mixed,0.05,0.826327172920355,0.7214590442972084,,11,280,0.037800687285223365,0.39
7,0.013155236080413562,0.4491715788071368,0.23,0.0826645573444511,mixed,0.05,0.8210927771106041,0.718694263117247,,12,291,0.039603960396039604,0.39
8,0.01331215283472459,0.4473990190230648,0.21,0.08727707972388757,mixed,0.05,0.8188460474671198,0.7172107655631245,,13,275,0.04513888888888889,0.39
9,0.013174241979265183,0.44632749919586684,0.2,0.0826645573444511,mixed,0.05,0.8161767655019311,0.715702381633516,,11,278,0.03806228373702422,0.39
10,0.014180417051543538,0.44417921068347843,0.19,0.08727707972388757,mixed,0.05,0.812843285136224,0.7138305773619066,,15,278,0.051194539249146756,0.39
11,0.013760520123186301,0.4435547473758238,0.17,0.0826645573444511,mixed,0.05,0.8144779681227072,0.7123382668361954,,14,279,0.04778156996587031,0.39
12,0.014100151570838229,0.4422353562446561,0.15,0.0799003545816842,mixed,0.05,0.8129547863770108,0.7106145945227733,,14,287,0.046511627906976744,0.39
13,0.014829010233043172,0.4395552384090315,0.14,0.09395397939221448,mixed,0.05,0.8148512285385573,0.7078259104024162,,11,274,0.03859649122807018,0.39
14,0.014582845940098977,0.4385975962306666,0.11,0.08216038560255891,mixed,0.05,0.8087558708781829,0.7060573687475724,,12,282,0.04081632653061224,0.39
15,0.014693901917153075,0.43713679474586237,0.11,0.09591719472908826,mixed,0.05,0.8074225297037966,0.7040540051369384,,15,289,0.049342105263157895,0.39
16,0.015407931339118264,0.4356890207802105,0.08,0.10446461138119313,mixed,0.05,0.8075050299900479,0.7023268088950023,,12,286,0.040268456375838924,0.39
17,0.014946293871811345,0.43481272256231207,0.08,0.10218784074819494,mixed,0.05,0.8043667340795015,0.7003685227119057,,14,278,0.04794520547945205,0.39
18,0.01498724349373155,0.4333250133186353,0.06,0.10415671285236491,mixed,0.05,0.8038367535365226,0.6986676245723643,,15,296,0.04823151125401929,0.39
19,0.014707393340661566,0.432321511417491,0.04,0.10649255004318621,mixed,0.05,0.8031925850585034,0.6970612471160146,,12,288,0.04,0.39
20,0.014964731011797587,0.4304706899685174,0.03,0.11942108689369045,mixed,0.05,0.7982106804551213,0.6937486967363824,,13,292,0.04262295081967213,0.39
21,0.01545902436405667,0.42943721669764484,0.02,0.11942108689369045,mixed,0.05,0.7970530154763347,0.6924012511162998,,14,299,0.04472843450479233,0.39
22,0.015667810894998385,0.4276178301891902,0.0,0.11942108689369045,mixed,0.05,0.7929390461284974,0.6899544206293734,,15,290,0.04918032786885246,0.39
23,0.016245821164570184,0.42590677620454764,0.0,0.1178803230662156,mixed,0.05,0.79050032736667,0.6878503868271741,,13,292,0.04262295081967213,0.39
24,0.01645506930102315,0.4253352667257879,0.0,0.12117062229746484,mixed,0.05,0.7888026345967364,0.6872669654207139,,11,290,0.036544850498338874,0.39
25,0.01681595629131673,0.4249144460171743,0.0,0.12117062229746484,mixed,0.05,0.7889797422103946,0.6861704026715415,,12,288,0.04,0.39
26,0.01675229311237374,0.42442849087345713,0.0,0.11500604386116386,mixed,0.05,0.7855514158278631,0.6849505955305603,,13,287,0.043333333333333335,0.39
27,0.016944145249411756,0.4239694427084881,0.0,0.11484602908594363,mixed,0.05,0.7827821104542129,0.6840679665012608,,12,294,0.0392156862745098,0.39
28,0.016743661752984283,0.42399012724728735,0.0,0.1165361733858548,mixed,0.05,0.7819679509607088,0.6837206172032048,,11,295,0.03594771241830065,0.39
29,0.016410800886925845,0.4239533100936289,0.0,0.1165361733858548,mixed,0.05,0.7799367023420694,0.6831057600029034,,14,297,0.04501607717041801,0.39
30,0.016806141516260996,0.42317914851354854,0.0,0.1164001005196216,mixed,0.05,0.7769586131495565,0.6821812064669219,,15,290,0.04918032786885246,0.39
31,0.016757866074520983,0.4233482349620672,0.0,0.11187648584688525,mixed,0.05,0.7765951350474266,0.6819971123392867,,11,296,0.035830618892508145,0.39
