step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.43302835583216004,0.058899336375445595,-0.008744374078353621,0.0,0.012395382395382395,6.618169554132736e-05,0.006516173766579052,0.36175731867818756,0.05,curated
1,0.42919465638608045,0.04188059469786732,0.006989715469158202,0.0,0.2727282326639924,0.00011378288442340261,0.14252381530476038,0.02211455236039569,0.05,curated
2,0.4288486116676415,0.026317517409688986,0.06397040133306967,0.0,0.4564932621179655,0.0001445628781380919,0.23855060693273417,0.014879255514306777,0.05,curated
3,0.43212281508977024,0.014537267009966843,0.058369440709198826,0.0,0.5890107235978442,0.0001399510367063403,0.3078701499517505,0.011225596417062462,0.05,curated
4,0.43097819479309507,0.006100157726555323,0.08074448211443966,0.0,0.6873321546306929,0.00014476962433235193,0.3591509001231419,0.009733158021721948,0.05,curated
5,0.4313766262020706,0.0024510927177943524,0.056930792377131514,0.0,0.7638888979166499,0.0001212342683035865,0.3992576619967466,0.008047430801128711,0.05,curated
6,0.4324544687936978,0.0009064060311278442,,0.0,0.8236921650318643,9.789895642848315e-05,0.4305544855219601,0.006657886102752855,0.05,curated
7,0.43334636244756763,0.00030146714905162166,,0.0,0.8697850510791798,6.817119217941197e-05,0.4546835611373781,0.005169285461159631,0.05,curated
8,0.433545067725805,0.00010945229450412989,,0.0,0.9048448927188391,4.038708100553411e-05,0.4730500630496838,0.0038209295138430834,0.05,curated
9,0.4337634206694949,3.867643008062235e-05,,0.0,0.930948978935476,2.2362376143714636e-05,0.486717102248787,0.0027532921238810106,0.05,curated
10,0.4336334966036722,1.4007509653618902e-05,,0.0,0.950214182984733,1.182008328176286e-05,0.49681643571473777,0.001962545395513189,0.05,curated
11,0.4336525502984332,4.910736366248424e-06,,0.0,0.9642402255016879,6.214640690828576e-06,0.5041681932711611,0.001397131680284076,0.05,curated
12,0.43370051426939915,1.7565912265112991e-06,,0.0,0.9744556926709087,3.3651769126285815e-06,0.5095259112734012,0.0010114538324253887,0.05,curated
13,0.4337264785910274,5.906396723224559e-07,,0.0,0.981814775654064,1.8019601104086402e-06,0.5133857629450408,0.0007311016538434956,0.05,curated
14,0.4337412731535057,2.0462458678243332e-07,,0.0,0.9870807930234293,9.398535721030275e-07,0.5161463996652599,0.0005234394626545224,0.05,curated
15,0.4337430936439922,6.944335864712618e-08,,0.0,0.9908485749618795,4.82405762875618e-07,0.518122129299837,0.00037485920576827423,0.05,curated
16,0.43375488390929917,2.3209243191420388e-08,,0.0,0.9935326766959998,2.4702527284114047e-07,0.5195292612237346,0.0002663633723248893,0.05,curated
17,0.43375462116311403,8.407601103719158e-09,,0.0,0.9954363466887499,1.2355100303270768e-07,0.5205269903887834,0.00018794982504417135,0.05,curated
18,0.43375640729785375,2.9316729756502853e-09,,0.0,0.9967839174459558,6.184658402637789e-08,0.5212333533320976,0.00013266425045287632,0.05,curated
19,0.43375638038576964,9.638739579935725e-10,,0.0,0.9977360393916622,3.093871466433419e-08,0.5217323660970586,9.366981612117798e-05,0.05,curated
20,0.43375603990059497,3.2140372243867297e-10,,0.0,0.9984079290975589,1.5374250839453838e-08,0.52208462462301,6.586773463794771e-05,0.05,curated
21,0.4337565766035459,1.1279527212826693e-10,,0.0,0.9988814251565592,7.632230749362945e-09,0.5223328010134669,4.635160959850282e-05,0.05,curated
22,0.433756666368108,3.743002817643573e-11,,0.0,0.999214498381063,3.780442285573853e-09,0.5225074050550842,3.257320630368099e-05,0.05,curated
23,0.4337566774003476,1.335076711089616e-11,,0.0,0.9994486924658521,1.869141029221671e-09,0.5226301825403644,2.2879990846718102e-05,0.05,curated
24,0.43375661506814084,4.392608317274446e-12,,0.0,0.9996131989910784,9.22802933671704e-10,0.5227164254849024,1.6070782533859072e-05,0.05,curated
25,0.4337565836590702,1.5562881784117664e-12,,0.0,0.9997287453870425,4.547297128521593e-10,0.5227770012748735,1.1274398473233304e-05,0.05,curated
26,0.4337565024328879,5.237262130386101e-13,,0.0,0.9998098223518304,2.235342444816308e-10,0.5228195097700474,7.901960623541982e-06,0.05,curated
27,0.43375650495774104,1.7805735651699634e-13,,0.0,0.9998667097142446,1.0986489199487467e-10,0.5228493342657076,5.537436149580799e-06,0.05,curated
28,0.4337564904863408,6.341784349356307e-14,,0.0,0.9999065972279497,5.389989253330545e-11,0.5228702468190586,3.877154932183657e-06,0.05,curated
29,0.43375648799122746,2.128246853180102e-14,,0.0,0.9999345595145739,2.644915732253486e-11,0.5228849069655793,2.7150946624487915e-06,0.05,curated
30,0.4337564891636725,7.053757380640195e-15,,0.0,0.9999541579178336,1.2982859154594973e-11,0.5228951821823684,1.9018151668603878e-06,0.05,curated
31,0.4337564868314888,2.419299843015546e-15,,0.0,0.9999678903390933,6.367963343688299e-12,0.5229023819890947,1.3316311444100393e-06,0.05,curated
32,0.4337564866668352,8.306280341544542e-16,,0.0,0.9999775118849205,3.125978021566411e-12,0.5229074264284878,9.329211451358787e-07,0.05,curated
33,0.43375648593396643,2.858966354545038e-16,,0.0,0.9999842514302386,1.5330590023999979e-12,0.5229109598791795,6.532478218446158e-07,0.05,curated
