step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.43302835583216004,0.058899336375445595,-0.020596112676226432,0.0,0.01622139764996908,8.917834087906409e-05,0.008397133293715067,0.31676776677842855,0.03,mixed
1,0.4296523240701613,0.03734489299585291,-0.007665455068917096,0.0,0.2683466364462749,0.00017292578691213952,0.1401364282497871,0.02760517677810043,0.03,mixed
2,0.4273183534745597,0.022027749374929004,0.04094530221532602,0.0,0.45113753728214334,0.0002602630947443774,0.23565631782989996,0.020338901009357643,0.03,mixed
3,0.4257024670668283,0.012206652378513426,0.04574381581511629,0.0,0.5866237648498506,0.00025149236281028265,0.3063899543219175,0.014926577011882785,0.03,mixed
4,0.4250254858298454,0.006167519442822744,0.08714775165676811,0.0,0.6889264685947478,0.0002525588039562368,0.35984843705301733,0.012701172527160196,0.03,mixed
5,0.4233274562920703,0.003509562900564542,0.11155189156800843,0.0,0.767089522111082,0.00025589464758853217,0.40065416422692784,0.011643849686276155,0.03,mixed
6,0.42402439843767376,0.0022008958111332712,0.0758305365046952,0.0,0.8266487137550845,0.00021023345204421946,0.43185485173183613,0.009886726423396369,0.03,mixed
7,0.4243076228444527,0.001555123942189537,-0.010101010101014631,0.0,0.8710993578338089,0.00016393944817864715,0.45518018723997544,0.008353904560614467,0.03,mixed
8,0.4245003621117573,0.0011530379240668187,,0.0,0.9039123013083578,0.00012100779131800074,0.47239029426498236,0.006946373705133339,0.03,mixed
9,0.42429780071145856,0.000882573566420598,,0.0,0.9278701209350246,9.089114294255265e-05,0.48497770323440226,0.00589822447361243,0.03,mixed
10,0.4239952164078853,0.0007176463595324462,,0.0,0.9456539372184233,6.584709507554324e-05,0.49432356523843707,0.004927171517013988,0.03,mixed
11,0.4240434660600161,0.0005713704088633892,,0.0,0.9584332981618283,5.07628557178696e-05,0.5010540041069931,0.004266437523643134,0.03,mixed
12,0.42414739271187896,0.0004759007683406466,,0.0,0.968024753108702,3.658977198391297e-05,0.5060893810585793,0.0035815858908732423,0.03,mixed
13,0.4242531551657783,0.00039431059455445264,,0.0,0.9749846104160521,2.7316418986185198e-05,0.5097585090560649,0.0030645018956262505,0.03,mixed
14,0.42425507830505926,0.00032216288635052783,,0.0,0.9800734303360378,2.0624784130525127e-05,0.5124409989632711,0.002647756778534216,0.03,mixed
15,0.42419261054881935,0.0002680758785854097,,0.0,0.983974837677086,1.5707078778907704e-05,0.514503634039616,0.0022993720130595817,0.03,mixed
16,0.42424121009233945,0.00022680627707602014,,0.0,0.9868723240552396,1.2238677761462705e-05,0.5160298469016914,0.0020178840767835025,0.03,mixed
17,0.42430478678240635,0.00019141950466429458,,0.0,0.9890581279945888,9.37790774743059e-06,0.5171793928103584,0.0017668119849635388,0.03,mixed
18,0.42428828702637383,0.00016317929031207633,,0.0,0.9908089311748693,7.489193336581573e-06,0.5181071966454414,0.001576284199311999,0.03,mixed
19,0.4242577056831,0.00013949129343731765,,0.0,0.992152794476873,5.905850126249084e-06,0.5188167265841913,0.0013913707723564527,0.03,mixed
20,0.4242955904303825,0.00011888960104524357,,0.0,0.9931912515297686,4.934523045027093e-06,0.5193691806314795,0.0012687350530624997,0.03,mixed
21,0.424238684352579,0.00010305819212645052,,0.0,0.994085820359042,3.850104206786177e-06,0.5198392775833054,0.001123610363418237,0.03,mixed
22,0.4242904561772859,8.948891503002909e-05,,0.0,0.9948048485991003,3.1405689924386087e-06,0.5202189208663149,0.0010097368704327892,0.03,mixed
23,0.42428741917476864,7.788819167463248e-05,,0.0,0.995386730456855,2.700512513364893e-06,0.5205255135690952,0.0009358265246713415,0.03,mixed
24,0.42434508818744937,6.706484184355839e-05,,0.0,0.9958553957952867,2.2967442848277842e-06,0.5207725236486371,0.0008535839575635861,0.03,mixed
25,0.4244332873129623,5.974533432671661e-05,,0.0,0.9962772262619053,1.8502110277857408e-06,0.5209988722274492,0.0007638407755362664,0.03,mixed
26,0.4244773349351812,5.275977888912641e-05,,0.0,0.9966041480406734,1.6736825655624357e-06,0.5211714102324899,0.0007226879190319835,0.03,mixed
27,0.4244983202977106,4.5311050863776875e-05,,0.0,0.9968604413418966,1.4188549698217908e-06,0.521304713075882,0.0006672813792540921,0.03,mixed
28,0.4245185817766932,3.975614844522386e-05,,0.0,0.9971103762845764,1.2444498193721817e-06,0.521434346144773,0.0006262739196428413,0.03,mixed
29,0.42456352410781234,3.4381337297169567e-05,,0.0,0.9973231139442617,1.1074750926115384e-06,0.5215439015535435,0.0005905334273707297,0.03,mixed
