step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.27054861986768686,0.39375834197517956,-0.014691552558606505,0.15,0.016355390641104927,0.00015982261416173989,0.005079108304142194,0.4025024557692863,0.03,mixed
1,0.2615000420584429,0.3840104191808182,-0.011158365485794514,0.08,0.26764545614742963,0.002826458084616879,0.0848800915938896,0.07051532984988854,0.03,mixed
2,0.25929423061698204,0.3743188968787101,0.04251192791443906,0.03,0.4595635587877092,0.001984206306738238,0.14556509096765885,0.045268169980635375,0.03,mixed
3,0.2563143684776536,0.3668133873176533,0.09215820983413485,0.0,0.5933195915100543,0.002380477734751619,0.18802838650952214,0.040785673730191686,0.03,mixed
4,0.25479415927096727,0.3575143422341707,0.1392965782132694,0.0,0.6918018833007292,0.0016496567468526726,0.21945671626598248,0.03181448206839832,0.03,mixed
5,0.2549836191853374,0.3496586579003271,0.15629126443623204,0.0,0.7622853134840791,0.0014039522600125494,0.2421172867333742,0.027284600731378676,0.03,mixed
6,0.2534688995468405,0.344088001326142,0.13241585758374494,0.0,0.8157421340224964,0.001061764227602059,0.25932543983432277,0.02245409795174055,0.03,mixed
7,0.2533217254393641,0.3406249822928842,0.11242287168628956,0.0,0.8563948682905737,0.0008545608455825032,0.27239777159935324,0.018936618178427126,0.03,mixed
8,0.25162127682292446,0.33539375330623294,0.024270097194065875,0.0,0.8869729973818298,0.0007401869796151295,0.2822163442325514,0.017246607824038734,0.03,mixed
9,0.2514274116908278,0.33426648458530395,-0.006151242825455431,0.0,0.9107371211040703,0.0006632600633032964,0.2898188700086623,0.01591690513087812,0.03,mixed
10,0.25102553369745734,0.33341765927800615,-0.006151242825455431,0.0,0.9300478685118837,0.0005253983337015208,0.29596671560774473,0.013888181002358805,0.03,mixed
11,0.250467673675601,0.3328788368660895,-0.006151242825455431,0.0,0.9451064682432951,0.00040497280029444716,0.3007380726434335,0.012048252723511297,0.03,mixed
12,0.2508192854751651,0.3324611025655148,-0.006151242825455431,0.0,0.9565428657792354,0.0002953182470758629,0.3043569438942964,0.010137083084664197,0.03,mixed
13,0.25100325412808916,0.33247824478361876,-0.006151242825455431,0.0,0.9653379802982692,0.00022114258337772332,0.3071250627338249,0.00867210763834123,0.03,mixed
14,0.25122920007331123,0.3325297686103241,-0.006151242825455431,0.0,0.9717838441556543,0.00016765941538728332,0.30916405036338185,0.0074792901325339755,0.03,mixed
15,0.25119845005022245,0.33271044382775117,-0.006151242825455431,0.0,0.9767579956991809,0.00013080883855589825,0.3107338201584253,0.006573030368569164,0.03,mixed
16,0.2511801832927084,0.33296406560559894,-0.006151242825455431,0.0,0.9807397592624224,0.00010427719745525681,0.31198362573030497,0.005808036109801407,0.03,mixed
17,0.2514994022286798,0.332877339477281,-0.006151242825455431,0.0,0.9836217176721322,8.497924231056804e-05,0.31289090699612376,0.005196751090558962,0.03,mixed
18,0.25128704031658894,0.3330771525735766,-0.006151242825455431,0.0,0.9858224311895398,6.999841271697633e-05,0.3135837023972375,0.004690568743864816,0.03,mixed
19,0.2512228190197352,0.3329120212802579,-0.006151242825455431,0.0,0.9876703215294934,5.631107329408148e-05,0.3141665327490946,0.004199646959051506,0.03,mixed
20,0.25153087929436396,0.3329989607803925,-0.006151242825455431,0.0,0.9889896774228876,4.8354751247572036e-05,0.3145855837956349,0.0038953605752500664,0.03,mixed
21,0.2516170017089988,0.3325455462720307,-0.006151242825455431,0.0,0.9901645704638357,4.041178992852054e-05,0.3149538856610576,0.003567063929497891,0.03,mixed
22,0.25153503286776496,0.3326061862957193,-0.006151242825455431,0.0,0.9911140820006427,3.484218794076986e-05,0.31524790746828585,0.0032970011555303815,0.03,mixed
23,0.251688914380269,0.3322508875008353,-0.006151242825455431,0.0,0.9918985500812143,3.0196518897548075e-05,0.315488962288444,0.003068065722315936,0.03,mixed
24,0.25163092538868853,0.3321955493543613,-0.006151242825455431,0.0,0.9924523639875704,2.5855967280015893e-05,0.3156577948545934,0.0028484715128135464,0.03,mixed
25,0.2515761201635886,0.33261124247281815,-0.006151242825455431,0.0,0.9930395984712018,2.1765124393047287e-05,0.3158419275686902,0.0026186274481167972,0.03,mixed
26,0.2514835231068089,0.33286890769501126,-0.006151242825455431,0.0,0.9935407863838311,1.925444307433371e-05,0.31600091677785086,0.002464858881525345,0.03,mixed
27,0.25168841140467446,0.332596388647824,-0.006151242825455431,0.0,0.9939619024443337,1.7118478951413592e-05,0.3161285834399817,0.002315208530851862,0.03,mixed
28,0.2518977880488198,0.33248132503329747,-0.006151242825455431,0.0,0.994339013387004,1.5029834284146609e-05,0.31624528323418244,0.0021688447439498757,0.03,mixed
29,0.2518184212676422,0.3326242552997495,-0.006151242825455431,0.0,0.9946227947147922,1.3549713216087162e-05,0.316331700477662,0.0020612469148233005,0.03,mixed
30,0.2517486150966828,0.3326349931324173,-0.006151242825455431,0.0,0.9948075165839806,1.2386995899341352e-05,0.3163876961350037,0.0019796910933619926,0.03,mixed
31,0.25176182490769167,0.3324161713109436,-0.006151242825455431,0.0,0.9950907536237301,1.1076440993425896e-05,0.31647401422329763,0.0018760408386765447,0.03,mixed
32,0.251900734054841,0.3322217691891457,-0.006151242825455431,0.0,0.9953345233929705,9.984453886166732e-06,0.3165479017182318,0.0017821193042078676,0.03,mixed
33,0.25182469294314946,0.3323748780336883,-0.006151242825455431,0.0,0.9955667276190237,8.850796033601923e-06,0.3166199618597747,0.0016762179649158781,0.03,mixed
34,0.2519789938855633,0.33219642258758375,-0.006151242825455431,0.0,0.9957634841157682,8.072156949240027e-06,0.3166790465674906,0.0015967763474097297,0.03,mixed
35,0.2518707820749648,0.3326009417445789,-0.006151242825455431,0.0,0.9959505499019392,7.280736004564058e-06,0.3167364816356058,0.0015186320401667786,0.03,mixed
36,0.2519881095343108,0.33258223620245625,-0.006151242825455431,0.0,0.9961347140538317,6.7885816026604e-06,0.3167927981281749,0.0014635662844123942,0.03,mixed
37,0.2518403243960024,0.3328965425733813,-0.006151242825455431,0.0,0.9963446048069621,5.8998012210043e-06,0.3168576034063776,0.0013621425706953972,0.03,mixed
38,0.2517193614948771,0.3331524769004298,-0.006151242825455431,0.0,0.9965136412402607,5.384093221151048e-06,0.3169102878137805,0.0013015330325637819,0.03,mixed
39,0.25170478708329125,0.33320246092418254,-0.006151242825455431,0.0,0.9966720046109578,4.994866507878787e-06,0.3169627707454488,0.0012487394346116787,0.03,mixed
40,0.25182975852944833,0.33314972630360096,-0.006151242825455431,0.0,0.996861907320695,4.470028095782746e-06,0.31702285150154347,0.0011759087505696186,0.03,mixed
41,0.25178744830424393,0.33314188079760626,-0.006151242825455431,0.0,0.9970196091108285,4.143679557992534e-06,0.317071077782108,0.001121660597796108,0.03,mixed
42,0.2517653595655116,0.3333674452143756,-0.006151242825455431,0.0,0.997138318839556,3.814366775598312e-06,0.31710755394827245,0.001080914544504168,0.03,mixed
43,0.2518254793921909,0.3333875040411381,-0.006151242825455431,0.0,0.9972620726332778,3.6072632030158317e-06,0.31714759278022486,0.0010431517138469815,0.03,mixed
44,0.2517302487399896,0.33364318387545466,-0.006151242825455431,0.0,0.9973866285915292,3.26577320822019e-06,0.3171867137126913,0.0009899702774569619,0.03,mixed
45,0.25177406767990734,0.3335275592559273,-0.006151242825455431,0.0,0.9974712462714089,3.0219381325598092e-06,0.31721231579284637,0.000946521459642895,0.03,mixed
46,0.25180682813497296,0.3334845315433766,-0.006151242825455431,0.0,0.9976146905929875,2.666481398894331e-06,0.31725527741681675,0.0008844485566604022,0.03,mixed
47,0.2518374831318301,0.3334857617988856,-0.006151242825455431,0.0,0.9976878013734456,2.4726453629816255e-06,0.3172784994998085,0.0008591171378759554,0.03,mixed
48,0.2518941107303625,0.33334986668025274,-0.006151242825455431,0.0,0.9977951549647927,2.1960343264947215e-06,0.31731154432761327,0.0008110916591178352,0.03,mixed
49,0.2518437862203581,0.333672700091916,-0.006151242825455431,0.0,0.9978882714463662,2.1027007732509377e-06,0.3173409428189638,0.0007855405390634474,0.03,mixed
50,0.2518829760154618,0.33378039070750654,-0.006151242825455431,0.0,0.9979965657337049,1.9547452825621112e-06,0.3173741808572271,0.0007459751095910861,0.03,mixed
51,0.2518896018516114,0.3337451925833367,-0.006151242825455431,0.0,0.9980472364277797,2.0735846553557452e-06,0.3173896944417321,0.0007447202741205672,0.03,mixed
52,0.2518685234760543,0.333823761242369,-0.006151242825455431,0.0,0.9981239923679581,1.899276095123173e-06,0.31741297622724685,0.0007192054401510006,0.03,mixed
53,0.25189036543634347,0.33392257787265556,-0.006151242825455431,0.0,0.9981834242733449,1.857362078933891e-06,0.3174319807695467,0.0007015782822972483,0.03,mixed
54,0.25197609291547685,0.3337430766770988,-0.006151242825455431,0.0,0.9982470729128328,1.959792262361342e-06,0.3174540223082426,0.0006883535727169488,0.03,mixed
55,0.25199447438955186,0.33371284924839933,-0.006151242825455431,0.0,0.9983001910271977,2.0673493383167705e-06,0.31747062753953675,0.0006798523796358324,0.03,mixed
56,0.2520575122532783,0.3336831593091901,-0.006151242825455431,0.0,0.9983710473716849,1.948185333707852e-06,0.3174927732797844,0.0006505796697632605,0.03,mixed
57,0.2520673001733714,0.33371266556969104,-0.006151242825455431,0.0,0.9984466699434946,1.701129556629675e-06,0.317517229770179,0.0006207176267795944,0.03,mixed
58,0.25206236727476383,0.3337639402412184,-0.006151242825455431,0.0,0.9985246421846916,1.6567688860025743e-06,0.317541711765261,0.0005898303137610128,0.03,mixed
