step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.3361832792250876,0.35987147373915074,0.13,-0.06012912907461527,curated,0.199203187250996,0.6452974727613597,0.7017661021812571,,0,0,,0.53
1,0.3329517283316432,0.3522753910557785,0.06,-0.07042920916776808,curated,0.199203187250996,0.6306461699295913,0.6861296254989876,,15,49,0.234375,0.53
2,0.3343365559982498,0.3479298513806857,0.0,-0.07007895865391907,curated,0.199203187250996,0.6197617243210611,0.6739040673001212,,12,51,0.19047619047619047,0.54
3,0.3344415661169247,0.34509113622616844,0.0,-0.07382541390811226,curated,0.199203187250996,0.611273205195286,0.663597704645913,,10,50,0.16666666666666666,0.54
4,0.3350052662183105,0.34544313059945336,0.0,-0.08414517734193581,curated,0.199203187250996,0.6056348425363864,0.6585165518132251,,8,54,0.12903225806451613,0.54
5,0.33489034978182053,0.34512090718134436,0.0,-0.07253572003300661,curated,0.199203187250996,0.6018676170273327,0.6549605159575705,,13,47,0.21666666666666667,0.54
6,0.3352548337684723,0.34497967527984585,0.0,-0.07253572003300661,curated,0.199203187250996,0.5992462704528638,0.6526849237260686,,9,49,0.15517241379310345,0.54
7,0.33538670763500306,0.34495142339872414,0.0,-0.07253572003300661,curated,0.199203187250996,0.5980591190784255,0.6514933998498051,,11,53,0.171875,0.54
8,0.33542299978686574,0.3449299882000487,0.0,-0.07253572003300661,curated,0.199203187250996,0.5973149269347736,0.6507211776983787,,12,49,0.19672131147540983,0.54
9,0.3354766319499028,0.34489618539374933,0.0,-0.07253572003300661,curated,0.199203187250996,0.5968669209424702,0.6502622139458333,,20,45,0.3076923076923077,0.54
10,0.33544479659626125,0.34487386065213144,0.0,-0.07253572003300661,curated,0.199203187250996,0.5965842276799812,0.6499677584294342,,14,52,0.21212121212121213,0.54
11,0.3354157863721992,0.3448548798255879,0.0,-0.07253572003300661,curated,0.199203187250996,0.5963907360663723,0.6497958723130063,,16,47,0.25396825396825395,0.54
12,0.33540240682783634,0.3448585406169615,0.0,-0.07253572003300661,curated,0.199203187250996,0.5962999304580154,0.6497384714755041,,12,44,0.21428571428571427,0.54
13,0.335402991096175,0.3448566343255741,0.0,-0.07253572003300661,curated,0.199203187250996,0.5962357045812445,0.649688301905062,,15,43,0.25862068965517243,0.54
14,0.33540537405306914,0.34485725846915477,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961953859560577,0.6496627906981366,,17,42,0.288135593220339,0.54
15,0.33540665612996073,0.34485600393638455,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961747432364952,0.6496461290233996,,15,55,0.21428571428571427,0.54
16,0.33540772234932886,0.3448547616609603,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961593928945058,0.6496360542863251,,13,51,0.203125,0.54
17,0.33540880607274765,0.3448548970289334,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961527288443902,0.6496313331719509,,20,56,0.2631578947368421,0.54
18,0.3354087663813632,0.3448549798317475,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961486561010774,0.6496285991244132,,18,48,0.2727272727272727,0.54
19,0.3354082676694359,0.3448550497829573,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961464038541671,0.6496268319275477,,13,46,0.22033898305084745,0.54
20,0.33540810724684383,0.3448548836769265,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961448786361134,0.649625569847194,,13,44,0.22807017543859648,0.54
21,0.33540798914319303,0.34485486718082375,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961442285521027,0.6496248868239786,,16,47,0.25396825396825395,0.54
22,0.3354079850765108,0.3448548487637834,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961436612012321,0.6496244991574511,,13,46,0.22033898305084745,0.54
23,0.33540797519210713,0.34485484062765537,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961433735551757,0.6496242575705119,,10,44,0.18518518518518517,0.54
24,0.3354080031234576,0.34485484421952994,0.0,-0.07253572003300661,curated,0.199203187250996,0.5961431723318501,0.649624122023585,,21,47,0.3088235294117647,0.54
