step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.3361832792250876,0.35987147373915074,0.38,0.012975262692521184,echo,0.19791666666666666,0.7554030252691697,0.6048373421790382,0.20414547675797906,0,0,,0.53
1,0.34131394333368875,0.3551857600762449,0.4,0.03869823719620323,echo,0.19791666666666666,0.7469148053482906,0.5729699696042342,0.19921392075536765,23,131,0.14935064935064934,0.54
2,0.3425675616491502,0.35317270050394284,0.41,0.06512477175897749,echo,0.19791666666666666,0.735076531864572,0.5587238877006859,0.19913142168730524,24,136,0.15,0.54
3,0.3432118287940299,0.35144831019986356,0.42,0.07552456260506821,echo,0.19791666666666666,0.725632844431111,0.5536748923478074,0.198081454911461,24,139,0.147239263803681,0.54
4,0.3437594269602011,0.3502442242805847,0.42,0.07186464692767687,echo,0.19791666666666666,0.7191891910822065,0.5506763746607489,0.1992063303449671,24,140,0.14634146341463414,0.54
5,0.3441670776231077,0.3490750521178586,0.45,0.07186464692767687,echo,0.19791666666666666,0.7145272212330849,0.5479765383424848,0.20099613516461318,24,140,0.14634146341463414,0.54
6,0.3436086975144626,0.347215442789456,0.44,0.06703568334988269,echo,0.19791666666666666,0.7105304065704617,0.5446156979350729,0.20060044233027208,26,141,0.15568862275449102,0.54
7,0.34353170477736145,0.34588770795212836,0.44,0.06703568334988269,echo,0.19791666666666666,0.7061737834248062,0.5421970521903886,0.20134407433201768,26,142,0.15476190476190477,0.54
8,0.34378930201859453,0.3448438154440272,0.42,0.06703568334988269,echo,0.19791666666666666,0.7014199221815939,0.5398960977839505,0.20301439136355987,28,143,0.16374269005847952,0.55
9,0.34392976487558613,0.3438537211616633,0.42,0.07807933194154476,echo,0.19791666666666666,0.6986103963744397,0.537829065053119,0.204320527936447,28,144,0.16279069767441862,0.55
10,0.344212969342647,0.3429860990378025,0.42,0.08517456569404626,echo,0.19791666666666666,0.696635871999672,0.5361095992900464,0.20630807862358647,28,144,0.16279069767441862,0.55
11,0.3443883579448302,0.3420978161124363,0.4,0.08517456569404626,echo,0.19791666666666666,0.6952432163939387,0.5344797597583772,0.20770869382530627,28,144,0.16279069767441862,0.55
12,0.3445260917534529,0.341273879299476,0.4,0.08517456569404626,echo,0.19791666666666666,0.6939349530144218,0.5330064497792438,0.20915294515711447,28,144,0.16279069767441862,0.55
13,0.3447461221499789,0.34056931461744194,0.4,0.08517456569404626,echo,0.19791666666666666,0.6929582404725222,0.53162074615926,0.21063254776142282,28,144,0.16279069767441862,0.55
14,0.34489025359568115,0.33985136026732937,0.4,0.08133971291866025,echo,0.19791666666666666,0.6918486104465851,0.5302936830953958,0.21197206304355848,28,144,0.16279069767441862,0.55
15,0.34503696626687597,0.33925796011247356,0.4,0.0699389132997536,echo,0.19791666666666666,0.6910705636056729,0.5290894360370505,0.21325092175905058,28,144,0.16279069767441862,0.55
16,0.3449692633024752,0.338199145656442,0.39,0.0699389132997536,echo,0.19791666666666666,0.6887057309239776,0.5273588908692393,0.213867459513846,28,146,0.16091954022988506,0.55
17,0.3447400044569585,0.33704991321880173,0.37,0.07535527701932793,echo,0.19791666666666666,0.6863672172344404,0.5252076868676654,0.2143220070429825,28,147,0.16,0.56
18,0.34463981583194503,0.3359489401008284,0.37,0.08112381155859422,echo,0.19791666666666666,0.6842723204868575,0.5228974625908956,0.21553488353278522,28,148,0.1590909090909091,0.56
19,0.34467135949137956,0.33509875575197784,0.37,0.08112381155859422,echo,0.19791666666666666,0.6828510936193601,0.5209897455656498,0.2170272455868144,28,148,0.1590909090909091,0.56
