step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.09697059601237486,0.40166887989317596,0.3,-0.014296265568562354,mixed,0.05,0.6702490626676372,0.7514644950098951,,0,0,,0.34
1,0.09570810102498103,0.39471773201878446,0.34,0.0006121904383179202,mixed,0.05,0.6789303329263615,0.733956555550304,,17,222,0.07112970711297072,0.34
2,0.09542058313071568,0.3835997542624517,0.32,0.024487462566017578,mixed,0.05,0.673331154386511,0.714278292131282,,11,247,0.04263565891472868,0.36
3,0.09593446889439536,0.37704207174878185,0.28,0.030511013660498302,mixed,0.05,0.6642605189838336,0.7012161182236255,,13,249,0.04961832061068702,0.36
4,0.09492399477841584,0.37473187791134743,0.28,0.054441336849961657,mixed,0.05,0.659267098898888,0.6961048408285584,,13,243,0.05078125,0.36
5,0.0927098453205513,0.3723467098794533,0.23,0.05662132248403562,mixed,0.05,0.6573697808178909,0.6912398343736444,,16,253,0.05947955390334572,0.36
6,0.09163809878159329,0.37126653157554224,0.24,0.044535415438692764,mixed,0.05,0.656388735451588,0.6888047634109343,,12,246,0.046511627906976744,0.36
7,0.09219320707045407,0.3707436113171321,0.21,0.05508475726810877,mixed,0.05,0.6594073191924579,0.6864349917131016,,15,244,0.05791505791505792,0.36
8,0.09307576560922447,0.36837314046080266,0.22,0.05784141608626229,mixed,0.05,0.6574922667829864,0.6831680015106907,,14,247,0.05363984674329502,0.36
9,0.0921115088709187,0.369383470488505,0.2,0.05784141608626229,mixed,0.05,0.6602904792869377,0.6836177056901424,,12,239,0.04780876494023904,0.36
10,0.09134450133162347,0.369329104389646,0.17,0.04979357109609743,mixed,0.05,0.6597486249662963,0.6829909877058311,,10,245,0.0392156862745098,0.36
11,0.0919977900271353,0.3690762905881268,0.15,0.04979357109609743,mixed,0.05,0.659765308863436,0.682086707185094,,13,256,0.048327137546468404,0.36
12,0.09290917675988113,0.3671160975148782,0.15,0.05424779804215581,mixed,0.05,0.6602542255610531,0.6796012615021254,,15,234,0.060240963855421686,0.36
13,0.09234010110236687,0.36731935441210195,0.14,0.05424779804215581,mixed,0.05,0.6605493699265057,0.679456984894303,,11,238,0.04417670682730924,0.36
14,0.09100437704990805,0.3691624566694469,0.15,0.04979357109609743,mixed,0.05,0.661880683616079,0.6810032715521495,,11,233,0.045081967213114756,0.36
15,0.09161887437921021,0.36840371517215786,0.15,0.03923094174749221,mixed,0.05,0.6629901011342845,0.6798243574011383,,14,241,0.054901960784313725,0.36
16,0.09167730909474438,0.36751216462327685,0.13,0.04564624368016457,mixed,0.05,0.6606058681662202,0.6789106902099001,,13,240,0.05138339920948617,0.36
17,0.09137010301760276,0.3671825485302982,0.12,0.03044891886696253,mixed,0.05,0.659318019611527,0.6784253984826011,,14,245,0.05405405405405406,0.36
18,0.09113259402306621,0.36743174904221343,0.13,0.026617932110107177,mixed,0.05,0.6603299141479536,0.6783651714259382,,13,235,0.05241935483870968,0.36
19,0.09188683626442604,0.36655881257078166,0.13,0.02011171291249913,mixed,0.05,0.66063840130362,0.6771188742638271,,14,247,0.05363984674329502,0.36
20,0.09106886625038489,0.3673430710657282,0.13,0.00942339828070343,mixed,0.05,0.6612998229441969,0.6778737204118113,,10,235,0.04081632653061224,0.36
21,0.09143204696570456,0.36596805856559117,0.11,0.012861496433101161,mixed,0.05,0.6607253575071372,0.6762220547301577,,13,238,0.05179282868525897,0.36
22,0.0913611774136447,0.3661738846848442,0.11,0.006928339601555269,mixed,0.05,0.6610319118086452,0.676218033916663,,14,244,0.05426356589147287,0.36
