step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.27054861986768686,0.39375834197517956,0.002980380684207598,0.15,0.02502164502164502,0.0004939922431554942,0.01300523541609513,0.4892018030062102,0.03,echo
1,0.27066612468418055,0.3867912453496622,0.06910826837727961,0.1,0.2120022967503637,0.016122066302082884,0.10674284300530912,0.29862562709519463,0.03,echo
2,0.26836117543342736,0.3810124119244287,0.18243888113941706,0.08,0.3576779736957632,0.04194512956298015,0.17961791080991737,0.2785715631503362,0.03,echo
3,0.2675197988354876,0.3773305916782958,0.2068726009870225,0.07,0.4671206575960508,0.06834967194673763,0.2337262887604835,0.26599145520626366,0.03,echo
4,0.2680462260948971,0.3759755197494523,0.2167873286538532,0.07,0.54637744913038,0.09225998617734295,0.27285781108300233,0.2589689876650168,0.03,echo
5,0.2690551422214997,0.3751486866564586,0.22789153292750414,0.07,0.6029385126432645,0.11195658223425017,0.3007770789251779,0.25503025571225635,0.03,echo
6,0.2709455056807972,0.3749371589580133,0.23326369502116878,0.06,0.6430272409133179,0.12723014096896917,0.32052094974051315,0.25273355524381286,0.03,echo
7,0.2717882153304258,0.37425659818906043,0.24641759543821964,0.06,0.671759214057101,0.13882714385670833,0.33461870867988625,0.2511477223082717,0.03,echo
8,0.27279081208277894,0.3736194090637748,0.25456192571502523,0.06,0.6920834657267837,0.14735781068273932,0.34449703721063357,0.25007962708202824,0.03,echo
9,0.27333650985399915,0.37296308451847004,0.25456192571502523,0.06,0.7069351952421579,0.15375365419109888,0.3516962070252076,0.24926897301260353,0.03,echo
10,0.27349136466966306,0.3722328280834789,0.25456192571502523,0.06,0.7179420373343381,0.15856529945309694,0.35705040812977606,0.24846788470374193,0.03,echo
11,0.27350154209018024,0.3715498722962417,0.25456192571502523,0.06,0.7263283563766849,0.16225215148758443,0.3611595623738837,0.2475168224317477,0.03,echo
12,0.2735416287189328,0.37102872285900435,0.25456192571502523,0.06,0.7325036923848762,0.16498848725872706,0.3641996387868048,0.24669284327126134,0.03,echo
13,0.27349450912387946,0.3705287311223969,0.22808323716636267,0.06,0.7374015469691391,0.16716959549433721,0.3666318565595423,0.24586655380703804,0.03,echo
14,0.2734601743801593,0.37012612296271613,0.22808323716636267,0.06,0.7412076992521475,0.16886508585804752,0.3685277995169222,0.24506962102753022,0.03,echo
15,0.27341748973370994,0.3697639148019498,0.22808323716636267,0.06,0.7441975057941462,0.17020142185254328,0.3700286260971533,0.24435234638747916,0.03,echo
16,0.27328031641241946,0.3693876003984913,0.2148564997186268,0.06,0.7466203930096385,0.17128538397538326,0.3712503274068878,0.24368359486175592,0.03,echo
17,0.2745434722218448,0.3695571315700825,0.2148564997186268,0.06,0.750964310906417,0.1690939250629116,0.37319475059772217,0.24054470175826195,0.03,echo
18,0.2748338518474513,0.3692299320406262,0.21830587703094959,0.05,0.7538618252554429,0.16791203944847577,0.3745476027527222,0.2382409305162747,0.03,echo
19,0.2748138437393133,0.3688691859743917,0.21623766866991714,0.05,0.756301172064086,0.16758884014568412,0.3756778143460469,0.23651115813389353,0.03,echo
20,0.27475819168519094,0.3685846903675815,0.20541481338232445,0.04,0.7583476725388523,0.16775338705981294,0.376648537885919,0.23513619132553615,0.03,echo
21,0.27455856274665313,0.36821089603661245,0.2164049214764429,0.03,0.7600487962694416,0.16811862445139947,0.3774510647241984,0.23404545430050588,0.03,echo
22,0.27432986422146105,0.36784070910732836,0.2178437462186907,0.03,0.761441609792341,0.16853981812597496,0.37811768148984043,0.2331782650871081,0.03,echo
23,0.2740969404178759,0.3674861462464704,0.2245747154571044,0.03,0.7625959845148224,0.1689539213663049,0.37867534579133333,0.23251087669973472,0.03,echo
24,0.27387976865531094,0.3671706894018524,0.23095346244373782,0.03,0.7635730445635858,0.1693402067013716,0.379151400673502,0.2319846315930819,0.03,echo
25,0.2736398392128756,0.3668457154543413,0.2289479188454298,0.03,0.7644114118930454,0.16968628269652095,0.3795562636895811,0.23154554706845773,0.03,echo
26,0.2733851059997618,0.36652127345939645,0.2289479188454298,0.03,0.7650767945937241,0.1699677108750288,0.3798800946179922,0.2312119103383084,0.03,echo
27,0.27316080952436494,0.3662350082645889,0.2289479188454298,0.03,0.765675892093916,0.1702269427948769,0.3801739968580015,0.2309304777422031,0.03,echo
28,0.2729356498419057,0.3659547313731986,0.2289479188454298,0.03,0.7661883212717371,0.17044774373067156,0.3804215782274462,0.23068144805717253,0.03,echo
29,0.2727267454443156,0.36569742624021484,0.2289479188454298,0.03,0.766639729711315,0.17064268857464757,0.3806397698011355,0.23046825412416808,0.03,echo
30,0.27252283514463527,0.36545352644489815,0.2289479188454298,0.03,0.7670341003202792,0.17081303436404688,0.380830178674024,0.23028351832140317,0.03,echo
31,0.27234989472721627,0.36525054719812905,0.2289479188454298,0.03,0.767381755382813,0.1709640596307456,0.3809992270483509,0.23011549369842868,0.03,echo
32,0.2721647584541877,0.36503754275399936,0.2289479188454298,0.03,0.7676895949873451,0.1710961362790443,0.38114610217575035,0.22995908750098765,0.03,echo
33,0.2719866470567654,0.36483689280824017,0.2289479188454298,0.03,0.7679429287626136,0.1712051990339918,0.3812676673569456,0.22983380814280352,0.03,echo
34,0.2718349317544484,0.3646616628061103,0.2289479188454298,0.03,0.7682020491421935,0.17131786696378865,0.38139161126627125,0.22970636826334712,0.03,echo
35,0.27168669275143875,0.36449222645585266,0.2289479188454298,0.03,0.768411455396469,0.17140828599376434,0.38149142272400616,0.22959674031028499,0.03,echo
36,0.2715413368291731,0.3643266761686565,0.2289479188454298,0.03,0.7686143106918337,0.17149592029540905,0.3815862844601957,0.22948841895815064,0.03,echo
37,0.27139821894270844,0.36416805959992016,0.2236869814261046,0.03,0.7687889611787252,0.1715708909506727,0.3816665356176299,0.22938945839339922,0.03,echo
38,0.2712560448295903,0.3640147170085002,0.2236869814261046,0.03,0.7689468628638992,0.1716387560941185,0.3817404255089105,0.22929468792895988,0.03,echo
39,0.27112884079329336,0.36387553632707503,0.2236869814261046,0.03,0.7691072981443777,0.17170818713939426,0.38181351457997825,0.22920327491048298,0.03,echo
40,0.2710046676782667,0.3637421552562177,0.2236869814261046,0.03,0.7692469419322724,0.17176851175606087,0.38187764999611806,0.2291176293020247,0.03,echo
41,0.2708964573673818,0.3636270458537617,0.2236869814261046,0.03,0.76939306537279,0.17183185158057104,0.38194465065886424,0.2290287845918374,0.03,echo
42,0.27078264274434405,0.36350688238198686,0.2236869814261046,0.03,0.7695040703404783,0.1718798761044188,0.38199665647531816,0.2289578429773725,0.03,echo
43,0.27068492672241995,0.36340429866275775,0.19531638186178146,0.03,0.7696226669304561,0.17193182618262448,0.3820517504486376,0.22888854042442092,0.03,echo
44,0.27058940939093096,0.36330362166609637,0.19531638186178146,0.03,0.7697230434207855,0.17197554228607864,0.3820980494848941,0.22882498943063254,0.03,echo
45,0.2705001192359893,0.36321039839262315,0.19531638186178146,0.03,0.7698259169054081,0.17202042561681968,0.3821445012346065,0.22876007094862744,0.03,echo
46,0.27040591003522835,0.3631136417134327,0.19531638186178146,0.03,0.7699239786772445,0.17206326887144288,0.3821891690778436,0.22869940152516904,0.03,echo
47,0.2703175574401729,0.36302335069197567,0.16715724244771502,0.03,0.7700264853426062,0.17210794602034543,0.3822354086172781,0.22863273811657067,0.03,echo
48,0.27023284302096223,0.3629375679821161,0.13531041005201647,0.03,0.770112719968811,0.17214586323932538,0.3822740723089983,0.2285823568623067,0.03,echo
49,0.27015923653270496,0.36286199201968705,0.12910770393819831,0.03,0.7701975023516522,0.17218308235154212,0.3823132231838382,0.2285279199515179,0.03,echo
50,0.27008212261118913,0.362784446469403,0.12910770393819831,0.03,0.7702842113252727,0.17222108209860973,0.38235138405544034,0.22847280030303807,0.03,echo
51,0.2700124013022607,0.3627142661222167,0.11971236215342303,0.03,0.7703516091719946,0.17225079155707804,0.38238184284485593,0.22843154045837863,0.03,echo
52,0.26994995046709397,0.36265155678880895,0.11429552927320019,0.03,0.7704256543185292,0.172283516846011,0.38241583637344156,0.22838658924290287,0.03,echo
53,0.2698879900896346,0.3625895957669743,0.08777072961156455,0.03,0.7704998482029706,0.17231622336986785,0.38244864978141657,0.22834152475863007,0.03,echo
54,0.2698223759481761,0.36252494965833193,0.08777072961156455,0.03,0.7705701342748803,0.17234728105614064,0.3824807915244307,0.22829776158592807,0.03,echo
55,0.26976931085173433,0.3624718972305088,0.1001699541638769,0.03,0.7706345001886613,0.1723758587077515,0.38251098156794433,0.228258162766609,0.03,echo
56,0.26971206121464486,0.3624159703557994,0.1001699541638769,0.03,0.7707037330225832,0.17240651577163965,0.3825423669386735,0.22821480156405996,0.03,echo
57,0.2696598186759728,0.36236480821083705,0.1001699541638769,0.03,0.7707703763517454,0.17243609451659606,0.38257264212938663,0.22817478952873785,0.03,echo
58,0.2696079761201096,0.3623144624891717,0.1001699541638769,0.03,0.7708283138855307,0.17246181358598928,0.3825988143166144,0.2281401017888305,0.03,echo
59,0.2695608685948146,0.3622684856382016,0.1001699541638769,0.03,0.7708868161993762,0.17248783015508287,0.3826255465329889,0.22810545792064857,0.03,echo
60,0.2695238418028975,0.3622319582391674,0.1001699541638769,0.03,0.7709437058371269,0.17251322950121523,0.3826519469323535,0.22807272914558993,0.03,echo
61,0.2694811731339914,0.3621906829222666,0.1001699541638769,0.03,0.7709969165655229,0.17253689678285705,0.3826760275503285,0.22803980938163348,0.03,echo
62,0.2694430420339501,0.36215399515327845,0.1001699541638769,0.03,0.771053710953744,0.1725623124397092,0.3827022171936163,0.22800862142592151,0.03,echo
63,0.2694058647606237,0.3621182385758606,0.1001699541638769,0.03,0.7711040212689387,0.17258478969455712,0.38272495538447193,0.22797986870677078,0.03,echo
64,0.2693700245714911,0.3620836651373661,0.1001699541638769,0.03,0.7711441223010482,0.1726026712293218,0.3827433076197388,0.2279543445030302,0.03,echo
65,0.26933462661094665,0.36204990143451465,0.1001699541638769,0.03,0.7711955055222408,0.17262560736298638,0.38276682660649086,0.22792306622795253,0.03,echo
66,0.269301699933475,0.3620184609353755,0.1001699541638769,0.03,0.771234447098765,0.1726429818448062,0.38278396535941783,0.2278984598721246,0.03,echo
67,0.26926755352765286,0.3619862380815746,0.1001699541638769,0.03,0.7712768360974018,0.17266195955645144,0.3828032828201096,0.22787504603369385,0.03,echo
68,0.26923953827871444,0.36195939051347836,0.1001699541638769,0.03,0.7713156748880208,0.17267938438961697,0.38282163737938874,0.22785292422007472,0.03,echo
69,0.269212373675673,0.3619334642794222,0.1001699541638769,0.03,0.7713554168854945,0.1726971658231497,0.38283973988255177,0.2278281542594,0.03,echo
70,0.26918767721505643,0.3619101286283407,0.1001699541638769,0.03,0.7713981302696348,0.17271635554332362,0.3828591365570926,0.22780408294990026,0.03,echo
71,0.2691638791325756,0.36188756678960377,0.1001699541638769,0.03,0.7714356887445107,0.17273321019286628,0.38287640265834966,0.22778237428213102,0.03,echo
72,0.26913806468321594,0.3618634007664405,0.1001699541638769,0.03,0.7714699739124563,0.17274858920029026,0.38289202992510224,0.22776137779297315,0.03,echo
73,0.2691124514437433,0.36183955761635933,0.1001699541638769,0.03,0.7715037062735801,0.17276371256004264,0.3829071592824516,0.22774103114461355,0.03,echo
74,0.2690908276166546,0.3618193429021397,0.1001699541638769,0.03,0.7715413793977608,0.17278064022035455,0.3829243926317374,0.22771974335303768,0.03,echo
75,0.26907052105469487,0.3618003579157098,0.1001699541638769,0.03,0.7715719984439912,0.17279441424618291,0.38293844018298673,0.2277019699740687,0.03,echo
76,0.26905085415283236,0.36178192003690923,0.1001699541638769,0.03,0.771599133486272,0.17280661579654208,0.38295080059103026,0.2276860473213661,0.03,echo
77,0.2690324365432438,0.36176478404136714,0.1001699541638769,0.03,0.7716297600964332,0.17282039757208933,0.3829649602766467,0.22766780972001413,0.03,echo
78,0.2690143111860852,0.36174793547505074,0.1001699541638769,0.03,0.7716588216968515,0.1728334740089705,0.3829784552166434,0.22765018049780736,0.03,echo
79,0.268997624198336,0.3617323850659597,0.1001699541638769,0.03,0.7716856621456067,0.17284554174490058,0.382990505929726,0.22763389542004375,0.03,echo
80,0.26898355035829125,0.3617191994699016,0.1001699541638769,0.03,0.7717138241715928,0.17285823453974059,0.3830034224623723,0.2276174352156687,0.03,echo
81,0.2689663027376224,0.3617033780232588,0.1001699541638769,0.03,0.7717373162228738,0.17286882312469853,0.3830143383562144,0.22760441275086593,0.03,echo
82,0.26895040275652954,0.3616887745786402,0.1001699541638769,0.03,0.7717658568107751,0.17288168401290313,0.3830273403171967,0.2275878524381133,0.03,echo
83,0.2689377903253909,0.3616770464287628,0.1001699541638769,0.03,0.7717918669147946,0.1728933968177453,0.38303915796451826,0.22757102133506835,0.04,echo
84,0.26892440232969284,0.36166477302870625,0.1001699541638769,0.03,0.7718158170775727,0.1729042103484897,0.38305037837049866,0.22755836340459695,0.04,echo
85,0.26891212460013614,0.3616534273271225,0.1001699541638769,0.03,0.771837724834191,0.17291408789345056,0.3830603665609089,0.22754498038864937,0.04,echo
86,0.26889872351495275,0.3616412393165107,0.1001699541638769,0.03,0.7718604453940745,0.17292434140774118,0.38307083148736715,0.22753194477279748,0.04,echo
87,0.26888739065966094,0.36163084169208903,0.1001699541638769,0.03,0.7718817123763673,0.17293394283852187,0.38308059149235185,0.22752011028501812,0.04,echo
88,0.2688758489608343,0.36162032359177987,0.1001699541638769,0.03,0.7719022135027278,0.1729431983606434,0.3830898150635626,0.2275080351515608,0.04,echo
89,0.2688651541297968,0.36161056716969847,0.1001699541638769,0.03,0.7719239633349132,0.17295302264557985,0.3830998871799335,0.22749517559760846,0.04,echo
90,0.26885822762205885,0.3616040648556688,0.1001699541638769,0.03,0.7719433858466839,0.17296180414744086,0.38310901857262103,0.2274842429937104,0.04,echo
91,0.2688475135259823,0.36159440318958064,0.1001699541638769,0.03,0.7719608209334189,0.17296968335810287,0.3831168048504348,0.2274740918951089,0.04,echo
92,0.2678531322409019,0.36080386168878226,0.10166302191934098,0.03,0.7712840910050619,0.17269825273562195,0.38280667262232076,0.22813740863684073,0.04,echo
93,0.267048572759816,0.360231552205719,0.11788059626956979,0.03,0.7707761603163193,0.1725321147748981,0.3825733516601719,0.22863998850307254,0.04,echo
94,0.2664040332838885,0.3598102810798273,0.11788059626956979,0.03,0.7704683113915733,0.17244175550228755,0.38243733504183586,0.22894612029166111,0.04,echo
95,0.26630219125060206,0.3594823094275229,0.12156550712385299,0.03,0.7697890285066111,0.17218868580780045,0.3821383681074619,0.2295682965965669,0.04,echo
96,0.2661613022474192,0.3592250344275448,0.14121107518778703,0.03,0.7693947467014998,0.1720397684988525,0.3819787652154345,0.22994239351847184,0.05,echo
97,0.2662016486525393,0.3590790262825163,0.15186524598917492,0.03,0.7691768465039623,0.17194323099191117,0.3818849430993119,0.23014103830197827,0.05,echo
98,0.266230322885684,0.35896959962520625,0.15186524598917492,0.03,0.7691377457754411,0.17191250479461267,0.38188079111090156,0.23017373663283167,0.05,echo
99,0.2662452625415959,0.35887183074784335,0.15186524598917492,0.03,0.7691291499489332,0.1718948032874528,0.3818862265603584,0.23017332205883434,0.05,echo
100,0.26628821090224497,0.35880302434276923,0.15186524598917492,0.03,0.7691882722187735,0.17189981491698147,0.38192111773678894,0.23010659352870946,0.07,echo
101,0.2663355685592855,0.3587528662591821,0.15186524598917492,0.03,0.7692507348713558,0.1719128803990513,0.381956800447473,0.23004074231565866,0.07,echo
102,0.26637588037589055,0.3587100700455844,0.15186524598917492,0.03,0.7692982141711165,0.17192207778578772,0.38198450309190757,0.22998950062751974,0.07,echo
103,0.2664261888624764,0.3586832057490146,0.15186524598917492,0.03,0.7694070972111589,0.17195682813147212,0.3820413081932365,0.22988434050592674,0.08,echo
104,0.266489127862545,0.358668899520414,0.15186524598917492,0.03,0.7695109543460397,0.17199187980788552,0.38209359744725135,0.22978659966183812,0.08,echo
105,0.2665460147174176,0.35865625516163996,0.15186524598917492,0.03,0.7695770661099192,0.17201386541085964,0.382126200812767,0.22972520067028468,0.08,echo
106,0.26661116081552744,0.3586522027142865,0.15186524598917492,0.03,0.7696618506367308,0.172044390957384,0.38216805646404295,0.22964961016514124,0.08,echo
107,0.2650223005128214,0.3570518425312159,0.15186524598917492,0.03,0.7720535304987309,0.16905598508976521,0.38365819665700795,0.22719370117722504,0.08,echo
108,0.26456001087418857,0.35657444557883994,0.17012846680273747,0.03,0.7738033388915789,0.1672513670055541,0.3847338006597588,0.22540993792515465,0.08,echo
109,0.26428932891154683,0.3563632362686384,0.17012846680273747,0.03,0.7754569750041199,0.1664951255117051,0.38574941654583716,0.22377422249683845,0.08,echo
110,0.2642981429055427,0.35633725141817685,0.17012846680273747,0.03,0.7767624334374281,0.16622546740051836,0.3865507823950224,0.22248721491129103,0.08,echo
111,0.2643451991089124,0.3563406579540521,0.17012846680273747,0.03,0.77776875067474,0.16622185315080715,0.38716678401521526,0.2215034685237896,0.08,echo
112,0.26438992919541815,0.3563480078369273,0.17012846680273747,0.03,0.7785411878007615,0.16632996666940802,0.38763651564621265,0.2207565407925688,0.08,echo
113,0.2644543421010722,0.35636707248337024,0.17012846680273747,0.03,0.779120094481913,0.16646409501897325,0.38798506199881044,0.2202003101145472,0.08,echo
114,0.26450943201263755,0.3563829039730498,0.17012846680273747,0.03,0.7795469898305911,0.16659007786353286,0.3882413000220786,0.21979435646527606,0.08,echo
115,0.26456054636360304,0.3563969801214482,0.17012846680273747,0.03,0.7798503822593265,0.16669098685745606,0.3884223570403271,0.21950865478382853,0.08,echo
116,0.2646168092391522,0.35641582020034407,0.17012846680273747,0.03,0.7800682166024534,0.16676917569506639,0.3885506260962789,0.21930624581401234,0.08,echo
117,0.2646667759851803,0.35643099105642984,0.17012846680273747,0.03,0.7802219662651421,0.16682704177799773,0.38863991725454616,0.21916609828072736,0.08,echo
118,0.2647146426498336,0.3564453078514401,0.17012846680273747,0.03,0.7803361702120714,0.1668711499104285,0.38870386953466624,0.21906324509148817,0.08,echo
119,0.26476350963084927,0.3564607667466096,0.17012846680273747,0.03,0.7804222467687798,0.1669050743969714,0.38875118378265894,0.21898931908090005,0.08,echo
120,0.26481052031055247,0.35647503230790556,0.17012846680273747,0.03,0.7804749643021612,0.16692573570029864,0.38877958768723614,0.21894373788854224,0.08,echo
121,0.2648571624291322,0.35648967552439287,0.17012846680273747,0.03,0.7805160519706135,0.16694188848979763,0.3888015341749913,0.21891025267602557,0.08,echo
122,0.26490512497143637,0.3565059569669742,0.17012846680273747,0.03,0.7805594610005926,0.16695849957268902,0.38882193733019155,0.21887394409635733,0.08,echo
123,0.2649504258429871,0.35652082233450094,0.17012846680273747,0.03,0.7805927571015195,0.16697127528382472,0.388837621740116,0.2188469289934811,0.08,echo
124,0.26499249125351904,0.35653346750970416,0.17012846680273747,0.03,0.7806139938530889,0.16697935458270302,0.38884706147817466,0.21883093751726435,0.08,echo
125,0.26503274971594676,0.3565457343929028,0.17012846680273747,0.03,0.7806352478589607,0.16698750515634989,0.3888562564349652,0.2188149960208766,0.08,echo
126,0.2650706106743483,0.3565568226062301,0.17012846680273747,0.03,0.7806565887936384,0.16699570296763175,0.3888657762238969,0.21879889735283015,0.08,echo
127,0.26511134186113117,0.3565697896596733,0.17012846680273747,0.03,0.780675094030884,0.16700253298526951,0.3888727485843464,0.2187850071636956,0.08,echo
128,0.26514713729684475,0.3565802840346436,0.17012846680273747,0.03,0.7806917893276306,0.16700873058245552,0.38887928074549877,0.21877216601277938,0.09,echo
129,0.2651845756207381,0.3565914766363615,0.17012846680273747,0.03,0.7807089411867468,0.1670152770721511,0.3888856776219454,0.2187590221130631,0.1,echo
130,0.265220877311984,0.3566020780194424,0.17012846680273747,0.03,0.7807177912478115,0.1670184051987422,0.38888837662294146,0.21875257476406063,0.11,echo
131,0.2652581916170166,0.35661381702686484,0.17012846680273747,0.03,0.7807342958131109,0.1670245574535905,0.388894885746375,0.2187389330070792,0.12,echo
132,0.2652898586147447,0.3566225911023739,0.17012846680273747,0.03,0.78074928579719,0.1670301905956057,0.38890104358411165,0.218726388213467,0.12,echo
133,0.2653230954876437,0.3566320417843772,0.17012846680273747,0.03,0.7807595405357646,0.16703390565788787,0.3889040148298782,0.218717671639441,0.12,echo
134,0.2653524040645165,0.3566390375362722,0.17012846680273747,0.03,0.7807728722311778,0.16703917098129545,0.3889100644190549,0.21870663035745735,0.12,echo
135,0.26538670246019586,0.35664978265839653,0.17012846680273747,0.03,0.7807869912293541,0.16704435232091885,0.3889150793782564,0.21869338705901115,0.12,echo
136,0.26541877379406625,0.35665901001158795,0.17012846680273747,0.03,0.7807982363088994,0.16704855952667416,0.3889193219375942,0.21868359100242615,0.12,echo
137,0.2654473675226766,0.35666702656873184,0.17012846680273747,0.03,0.780813656932041,0.1670544443315537,0.38892605668789754,0.21867001251706314,0.12,echo
138,0.2654751271060821,0.35667409024152474,0.17012846680273747,0.03,0.7808248882914738,0.16705876422905422,0.38893049394628315,0.21865960047849187,0.12,echo
139,0.26550593578932147,0.3566832905771907,0.17012846680273747,0.03,0.7808340336122183,0.1670620509495194,0.3889335993707953,0.2186504528906953,0.12,echo
140,0.2655332697480325,0.35669095231240616,0.17012846680273747,0.03,0.7808481896433885,0.16706747796379942,0.38893950003626615,0.21863738226465002,0.12,echo
141,0.26556113637917517,0.3566985988481776,0.17012846680273747,0.03,0.7808612472262745,0.167072462817388,0.38894497292893815,0.21862468483270617,0.12,echo
142,0.26559035239287954,0.3567073440951841,0.17012846680273747,0.03,0.7808736741767164,0.1670771485483164,0.3889498774375455,0.21861265385446643,0.12,echo
143,0.26562064712939476,0.3567170254413204,0.17012846680273747,0.03,0.7808862540390894,0.1670819735105473,0.38895502939411064,0.2186009224025348,0.12,echo
144,0.26564805220262616,0.3567247965765729,0.17012846680273747,0.03,0.7808926703816755,0.16708428525344698,0.3889569648498204,0.2185940515605739,0.12,echo
145,0.265676930992287,0.3567340184066887,0.17012846680273747,0.03,0.7809031818400263,0.16708810302049784,0.3889607563731724,0.21858337284738283,0.12,echo
146,0.26570085634981655,0.3567403455461119,0.17012846680273747,0.03,0.7809146919785533,0.16709254613386776,0.38896578045811675,0.21857218395589328,0.12,echo
147,0.26572717342345953,0.35674818258775437,0.17012846680273747,0.03,0.7809251398966256,0.16709652306723413,0.3889700034597086,0.21856175497523764,0.12,echo
148,0.26575432801264437,0.3567567569426485,0.17012846680273747,0.03,0.7809381541488781,0.16710148178267167,0.3889752646531648,0.21854845539301138,0.12,echo
149,0.26578137368367527,0.35676540175242555,0.17012846680273747,0.03,0.7809485953183974,0.16710550130989962,0.3889794861365462,0.2185387035362278,0.12,echo
150,0.26580715128450394,0.35677334726662946,0.17012846680273747,0.03,0.7809610357770896,0.16711040103720137,0.3889847171487044,0.21852700937730746,0.12,echo
151,0.2658324049281473,0.3567812370551826,0.17012846680273747,0.03,0.7809717215203578,0.1671144781088858,0.3889889579772938,0.21851614146721773,0.12,echo
152,0.2658558602185025,0.3567883157039585,0.17012846680273747,0.03,0.7809845206108165,0.16711949598881176,0.3889946605832668,0.218504305258854,0.12,echo
153,0.2658817493331822,0.356796858812855,0.17012846680273747,0.03,0.7809949136350464,0.16712343943908267,0.388998659629422,0.2184934695638127,0.12,echo
154,0.26590654530539193,0.35680478214995015,0.17012846680273747,0.03,0.7810050167646179,0.16712727933510652,0.3890025987489587,0.21848330952715259,0.12,echo
155,0.26593218418790565,0.3568135382676176,0.17012846680273747,0.03,0.781019030767376,0.16713275920915607,0.3890084052391067,0.2184700100889546,0.12,echo
156,0.26595500645927767,0.3568208129684525,0.17012846680273747,0.03,0.781032792981934,0.1671382195433383,0.3890147789047164,0.2184573796645995,0.12,echo
157,0.26597641299744246,0.3568272771695908,0.17012846680273747,0.03,0.781042639250916,0.1671420463919343,0.3890189284453412,0.21844805502317327,0.12,echo
