step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.3440560260280435,0.06692295394004241,-0.020185580397306356,0.0,0.012521129663986807,4.486441602467264e-05,0.006298388870600321,0.29887744470563704,0.05,curated
1,0.3404545041714335,0.049629805824618727,-0.012819266771455213,0.0,0.2724076123637727,0.0001418902839016091,0.13678656625209906,0.024363068853831323,0.05,curated
2,0.342183995442507,0.0322742713978452,-0.0175222369065825,0.0,0.45681557105549175,0.00019720284594756853,0.22975625839071934,0.017476456800711162,0.05,curated
3,0.34164910170927565,0.018694994758557223,-0.05171269946576338,0.0,0.5875328982000732,0.0001789107900604603,0.29554238695989615,0.013075029138388032,0.05,curated
4,0.3401531796251808,0.00903755664059135,-0.06333575875171783,0.0,0.6837924155945533,0.00015317349286599218,0.34402798760929443,0.010243554315975416,0.05,curated
5,0.3388180403075423,0.0037111568396778916,-0.017922553636839048,0.0,0.7583307111364391,0.0001371129947661228,0.38159565265843653,0.00853982885043834,0.05,curated
6,0.3390019113439317,0.001374632401457935,-0.04623573169167624,0.0,0.8173604301948899,0.00011458884342269313,0.4113443889729336,0.00688517948006563,0.05,curated
7,0.33856127310542905,0.0004851052000747076,-0.042094337446661384,0.0,0.8637619920824607,8.162853588934573e-05,0.4347742906602572,0.00524315071502059,0.05,curated
8,0.3389794988517292,0.00017750133963592308,0.02198901198810279,0.0,0.8997635975526156,5.308593681648571e-05,0.45289722199593074,0.003974774296792134,0.05,curated
9,0.33881276423178436,6.22260275302035e-05,0.025763221809454243,0.0,0.9268421876345232,3.228849216234782e-05,0.4665257997617762,0.0030323758029292946,0.05,curated
10,0.3385167174730663,2.100363085156617e-05,-0.021125284348967394,0.0,0.9468912939087218,1.7678718358015304e-05,0.47660509215101304,0.0021866505876194254,0.05,curated
11,0.3384417695746891,7.255225553967969e-06,,0.0,0.9617548970883703,9.766174989458726e-06,0.48407038685460074,0.0015989285392298313,0.05,curated
12,0.33840414466279556,2.4653410876849752e-06,,0.0,0.9725767553215249,5.059518746247303e-06,0.4895026938662903,0.0011423159198267285,0.05,curated
13,0.3383707279277522,8.528229343528297e-07,,0.0,0.9804148431093216,2.603933780985536e-06,0.49343800270728816,0.0008092354828262671,0.05,curated
14,0.33835549022625505,2.8100407559078113e-07,,0.0,0.9860710871004831,1.3124722006528611e-06,0.4962791027491491,0.0005733492798246687,0.05,curated
15,0.3383515089511762,9.462641000699184e-08,,0.0,0.9901265222240881,6.594620888794421e-07,0.4983149683157391,0.000405144253028169,0.05,curated
16,0.3383485806566084,3.170761970466101e-08,,0.0,0.9930174464362571,3.326639768169441e-07,0.49976644101490414,0.00028819614226236465,0.05,curated
17,0.33834251275087646,1.0088939840132169e-08,,0.0,0.9950712140495174,1.661488203784763e-07,0.5007975485236578,0.0002037454597115129,0.05,curated
18,0.3383403956929083,3.2936365469849895e-09,,0.0,0.9965265290825145,8.341677369541152e-08,0.501528269179059,0.0001444242315972133,0.05,curated
19,0.3383398037291211,1.199822296724905e-09,,0.0,0.9975549894520988,4.1313595582220896e-08,0.5020443351556723,0.00010168366442201205,0.05,curated
20,0.3383396427502759,3.9885850643247464e-10,,0.0,0.9982804387784209,2.04097405121008e-08,0.5024083871492657,7.148360635824247e-05,0.05,curated
21,0.33833908293390325,1.3988045685193543e-10,,0.0,0.99879175759232,1.007388567975048e-08,0.5026649496953335,5.018900931546e-05,0.05,curated
22,0.33833872666959874,5.322281706761124e-11,,0.0,0.9991514600636913,4.9665740571282e-09,0.5028454383138926,3.5237265449978847e-05,0.05,curated
23,0.3383388654594065,1.8735491885933736e-11,,0.0,0.9994042947569293,2.4492664988242888e-09,0.5029723085981608,2.4730518735367468e-05,0.05,curated
24,0.3383386840744307,6.042642472683446e-12,,0.0,0.9995819887803683,1.2066606031512993e-09,0.5030614787712747,1.736389193908394e-05,0.05,curated
25,0.33833869495862046,2.1131024554268236e-12,,0.0,0.999706805760061,5.935229007752455e-10,0.5031241086988556,1.2178464652095045e-05,0.05,curated
26,0.338338661664425,7.255246403186948e-13,,0.0,0.9997944223324287,2.917341057325173e-10,0.5031680707005057,8.539712110717801e-06,0.05,curated
