step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.011721409889321974,0.4798757085176126,0.35,-0.010353409656545557,echo,0.09547738693467336,0.7605870140659438,0.8235693801236187,0.10922218919552565,0,0,,0.37
1,0.009094027496142595,0.4787038782158416,0.36,-0.010353409656545557,echo,0.09547738693467336,0.73959590046932,0.7987489514514944,0.1001875712287786,11,102,0.09734513274336283,0.38
2,0.009510230682495064,0.4719476341264997,0.31,0.0068834968163826405,echo,0.09547738693467336,0.7362031555434758,0.7837676811865681,0.0979834970411469,11,105,0.09482758620689655,0.38
3,0.008913231197909871,0.46977491175583813,0.29,0.004268868749781308,echo,0.09547738693467336,0.7272097514050956,0.7780542540503663,0.0951733070330914,11,105,0.09482758620689655,0.38
4,0.008768406077292097,0.4682527318195596,0.28,0.009181115152371152,echo,0.09547738693467336,0.7224575899306491,0.7741716385785542,0.09463550900138097,13,109,0.10655737704918032,0.38
5,0.010294429701478964,0.4646978671050002,0.25,0.009181115152371152,echo,0.09547738693467336,0.7147621558086605,0.7688017581420509,0.09563864676598563,14,108,0.11475409836065574,0.38
6,0.009372689986695515,0.4643243260506118,0.26,0.03139280399194602,echo,0.09547738693467336,0.7098740944585125,0.7645536611497339,0.10202885379646043,13,111,0.10483870967741936,0.38
7,0.010342953563381043,0.4618680958482483,0.23,0.03139280399194602,echo,0.09547738693467336,0.7057608585760059,0.7596226258398392,0.11097682274504918,14,114,0.109375,0.38
8,0.01071676133277632,0.4607554674418435,0.23,0.03139280399194602,echo,0.09547738693467336,0.7023340538812685,0.7559773387262677,0.11423087630951007,14,118,0.10606060606060606,0.38
9,0.01136027099985895,0.4596830501023101,0.23,0.042385145148635735,echo,0.09547738693467336,0.6994164749720404,0.7534720109551051,0.11477044047001833,14,116,0.1076923076923077,0.38
10,0.011698018896198743,0.45909917675327916,0.22,0.042385145148635735,echo,0.09547738693467336,0.6972917136713179,0.7520507847161544,0.11510457972374222,14,116,0.1076923076923077,0.38
11,0.012065606369391588,0.4585380767104269,0.22,0.03628579449747328,echo,0.09547738693467336,0.6953948102866302,0.7507674913200526,0.11458426352145484,14,115,0.10852713178294573,0.38
