step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.43302835583216004,0.058899336375445595,0.05,-0.020596112676226432,mixed,0.1,0.27822428535677257,0.2822975173622003,,0,0,,0.41
1,0.43201392686987267,0.03850149702306815,0.01,-0.006011359103696764,mixed,0.1,0.2172490284819321,0.2179747454332888,,54,512,0.09540636042402827,0.4
2,0.4302178961023149,0.022784926659164793,0.0,0.022487358568994628,mixed,0.1,0.15508952989975253,0.1560569545596308,,76,595,0.11326378539493294,0.36
3,0.4269566820987907,0.013228465341361646,0.0,0.08718121559375411,mixed,0.1,0.10827005507041826,0.10749052853661908,,68,670,0.0921409214092141,0.27
4,0.4254803320479494,0.007701921288603312,0.0,0.1891037534875413,mixed,0.1,0.07695276444237475,0.07430248053633805,,82,680,0.10761154855643044,0.15
5,0.42395552135741404,0.0042482410248412825,0.0,0.1397849462365591,mixed,0.1,0.05411677149781839,0.051214189223147126,,78,702,0.1,0.08
6,0.42446854523243943,0.0023414595616116723,0.0,0.1397849462365591,mixed,0.1,0.03823537689913098,0.03474881095815855,,80,715,0.10062893081761007,0.05
7,0.42411335623094465,0.0014686298340986564,0.0,0.04115913207145209,mixed,0.1,0.028864087975940877,0.024894334488379737,,76,722,0.09523809523809523,0.01
8,0.42416015448751077,0.0009754823414012874,0.0,,mixed,0.1,0.02082420290868722,0.018521720805719375,,84,714,0.10526315789473684,0.0
9,0.42374638693409344,0.0006832988034776797,0.0,,mixed,0.1,0.01650641116952547,0.014629311834294667,,81,717,0.10150375939849623,0.0
10,0.4232985041270421,0.0005184429784937685,0.0,,mixed,0.1,0.013588303965306607,0.012075586852568043,,84,714,0.10526315789473684,0.0
11,0.4233038471409203,0.00038581145217198617,0.0,,mixed,0.1,0.010970558087595346,0.00996268865895208,,77,721,0.09649122807017543,0.0
12,0.4233316094166251,0.00030057097772157596,0.0,,mixed,0.1,0.009286447545250367,0.008447632581000713,,78,720,0.09774436090225563,0.0
13,0.4233441368780752,0.00023379172918651267,0.0,,mixed,0.1,0.0079491751911299,0.00735022926677092,,82,716,0.10275689223057644,0.0
14,0.42330050149230436,0.00018040348369852949,0.0,,mixed,0.1,0.006822059108093548,0.006323068549784614,,80,718,0.10025062656641603,0.0
15,0.42322068100280363,0.00013943556589656055,0.0,,mixed,0.1,0.0059370408365715735,0.005469132692472234,,79,719,0.09899749373433583,0.0
16,0.42316468738600144,0.00011086944536259228,0.0,,mixed,0.1,0.005230954239465331,0.004749382085864061,,82,716,0.10275689223057644,0.0
17,0.4231458083063954,8.916319835761449e-05,0.0,,mixed,0.1,0.004527402367907735,0.004182518983843585,,86,712,0.10776942355889724,0.0
18,0.42308199868833285,7.133150242438001e-05,0.0,,mixed,0.1,0.004035666585731361,0.0036265481912172446,,82,716,0.10275689223057644,0.0
19,0.4230353449572695,5.7921633291248845e-05,0.0,,mixed,0.1,0.003549197945987084,0.0032398934706195487,,76,722,0.09523809523809523,0.0
20,0.42302758948008007,4.6418658920622446e-05,0.0,,mixed,0.1,0.0031216337930045934,0.00284502935110542,,80,718,0.10025062656641603,0.0
21,0.42296638125690916,3.8636354165271865e-05,0.0,,mixed,0.1,0.0028444773065566843,0.0025706131012202386,,81,717,0.10150375939849623,0.0
22,0.4229357811191982,3.2409371796235605e-05,0.0,,mixed,0.1,0.002443976428008142,0.0022816359561912557,,83,715,0.10401002506265664,0.0
23,0.42289775228397014,2.719717037222743e-05,0.0,,mixed,0.1,0.0022650811140697493,0.0020638928507336293,,81,717,0.10150375939849623,0.0
24,0.4229087348170857,2.2467586530845455e-05,0.0,,mixed,0.1,0.0019785747741787674,0.001825435998199241,,76,722,0.09523809523809523,0.0
25,0.4229615719594254,1.9423171223113064e-05,0.0,,mixed,0.1,0.0018441808497488155,0.0016513794390834882,,80,718,0.10025062656641603,0.0
26,0.42296331647961777,1.6285019594947285e-05,0.0,,mixed,0.1,0.001711489344443944,0.0015117072898447686,,78,720,0.09774436090225563,0.0
27,0.42294921512148115,1.3680521508447662e-05,0.0,,mixed,0.1,0.001565935809686738,0.0013856338348634924,,83,715,0.10401002506265664,0.0
28,0.42295247984226464,1.1597783871816455e-05,0.0,,mixed,0.1,0.001466199879939818,0.0012681785085997778,,77,721,0.09649122807017543,0.0
