step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.15948362934708185,0.47540176903997533,0.38,-0.008202467750981475,curated,0.19960861056751467,0.7693415450970092,0.8048566216346384,,0,0,,0.44
1,0.16355956418215392,0.4641216348697085,0.34,-0.019322542422628323,curated,0.19960861056751467,0.7430454716139147,0.7846682387546319,,19,59,0.24358974358974358,0.45
2,0.16364795760385703,0.452376620620606,0.28,-0.02649054264938628,curated,0.19960861056751467,0.7242658128344961,0.7661129560946214,,21,44,0.3230769230769231,0.44
3,0.16470436137106176,0.4467225376811119,0.26,-0.022182532595106195,curated,0.19960861056751467,0.7119215932267136,0.7525953358778487,,20,45,0.3076923076923077,0.46
4,0.16642835350176333,0.4431609473293219,0.21,-0.027478962141364638,curated,0.19960861056751467,0.7016271250569177,0.7448858814121101,,13,56,0.18840579710144928,0.47
5,0.16836091672428022,0.44104881691849535,0.24,-0.02498607053067885,curated,0.19960861056751467,0.6942908909653066,0.7369907270892176,,14,55,0.2028985507246377,0.48
6,0.17113199558826778,0.43939348117641225,0.29,-0.02537426149639173,curated,0.19960861056751467,0.6924307141252273,0.7287367965776148,,16,59,0.21333333333333335,0.48
7,0.17091262962044915,0.4350264352162304,0.3,-0.009638156381184938,curated,0.19960861056751467,0.6836897145452125,0.7207854142415631,,18,49,0.26865671641791045,0.49
8,0.17298655281497674,0.432941106823367,0.3,-0.002346842271182987,curated,0.19960861056751467,0.6826155172918195,0.7119647269184501,,17,52,0.2463768115942029,0.5
9,0.17543716686583408,0.4288269174563921,0.3,-0.026925387448109094,curated,0.19960861056751467,0.6704904644712805,0.6994349459949764,,12,58,0.17142857142857143,0.51
10,0.17593344998376548,0.42404604916814415,0.3,-0.016552322170930077,curated,0.19960861056751467,0.6536819091557877,0.6854579707038703,,16,60,0.21052631578947367,0.53
11,0.17919303243670165,0.4220636028601115,0.3,-0.005694903898496551,curated,0.19960861056751467,0.6398126915795578,0.6690657495011348,,21,51,0.2916666666666667,0.58
12,0.18376075508863343,0.42269482834023187,0.3,0.008641975308641898,curated,0.19960861056751467,0.6259532749547254,0.6543504516704522,,24,54,0.3076923076923077,0.66
13,0.18474546982468495,0.42217130694690014,0.3,-0.002487300753196792,curated,0.19960861056751467,0.6132284248132219,0.6430366652833874,,20,58,0.2564102564102564,0.7
14,0.18439364119897078,0.42141492395599284,0.3,-0.002487300753196792,curated,0.19960861056751467,0.6075479089237642,0.6364030464846665,,15,60,0.2,0.7
15,0.18448586679130607,0.42134011982941244,0.3,-0.002487300753196792,curated,0.19960861056751467,0.6029796878683873,0.6324990177198079,,15,68,0.18072289156626506,0.7
16,0.18472955507291872,0.4214904610575537,0.3,-0.002487300753196792,curated,0.19960861056751467,0.6004698905188608,0.6303005988181893,,16,71,0.1839080459770115,0.7
17,0.1847378432511152,0.42147866359504826,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5992129323759346,0.628899869902048,,25,67,0.2717391304347826,0.7
18,0.18468699611481842,0.42142833868223284,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5984342589787065,0.6280668791428868,,22,62,0.2619047619047619,0.7
19,0.18468757015344697,0.42142672633592676,0.3,-0.002487300753196792,curated,0.19960861056751467,0.597917563177621,0.6276099493689663,,14,73,0.16091954022988506,0.7
20,0.18467182478119232,0.42141239178357126,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5976049544002242,0.6273081764623711,,18,55,0.2465753424657534,0.7
21,0.18467873542822907,0.42141800378408595,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5974506262499275,0.6271527814248614,,14,55,0.2028985507246377,0.7
22,0.18467998723338147,0.42141900050132003,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5973550266422297,0.6270579903077148,,16,63,0.20253164556962025,0.7
23,0.18467759781883306,0.4214169218301359,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5972863463494205,0.6269936115546925,,16,61,0.2077922077922078,0.7
24,0.18467883005648925,0.42141793522226195,0.3,-0.002487300753196792,curated,0.19960861056751467,0.597247330757602,0.626957419591941,,20,68,0.22727272727272727,0.7
25,0.1846781330349317,0.4214173320522868,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5972228849758906,0.6269350866530227,,18,67,0.21176470588235294,0.7
26,0.18467759206370601,0.4214168683022047,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5972116825866732,0.6269225713745703,,17,66,0.20481927710843373,0.7
27,0.184678354136739,0.421417510204543,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5972040866252815,0.6269160649554714,,18,66,0.21428571428571427,0.7
28,0.18467812210230497,0.4214173095800302,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5971997587030778,0.6269115901215038,,20,60,0.25,0.7
29,0.18467824765153698,0.42141741493257506,0.3,-0.002487300753196792,curated,0.19960861056751467,0.5971970787724511,0.6269089279967259,,14,55,0.2028985507246377,0.7
