regime,loss_aversion,final_polarization,final_extremes,final_mean_belief,belief_drift,final_assortativity
mixed,1.0,1.7950735621424255e-05,0.0,0.4324706358606438,0.2018466338782531,
mixed,1.5,2.2408597888476375e-05,0.0,0.43299940913779095,0.20174268679431814,
mixed,2.0,2.3818939032101685e-05,0.0,0.4315064132209748,0.20177231553964695,
mixed,2.5,2.3931437937047193e-05,0.0,0.43092257836530146,0.2017997399290042,
mixed,3.0,2.453141804269475e-05,0.0,0.4305697364377299,0.20175305567228377,
echo,1.0,0.007067843167245266,0.0,0.41255939896450783,0.18649479679257108,-0.02313624678663272
echo,1.5,0.007148506591568952,0.0,0.4154792741786813,0.1862997745264305,-0.02313624678663272
echo,2.0,0.007164360001034329,0.0,0.4158685349819876,0.1862835946526382,-0.02313624678663272
echo,2.5,0.0071562275031444135,0.0,0.41573971999053905,0.18619946005455293,-0.02313624678663272
echo,3.0,0.007175436917119535,0.0,0.4164610261457626,0.18617841506882257,-0.02313624678663272
curated,1.0,5.775793987182296e-07,0.0,0.44172988970147564,0.20187383573587883,
curated,1.5,7.044465711717222e-07,0.0,0.4491155961744466,0.20146306301132721,
curated,2.0,7.547886273886907e-07,0.0,0.4458048617756301,0.20141765116695468,
curated,2.5,7.955237817288813e-07,0.0,0.44478725714492695,0.2014098757416328,
curated,3.0,8.576300583454411e-07,0.0,0.44395733415467775,0.2014078236516138,
