regime,step,mean_belief,polarization_var,share_extremes,assortativity,belief_drift
mixed,0,0.16115046909669561,0.4558456465634675,0.15,-0.030298302294364088,0.0
mixed,1,0.16159309210421172,0.449871967367786,0.12,-0.03054073239652792,0.021033169402700107
mixed,2,0.1603888123027327,0.4454611823518883,0.09,-0.009786954212902725,0.03531049490497355
mixed,3,0.1607868999919882,0.44345302008981563,0.03,0.004252494333317258,0.047745280956629166
mixed,4,0.1605403352540544,0.4421978527909657,0.02,0.036429193087156496,0.057042511197684866
mixed,5,0.16020149494292923,0.4412960699622981,0.01,0.03373105229253709,0.06406562129748536
mixed,6,0.1596008502786529,0.4397387247021775,0.01,0.03373105229253709,0.06963710243653351
mixed,7,0.1588457210893949,0.4381556907582418,0.01,0.031229434808519564,0.07405938315071146
mixed,8,0.15788103807090897,0.4364661997963338,0.01,0.042919433520902314,0.07849395674240191
mixed,9,0.1574329191571566,0.436029674351622,0.01,0.05617701428020931,0.08212804172498284
mixed,10,0.15687965904249174,0.4349052693820451,0.01,0.07137134889548628,0.08524175915094309
mixed,11,0.15628393419209818,0.433532645192306,0.01,0.07720615825914384,0.08788156495225541
mixed,12,0.15570776527693708,0.4324465021718217,0.01,0.07720615825914384,0.09090216004846263
mixed,13,0.1559091863850667,0.4320564394043443,0.01,0.07720615825914384,0.09330672173949382
mixed,14,0.15590782540439174,0.43118408419031184,0.01,0.08843307464042972,0.09491059412709509
mixed,15,0.15571027219565184,0.4305299860453924,0.01,0.08843307464042972,0.09664026010162896
mixed,16,0.15571840281591062,0.4299002920080647,0.01,0.08843307464042972,0.09808501502841238
mixed,17,0.15533977609906738,0.4286984772376985,0.01,0.08843307464042972,0.0996541901904653
mixed,18,0.15466788310729704,0.42740444337094713,0.01,0.09547822094120045,0.10103265278989922
mixed,19,0.15444783072846724,0.4266038730402296,0.01,0.09547822094120045,0.10201568716647548
mixed,20,0.1533878382843573,0.4249896097714037,0.01,0.09547822094120045,0.10349639734929371
mixed,21,0.1526035088507305,0.42374780494699993,0.01,0.09547822094120045,0.10410306623887591
mixed,22,0.15150178542460094,0.4219586614439293,0.01,0.10388846435070395,0.10477734546866398
mixed,23,0.15118554160660602,0.4209915131440099,0.01,0.10388846435070395,0.10556843837168808
mixed,24,0.15023352819327424,0.4195866284733319,0.01,0.10388846435070395,0.10698434089103846
mixed,25,0.14996335347783712,0.41891823778710735,0.01,0.10388846435070395,0.10722998893937147
mixed,26,0.1501663115749787,0.41877751449711154,0.01,0.10388846435070395,0.1081053860219781
mixed,27,0.15026781220334579,0.41831522238577323,0.01,0.10254270446567085,0.1093534309011141
mixed,28,0.15011613880362756,0.4176620810359885,0.01,0.10254270446567085,0.11075703626482605
mixed,29,0.15043631653816014,0.41718123920410327,0.01,0.11754179382169976,0.11268730227942635
mixed,30,0.15024034894729524,0.4161200849060027,0.01,0.1159565757870026,0.11465095902429638
mixed,31,0.15115067507290683,0.41581779401911007,0.01,0.1159565757870026,0.11651882190978538
mixed,32,0.15122960750342768,0.41465665135175295,0.01,0.1135304530753987,0.11962848056249693
mixed,33,0.15157706249700376,0.41344632025377215,0.01,0.12364455672372895,0.12271070041041268
mixed,34,0.15144324040507529,0.41229490230532045,0.01,0.1437188779990292,0.1254809666784018
mixed,35,0.15083499326563293,0.41102921958539845,0.01,0.16592787761786795,0.128267214734013
mixed,36,0.15077023836398326,0.4099865846481505,0.01,0.17789790986771628,0.13096478735265485
mixed,37,0.15083355164908244,0.4090364013909121,0.01,0.17179530795550566,0.13405669306579154
mixed,38,0.15051368583353755,0.4082032726319633,0.01,0.16544610826236364,0.13647136268502127
mixed,39,0.15017930589868272,0.4070855839013353,0.01,0.17334022216481523,0.13911936794377472
mixed,40,0.1503378957186529,0.4065203290563428,0.01,0.17334022216481523,0.1414386385589184
mixed,41,0.14993618445653475,0.40566258399330757,0.01,0.16234116977611396,0.14366705604074057
mixed,42,0.14979739690486038,0.4051657920910263,0.01,0.17334022216481523,0.14512079318645316
mixed,43,0.14934192545432837,0.40433071220985184,0.01,0.17334022216481523,0.14688285651859959
mixed,44,0.1491542284043659,0.40356847914925614,0.01,0.14420708991510892,0.1485822869133647
mixed,45,0.14897327316769274,0.40278886575072126,0.01,0.1301306324801922,0.1502178822352708
mixed,46,0.14867154840747623,0.40172739924313544,0.01,0.12689262931365777,0.1525252917646533
mixed,47,0.14908030515551932,0.40114429521831324,0.01,0.1259761773290211,0.15487616433728504
mixed,48,0.1488704113330616,0.40039586960374934,0.01,0.1251940766957712,0.1571692348526087
mixed,49,0.14917700462414893,0.4001233206477069,0.01,0.1251940766957712,0.15957717244601757
mixed,50,0.14886486364617935,0.3994541113080603,0.01,0.1251940766957712,0.1615445304945631
mixed,51,0.1486521821379821,0.39890715464615556,0.01,0.1251940766957712,0.16403074047474964
mixed,52,0.14810169116239338,0.39811527598703866,0.01,0.11645767492438923,0.1659354969572773
mixed,53,0.14786847636811673,0.39772761108220633,0.01,0.11322740368855999,0.1675637177132191
mixed,54,0.1474893366398081,0.39708409749711904,0.01,0.11322740368855999,0.16881648678364874
mixed,55,0.14732523531331387,0.3967885489943751,0.01,0.11322740368855999,0.17004174553213752
mixed,56,0.1474664131140643,0.39688146034821925,0.01,0.09536532514253247,0.17073377229281875
mixed,57,0.14746428046553167,0.39672313590643776,0.01,0.09536532514253247,0.1716423040417997
mixed,58,0.1472048647285721,0.3964312014779016,0.01,0.09536532514253247,0.17253734763377931
mixed,59,0.14744554965226006,0.39661078241357023,0.01,0.11322740368855999,0.17281634611101895
mixed,60,0.1473525672658183,0.3964634641696414,0.01,0.09536532514253247,0.17347118557096305
mixed,61,0.14719273103512293,0.396240443771141,0.01,0.09536532514253247,0.1740318120735791
mixed,62,0.14705981063475435,0.39608881271794394,0.01,0.07816977397294549,0.1744293723744393
mixed,63,0.14685722009977203,0.3958431069665495,0.01,0.07816977397294549,0.1749200143431146
mixed,64,0.14673286275880146,0.3956355129776306,0.01,0.03959975878319526,0.17520509262844908
mixed,65,0.14653275195602739,0.39538833771447784,0.01,0.03959975878319526,0.17580174824406417
mixed,66,0.14632181877502165,0.3952295099065423,0.01,0.03959975878319526,0.17624713404200162
mixed,67,0.1460538416763098,0.3949000617037731,0.01,0.01951433531083688,0.17670068180777285
mixed,68,0.14620912423443966,0.3950749898645005,0.01,0.003808965719308541,0.17679474174659376
mixed,69,0.14590757864983428,0.3948036629650875,0.01,0.003808965719308541,0.1773594994573556
mixed,70,0.14586517249891048,0.39470819926199036,0.01,-0.00032281333816888214,0.17758583502804423
mixed,71,0.14598564600012787,0.39480556476734674,0.01,-0.00032281333816888214,0.1777687695756696
mixed,72,0.14600225872724867,0.39480805017826065,0.01,-0.00032281333816888214,0.1780194124727858
mixed,73,0.1458671976321799,0.39468531221570247,0.01,-0.00032281333816888214,0.17821772021887322
mixed,74,0.1457581711860456,0.39461500414715994,0.01,-0.00032281333816888214,0.1783844079717514
mixed,75,0.1457501275226632,0.3945436090352454,0.01,-0.00032281333816888214,0.17856689135783163
mixed,76,0.14572787900378306,0.3944655900362532,0.01,-0.00032281333816888214,0.17868344490859386
mixed,77,0.14562964079370846,0.3944043849233403,0.01,-0.00032281333816888214,0.17882959911172613
mixed,78,0.14547435061637143,0.39426331649032315,0.01,-0.00032281333816888214,0.17902623968684842
mixed,79,0.14537319624107978,0.39421185001594905,0.01,-0.00032281333816888214,0.17918408955541257
mixed,80,0.1453167768314855,0.3941693344369679,0.01,-0.00032281333816888214,0.17935209913685354
mixed,81,0.1452722613823294,0.39411642929830476,0.01,-0.00032281333816888214,0.17951964368390436
mixed,82,0.14522132871016494,0.3940555750894123,0.01,-0.00032281333816888214,0.17967823492049345
mixed,83,0.14517023699722223,0.39397022727065156,0.01,-0.00032281333816888214,0.17980673700616953
mixed,84,0.14510415081040445,0.3939292447340595,0.01,-0.00032281333816888214,0.17983131996155977
mixed,85,0.14497145771574713,0.3938389437673907,0.01,-0.00032281333816888214,0.17996200703885457
mixed,86,0.14492641346228277,0.39375301635765214,0.01,-0.00032281333816888214,0.18008764241355193
mixed,87,0.14488499774662938,0.39366394159126095,0.01,-0.00032281333816888214,0.1802305456219284
mixed,88,0.14484353180212975,0.39362156244125335,0.01,-0.00032281333816888214,0.1803802320505052
mixed,89,0.1448202849573199,0.3935936362541154,0.01,-0.00032281333816888214,0.1804279492764992
mixed,90,0.1447819824127076,0.39352828459469136,0.01,-0.00032281333816888214,0.18052180055694245
mixed,91,0.14467686134396543,0.3934252185040056,0.01,-0.00032281333816888214,0.18062042150182836
