step,mean_belief,polarization_var,share_extremes,assortativity,regime
0,0.12042947704053059,0.4482911456472434,0.13,0.005271560683194252,echo
1,0.11808890995883328,0.43738590116527015,0.07,0.1103814171265259,echo
2,0.1138556809842581,0.42923487010871797,0.04,0.1103814171265259,echo
3,0.11042609969726642,0.4227889600425131,0.04,0.14918050217975787,echo
4,0.1078403955724486,0.41751144788401573,0.03,0.15269839818328687,echo
5,0.10738063142788651,0.41454978693906097,0.03,0.1492493917088773,echo
6,0.10648445214110809,0.4108803620826576,0.03,0.1607583490428679,echo
7,0.1063749619160377,0.4092344858844153,0.03,0.1600631969689998,echo
8,0.10651429312382703,0.4079616143182313,0.03,0.19754647188275512,echo
9,0.10623458802020994,0.40667659534891504,0.03,0.18376088565534401,echo
10,0.10589543699352946,0.4055800332992853,0.03,0.17107979389151673,echo
11,0.10475883873038148,0.4033050580665974,0.02,0.174763343063969,echo
12,0.10387422411549077,0.4016488025251489,0.02,0.1711878023349229,echo
13,0.10358525463005813,0.40014726323104666,0.02,0.158587672052663,echo
14,0.10302746906363401,0.39894185768163737,0.02,0.1544530057558984,echo
15,0.10281486797097937,0.3976667293089731,0.02,0.1384897234785596,echo
16,0.10348640400085238,0.39680484579300157,0.02,0.1028517999064985,echo
17,0.10372497910866459,0.39575890970366445,0.02,0.0920696839398907,echo
18,0.10423601461792337,0.3951147254472091,0.02,0.07678438619819232,echo
19,0.10427280735287368,0.3942950450275569,0.02,0.07349172265706164,echo
20,0.10440888581000353,0.3938162465177367,0.02,0.0776699029126211,echo
21,0.10448834243780608,0.393401357748193,0.02,0.08159783091414809,echo
22,0.10449283719657516,0.3930305146218942,0.02,0.08159783091414809,echo
23,0.10449132117820621,0.39271104797858025,0.02,0.08159783091414809,echo
24,0.10444643912028184,0.39246805757119174,0.02,0.08159783091414809,echo
25,0.10437661586801336,0.3922342726741126,0.02,0.08159783091414809,echo
26,0.10431557243577876,0.39203181614357896,0.02,0.08159783091414809,echo
27,0.10429371044132159,0.39189607164992,0.02,0.08159783091414809,echo
28,0.10429101178830465,0.39180295002863624,0.02,0.08159783091414809,echo
29,0.10421636785085024,0.3916606527539328,0.02,0.08159783091414809,echo
30,0.1041865647392658,0.3915710001667235,0.02,0.08159783091414809,echo
31,0.10415729318574506,0.39149085324506516,0.02,0.08159783091414809,echo
32,0.10413985937242776,0.39143325661437145,0.02,0.08159783091414809,echo
33,0.104115655139623,0.3913752407212015,0.02,0.08159783091414809,echo
34,0.10409468090268074,0.391325604625927,0.02,0.08159783091414809,echo
35,0.10407666862151271,0.3912797319207082,0.02,0.08159783091414809,echo
36,0.10405948268921471,0.39124345914294295,0.02,0.08159783091414809,echo
37,0.10404574940075588,0.39121296498326524,0.02,0.08159783091414809,echo
38,0.10403853870123463,0.3911913830994633,0.02,0.08159783091414809,echo
39,0.10403288245253892,0.39117258086173434,0.02,0.08159783091414809,echo
40,0.10402946069017222,0.3911613257870576,0.02,0.08159783091414809,echo
41,0.10402899594386959,0.3911485601844604,0.02,0.08159783091414809,echo
42,0.10401780594755626,0.39113238319045235,0.02,0.08159783091414809,echo
43,0.10402218527824386,0.3911285638125311,0.02,0.08159783091414809,echo
44,0.10402619176539174,0.39112547334744946,0.02,0.08159783091414809,echo
45,0.10402198415264914,0.3911152890697837,0.02,0.08159783091414809,echo
46,0.10402457989463418,0.3911124152928435,0.02,0.08159783091414809,echo
47,0.10402997714113274,0.391111960527029,0.02,0.08159783091414809,echo
48,0.10403404580008113,0.3911111469571709,0.02,0.08159783091414809,echo
49,0.10404038202856097,0.39111279834824264,0.02,0.08159783091414809,echo
50,0.10404233278101925,0.3911111115255185,0.02,0.08159783091414809,echo
51,0.10404613346743645,0.3911112544209079,0.02,0.08159783091414809,echo
52,0.10405432427935,0.3911159700969412,0.02,0.08159783091414809,echo
53,0.10406098522235291,0.39111919624660557,0.02,0.08159783091414809,echo
54,0.10407201768454306,0.39112696856414636,0.02,0.08159783091414809,echo
55,0.10407566881436126,0.3911279547168062,0.02,0.08159783091414809,echo
56,0.10408398302649292,0.3911338051027191,0.02,0.08159783091414809,echo
57,0.1040902007335783,0.39113757493749063,0.02,0.08159783091414809,echo
58,0.10409485129891487,0.39114013913839657,0.02,0.08159783091414809,echo
59,0.10410168444530873,0.3911447251868103,0.02,0.08159783091414809,echo
60,0.10410789351702361,0.3911488318662499,0.02,0.08159783091414809,echo
61,0.10411686337156775,0.39115561980988905,0.02,0.08159783091414809,echo
62,0.10412495654610691,0.391161870687139,0.02,0.08159783091414809,echo
63,0.10413022374602378,0.39116537887349456,0.02,0.08159783091414809,echo
64,0.10413650417488426,0.3911702850458155,0.02,0.08159783091414809,echo
65,0.10414248297673527,0.39117475634648935,0.02,0.08159783091414809,echo
66,0.10414772684389341,0.3911787133452087,0.02,0.08159783091414809,echo
67,0.10415371882170714,0.3911833926998634,0.02,0.08159783091414809,echo
68,0.10416111712100992,0.39118943719036914,0.02,0.08159783091414809,echo
69,0.10416929677225348,0.39119624602586045,0.02,0.08159783091414809,echo
70,0.10417551787580967,0.3912012596126246,0.02,0.08159783091414809,echo
71,0.10418115646357752,0.3912058542115014,0.02,0.08159783091414809,echo
72,0.10418849372552887,0.39121205879112,0.02,0.08159783091414809,echo
73,0.10419307306022875,0.39121574011214927,0.02,0.08159783091414809,echo
74,0.1041996861307355,0.3912213102458986,0.02,0.08159783091414809,echo
75,0.10420497441905184,0.3912257220514298,0.02,0.08159783091414809,echo
76,0.10420837955579834,0.39122838570585794,0.02,0.08159783091414809,echo
77,0.1042140155985773,0.39123320245334514,0.02,0.08159783091414809,echo
78,0.10421845740015877,0.3912369075525382,0.02,0.08159783091414809,echo
