step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,-0.045777997115057145,0.4325828623345322,0.002135167996204174,0.11,0.02553494124922696,0.0005043779650697164,0.008054686085879472,0.4724488863022334,0.03,echo
1,-0.03723813453597395,0.4285053235931244,0.050275240549566176,0.07,0.22555222683006135,0.014563496814932493,0.07060254659486381,0.25827928248636567,0.03,echo
2,-0.03750537787318115,0.4304741219324474,0.0764471939902784,0.05,0.3817041641661828,0.038039346419342125,0.12118210886009839,0.2392166143725494,0.03,echo
3,-0.03926864363920643,0.42902835709382486,0.09161029659330906,0.04,0.4949808280761603,0.06312648462970531,0.15813152485137752,0.23148777836966275,0.03,echo
4,-0.04040754292830491,0.428225832692529,0.09945678100426263,0.04,0.5760015404711287,0.08539740891961581,0.18468266072437572,0.22733846850789277,0.03,echo
5,-0.041200724776057775,0.42732619045341613,0.09945678100426263,0.04,0.6344385177405573,0.10354766708399903,0.2038731851266756,0.22413553746370965,0.03,echo
6,-0.04302986951515954,0.4264523287030446,0.1067277535206936,0.04,0.6783440007121623,0.11494109452209857,0.2182507675790763,0.2192816344051637,0.03,echo
7,-0.043226730101586106,0.42580740519568705,0.1067277535206936,0.04,0.7106278920396443,0.12394440330074218,0.22880884708213553,0.21499312289639433,0.03,echo
8,-0.04321420027114687,0.425206912372167,0.1067277535206936,0.04,0.7339543967806246,0.1309869411986603,0.23643263177371296,0.21170424349036934,0.03,echo
9,-0.04319188475217632,0.42480680736495435,0.1067277535206936,0.04,0.750904986084166,0.13647040061341448,0.2419695471541399,0.20914130122192234,0.03,echo
10,-0.043199196893890554,0.42444208515485526,0.10601894286587225,0.04,0.7632257706373834,0.14066768382228712,0.24599187195229497,0.20715151398768483,0.03,echo
11,-0.04316420338547065,0.4242078373652544,0.10831798649478205,0.04,0.7722305413463079,0.1438490181009764,0.24893462737542482,0.2056157015048096,0.03,echo
12,-0.043056165247038584,0.4239655864202652,0.1275629220380602,0.04,0.7787479899538625,0.1462136349461555,0.2510659191003143,0.20446709966573265,0.03,echo
13,-0.043052166080145914,0.4237809151620359,0.1275629220380602,0.04,0.7835208773767773,0.14797217496138232,0.2526247341838784,0.2035822933658315,0.03,echo
14,-0.04346019626941598,0.42311764169626653,0.11307053941908707,0.04,0.7861191786966204,0.1489765038923449,0.25349793296681716,0.20362434768146628,0.03,echo
15,-0.043303499684266035,0.4227902819684031,0.11307053941908707,0.04,0.7882273878016257,0.14981991904237812,0.2541984001465283,0.2036090057072309,0.03,echo
16,-0.043301097674720054,0.42248650176783914,0.11307053941908707,0.04,0.7899332628884567,0.15049528451376576,0.2547598141248739,0.2034442100669108,0.03,echo
17,-0.04325164741537659,0.42225234069245815,0.11092063492063492,0.04,0.7913202744005737,0.15103436024035866,0.25521316951832373,0.20322628064206924,0.03,echo
