step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.2037265317750849,0.41718178145735196,0.020747337762550923,0.07,0.012681921253349826,6.622408838729884e-05,0.004069173179283885,0.3308012083114286,0.03,curated
1,0.2070484018580587,0.40334886038831536,0.008325985640508952,0.01,0.28525465977131426,9.75786897390088e-05,0.0906313849585729,0.019030748721200582,0.03,curated
2,0.20851767977609206,0.40183446454962746,0.02365228075564432,0.0,0.48271702328509825,0.00013616757598367262,0.15335712473946,0.013225924991256051,0.03,curated
3,0.208766415466238,0.39949034773271025,0.006313037344317806,0.0,0.6269385395957932,0.00012330609273759725,0.1992313285975191,0.009803066589636557,0.03,curated
4,0.20845037012341452,0.39919357557475416,0.008887810253450219,0.0,0.7321691543897095,0.00010147051615346893,0.23271581837696892,0.007601872900940094,0.03,curated
5,0.2085294462084344,0.3987544360138844,0.010980928935513862,0.0,0.808539559360294,6.675703117924827e-05,0.2570264388684945,0.005609848804679558,0.03,curated
6,0.20842841689838,0.3987511556709258,0.010980928935513862,0.0,0.8636401075647214,4.2265673037971745e-05,0.27456833629696326,0.0041938809405037605,0.03,curated
7,0.20841700218077375,0.39900053798652635,0.010980928935513862,0.0,0.9031370400929624,2.6422076351113303e-05,0.28715086034773885,0.0031713688621867677,0.03,curated
8,0.20853113028928585,0.39897348895447143,0.010980928935513862,0.0,0.9314695247952777,1.5146585484639968e-05,0.29617625688874966,0.002321211095127893,0.03,curated
9,0.2085197790388359,0.398967354781445,0.010980928935513862,0.0,0.9515777866758485,8.458013196193025e-06,0.30258206002101623,0.0016950563953925268,0.03,curated
10,0.2085200337508745,0.39896464095651946,0.010980928935513862,0.0,0.9658352652465243,4.671309219380949e-06,0.3071231039268194,0.0012398587522191918,0.03,curated
11,0.208497293623962,0.39899101533822817,0.010980928935513862,0.0,0.9759170495740441,2.5095526511107753e-06,0.31033341558088084,0.0008990179168866064,0.03,curated
12,0.20849980801535037,0.39898697738272326,0.010980928935513862,0.0,0.9830509892633339,1.3318651156620571e-06,0.3126047737654129,0.0006496635742863077,0.03,curated
13,0.2084973714506139,0.3989922899480316,0.010980928935513862,0.0,0.9880816951647692,6.963205935826341e-07,0.31420613747519244,0.0004667094664883109,0.03,curated
14,0.20850205816207815,0.3989907716832268,0.010980928935513862,0.0,0.991626671788493,3.5889829185397646e-07,0.3153348067977426,0.00033340542867890124,0.03,curated
15,0.20850519990409883,0.3989913285865142,0.010980928935513862,0.0,0.9941222257271454,1.8283557893101855e-07,0.31612922342812677,0.00023722881450282784,0.03,curated
16,0.20850542184751195,0.3989908698634563,0.010980928935513862,0.0,0.9958753181507127,9.237742343235417e-08,0.3166871914500411,0.0001682771461648258,0.03,curated
17,0.20850619348154975,0.3989902143795742,0.010980928935513862,0.0,0.9971070257974546,4.6297176306139416e-08,0.31707921768617225,0.00011891205955166128,0.03,curated
18,0.2085062195275012,0.39899079946031796,0.010980928935513862,0.0,0.9979714704064361,2.315874164275198e-08,0.31735436842881687,8.398944421287524e-05,0.03,curated
19,0.20850611883663292,0.3989908196650447,0.010980928935513862,0.0,0.9985779463969593,1.154192256495614e-08,0.3175473993120658,5.9245766760511745e-05,0.03,curated
20,0.20850630153572167,0.3989908467349405,0.010980928935513862,0.0,0.9990034371663734,5.720031474511176e-09,0.3176828246521568,4.169688757599488e-05,0.03,curated
21,0.2085062934907474,0.3989908677244869,0.010980928935513862,0.0,0.99930179628518,2.826629135986355e-09,0.3177777856541588,2.930405767585853e-05,0.03,curated
22,0.20850625557231584,0.3989909152864918,0.010980928935513862,0.0,0.9995108749247222,1.3964899377680166e-09,0.3178443284631723,2.0597869813059333e-05,0.03,curated
