step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,-0.045777997115057145,0.4325828623345322,0.11,0.012943666558124413,mixed,0.05,0.7851210104689187,0.7334699944646959,,0,0,,0.31
1,-0.04839707547739404,0.416062899818401,0.03,0.050069062546533864,mixed,0.05,0.7944858117197259,0.703645569286308,,13,255,0.048507462686567165,0.32
2,-0.0531141704404738,0.40586628540982944,0.01,0.06675887671704804,mixed,0.05,0.7841783482446596,0.6832832323284527,,12,263,0.04363636363636364,0.31
3,-0.05617709760971462,0.4014925936677535,0.0,0.09112677107980838,mixed,0.05,0.7832613812920224,0.6750480092373262,,8,271,0.02867383512544803,0.31
4,-0.055189699096852805,0.39585786829896863,0.0,0.10383357205203984,mixed,0.05,0.7770951180293295,0.6669935727334552,,11,283,0.03741496598639456,0.31
5,-0.05394632360030803,0.39353955433900467,0.0,0.10383357205203984,mixed,0.05,0.7701746754396711,0.6631693345886446,,6,274,0.02142857142857143,0.33
6,-0.053390255421144894,0.3899707146804408,0.0,0.12500322638928324,mixed,0.05,0.768848550938029,0.6582308051364101,,13,292,0.04262295081967213,0.33
7,-0.05259047736480642,0.38799568048615307,0.0,0.1264575146556723,mixed,0.05,0.7691728878738553,0.6551253042494691,,12,290,0.039735099337748346,0.33
8,-0.055259541500440434,0.3869896898739287,0.0,0.12143162586982156,mixed,0.05,0.7658852574655267,0.6531988721816085,,10,284,0.034013605442176874,0.33
9,-0.05301946362069104,0.38302760945855147,0.0,0.11386337431499312,mixed,0.05,0.7607268833603611,0.6492294083672435,,13,284,0.04377104377104377,0.33
10,-0.05231373154392804,0.38230309694318154,0.0,0.09738479119765432,mixed,0.05,0.7597705036395291,0.6479971782070356,,11,293,0.03618421052631579,0.33
11,-0.051119172331548716,0.3794726050124479,0.0,0.09948927045426947,mixed,0.05,0.7509582714715225,0.6447762125895551,,12,298,0.03870967741935484,0.33
12,-0.052865790141189264,0.3786863745571577,0.0,0.09642544847505231,mixed,0.05,0.7521750477224226,0.6444815678808552,,11,294,0.036065573770491806,0.33
13,-0.05252338260961548,0.3767553992359049,0.0,0.11413234915277405,mixed,0.05,0.7552309248457588,0.642894362460984,,10,294,0.03289473684210526,0.33
14,-0.053047028050206294,0.37465066612772174,0.0,0.1397163417287256,mixed,0.05,0.7572943496409427,0.6405053116852198,,14,299,0.04472843450479233,0.33
15,-0.05340735482256939,0.37337910704409777,0.0,0.13563690463717698,mixed,0.05,0.7523124838709895,0.6387201714094166,,11,309,0.034375,0.33
16,-0.05363140991161885,0.3715018357140314,0.0,0.148547011242333,mixed,0.05,0.7556460964391272,0.6364177076460321,,13,317,0.03939393939393939,0.33
17,-0.05419319362133782,0.37064367398778697,0.0,0.14898981939672828,mixed,0.05,0.7571902735772497,0.6343650471849773,,13,308,0.040498442367601244,0.33
18,-0.05568464837568444,0.37062985377328994,0.0,0.15943357944274927,mixed,0.05,0.7581467253456375,0.6333696204820762,,12,299,0.03858520900321544,0.33
19,-0.05577040084211906,0.36881495893639693,0.0,0.16737808412643207,mixed,0.05,0.7565744208696572,0.6309440182442215,,11,312,0.034055727554179564,0.33
20,-0.05430439901104936,0.36651885526732964,0.0,0.17410761404175376,mixed,0.05,0.7502252308986277,0.6280449427801877,,14,319,0.042042042042042045,0.33
21,-0.05406643135957588,0.3653110798075494,0.0,0.16508137814415555,mixed,0.05,0.7485278463594609,0.6264391833511762,,12,304,0.0379746835443038,0.33
22,-0.05432412225868352,0.3645943950768963,0.0,0.17564996829422955,mixed,0.05,0.7482416337052904,0.6256297275058099,,10,320,0.030303030303030304,0.33
23,-0.05367615179894575,0.3632259087349455,0.0,0.17410761404175376,mixed,0.05,0.7463184156404747,0.6243432578389071,,15,311,0.046012269938650305,0.33
