step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.12042947704053059,0.4482911456472434,0.32,0.014283943987773138,curated,0.049079754601226995,0.6930028244943388,0.690101024522062,,0,0,,0.39
1,0.12116193530604859,0.43805781880714867,0.32,0.0024960264731797984,curated,0.049079754601226995,0.6701011785439489,0.6733550677811493,,3,61,0.046875,0.39
2,0.11887995277070507,0.42988261905626873,0.26,0.017850347765630836,curated,0.049079754601226995,0.6481201108084242,0.659369254747869,,3,78,0.037037037037037035,0.39
3,0.11467931226530205,0.4219781029195747,0.18,0.020739342601970363,curated,0.049079754601226995,0.634151171238865,0.6482595092924489,,3,69,0.041666666666666664,0.38
4,0.1156029889665764,0.4188753850271871,0.14,0.022789069745406697,curated,0.049079754601226995,0.6272405999903726,0.6375292875525485,,6,58,0.09375,0.38
5,0.1152840409281596,0.412065924755994,0.06,0.004004943244232871,curated,0.049079754601226995,0.6177054273632584,0.6233467532101485,,3,76,0.0379746835443038,0.38
6,0.11392630884255517,0.4049381627003434,0.02,0.031056010836036856,curated,0.049079754601226995,0.6086382752218522,0.6080885528099731,,2,74,0.02631578947368421,0.4
7,0.11272391572986833,0.3981576071812702,0.0,0.05324964710272207,curated,0.049079754601226995,0.5942549970426896,0.5914248179573343,,3,65,0.04411764705882353,0.41
8,0.10998756233154248,0.390051836588671,0.0,0.04461385296358411,curated,0.049079754601226995,0.5662169897690716,0.5692361712311863,,3,73,0.039473684210526314,0.41
9,0.11055374483382785,0.3868720192283534,0.0,0.056240011845376796,curated,0.049079754601226995,0.5391897648777557,0.5511356539636677,,3,70,0.0410958904109589,0.44
10,0.11097708073358035,0.3856670412423273,0.0,0.056240011845376796,curated,0.049079754601226995,0.5274228950358858,0.5374784000015816,,5,73,0.0641025641025641,0.49
11,0.11079933134833,0.3848441890664511,0.0,0.056240011845376796,curated,0.049079754601226995,0.5165542420707013,0.5289902205345429,,3,70,0.0410958904109589,0.63
12,0.11046325502432751,0.3842986202058831,0.0,0.056240011845376796,curated,0.049079754601226995,0.5098214740650707,0.5229786631866036,,5,74,0.06329113924050633,0.68
13,0.1098010836290167,0.3836361999255374,0.0,0.056240011845376796,curated,0.049079754601226995,0.5041983704802314,0.518999280645279,,3,80,0.03614457831325301,0.68
14,0.10985080136915132,0.3836444364332811,0.0,0.056240011845376796,curated,0.049079754601226995,0.5016631510635671,0.516852903431561,,5,76,0.06172839506172839,0.68
15,0.1099183456476976,0.38369137733240805,0.0,0.056240011845376796,curated,0.049079754601226995,0.5000689005754199,0.5156950309745484,,5,79,0.05952380952380952,0.68
16,0.10995759507839464,0.38371915292386755,0.0,0.056240011845376796,curated,0.049079754601226995,0.4992406148780693,0.515088679959008,,5,77,0.06097560975609756,0.68
17,0.10997488002926568,0.38373144752554794,0.0,0.056240011845376796,curated,0.049079754601226995,0.4987508915194667,0.5146496132364153,,4,79,0.04819277108433735,0.68
18,0.10998684601035513,0.38374108297739906,0.0,0.056240011845376796,curated,0.049079754601226995,0.4984892192503894,0.5144168460964627,,4,81,0.047058823529411764,0.68
19,0.109968534190394,0.38372543211652954,0.0,0.056240011845376796,curated,0.049079754601226995,0.49826902023056013,0.5142548636340105,,6,73,0.0759493670886076,0.68
