step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.12042947704053059,0.4482911456472434,0.13,0.005271560683194252,echo,0.04784688995215311,1.050163395647226,0.700177789066982,0.15502063772999908,0,0,,0.39
1,0.120384995184343,0.4383028984351316,0.06,0.11116511490150216,echo,0.04784688995215311,1.0785908143865064,0.6581619097185635,0.1503041124733469,5,170,0.02857142857142857,0.38
2,0.12199754401313136,0.43131449777036884,0.04,0.13009946442234122,echo,0.04784688995215311,1.0779450537231934,0.6294539496391054,0.14638213458292676,6,183,0.031746031746031744,0.42
3,0.12351569528084466,0.42641713960021527,0.03,0.1846264039378838,echo,0.04784688995215311,1.069855366724909,0.6058189289430709,0.14583796920514458,6,195,0.029850746268656716,0.43
4,0.12424429607733188,0.42232198023262163,0.03,0.18133272129140848,echo,0.04784688995215311,1.0597209114995718,0.5893285225040151,0.1366240163743372,6,206,0.02830188679245283,0.47
5,0.12522408141053787,0.41900805051361095,0.03,0.20984211097166058,echo,0.04784688995215311,1.0506062544980748,0.5772402965707464,0.13724747731967638,6,212,0.027522935779816515,0.48
6,0.12481436200557626,0.41593001648444994,0.03,0.2086677618712353,echo,0.04784688995215311,1.0382595945263442,0.5694836645898378,0.1369656537011855,6,218,0.026785714285714284,0.48
7,0.12506588070977284,0.4131856025231621,0.02,0.22488994952996758,echo,0.04784688995215311,1.0327328238655384,0.5649499872360129,0.1361723729421981,6,224,0.02608695652173913,0.5
8,0.1257573801201446,0.4111204273490852,0.02,0.23621611654066027,echo,0.04784688995215311,1.023589039224977,0.5609807948708312,0.14016669213817948,6,227,0.02575107296137339,0.51
9,0.1262472206883737,0.40989354392519173,0.02,0.24499063117203193,echo,0.04784688995215311,1.0186025502115281,0.5585964656969108,0.14518797062209848,6,228,0.02564102564102564,0.51
10,0.12644648059304256,0.40885706714059067,0.02,0.23822499026858704,echo,0.04784688995215311,1.0141955239239449,0.5566809951747272,0.14896304667959015,6,228,0.02564102564102564,0.51
11,0.1266632976504264,0.4080865163429342,0.02,0.21533518645536265,echo,0.04784688995215311,1.0095671759398523,0.555173336305964,0.1520204072845917,6,228,0.02564102564102564,0.52
12,0.1269264615573694,0.4075162262710233,0.02,0.1415990363919991,echo,0.04784688995215311,1.00704111249039,0.5539720504441781,0.15446290737547294,6,228,0.02564102564102564,0.53
13,0.12648175199921335,0.4064630092213827,0.02,0.1444769643259173,echo,0.04784688995215311,1.0037628830483496,0.5526197237651833,0.1575594145296473,6,229,0.02553191489361702,0.53
14,0.1266446465546038,0.4058718623771078,0.02,0.14966059230390352,echo,0.04784688995215311,1.0011840373108996,0.551655493743957,0.15871966140847846,6,229,0.02553191489361702,0.54
15,0.12662933957126515,0.40503908259328825,0.02,0.1267537493952587,echo,0.04784688995215311,0.998799865339396,0.5511832232985385,0.15840618779396076,6,232,0.025210084033613446,0.55
16,0.12667604452136605,0.404441189564109,0.02,0.11279563371740442,echo,0.04784688995215311,0.9957613620549086,0.5504696871096733,0.15829251173994136,6,232,0.025210084033613446,0.56
17,0.12668570382266317,0.4039326106933219,0.02,0.11279563371740442,echo,0.04784688995215311,0.9935410401903397,0.5499212276811183,0.15763516503312128,6,232,0.025210084033613446,0.57
18,0.1271135018904469,0.4037472179683626,0.02,0.0959047370047297,echo,0.04784688995215311,0.9912385527292347,0.5500071844310785,0.15590267272695374,6,232,0.025210084033613446,0.57
19,0.12681600560852913,0.402900533817458,0.02,0.08406173998892354,echo,0.04784688995215311,0.98888984640838,0.5496850379035035,0.15263253769694313,6,234,0.025,0.58
20,0.126642337314288,0.4023149927104587,0.02,0.08406173998892354,echo,0.04784688995215311,0.9871819996806052,0.5494315601179991,0.15013105445489514,6,233,0.02510460251046025,0.58
21,0.12653936573395502,0.40188951709586695,0.02,0.07563025210084008,echo,0.04784688995215311,0.9855865242939293,0.5492613446396528,0.14798365814452336,6,234,0.025,0.59
22,0.12644639780137554,0.4015280311565182,0.02,0.07563025210084008,echo,0.04784688995215311,0.9840906540931501,0.5489717874495419,0.14617263765630423,6,234,0.025,0.59
23,0.12631948157497314,0.40118489466516316,0.02,0.07954573570527228,echo,0.04784688995215311,0.9827599798366163,0.5486515303777177,0.14443470129823352,6,233,0.02510460251046025,0.59
24,0.12621124610880444,0.40089317596212887,0.02,0.07954573570527228,echo,0.04784688995215311,0.9814094820720671,0.5484091121816675,0.14266421697940979,6,233,0.02510460251046025,0.6
25,0.12609141150440803,0.40062612251830515,0.02,0.07954573570527228,echo,0.04784688995215311,0.9801196846681858,0.5482211599990563,0.14105503057151605,6,234,0.025,0.61
