step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.2037265317750849,0.41718178145735196,-0.0013935645502231443,0.07,0.02553494124922696,0.0005043779650697164,0.01296117097417753,0.4724488863022334,0.03,echo
1,0.21521790245512482,0.41799135917887503,0.030403446276199134,0.05,0.22814091666970449,0.015520271456847113,0.11559406363874163,0.2633079856891303,0.03,echo
2,0.21722015681974532,0.4180430493411065,0.046350505779134736,0.02,0.3842255985031576,0.04027116439972835,0.19551003363678898,0.24190302928846052,0.03,echo
3,0.21640670713278218,0.42041074099720094,0.04409857328145266,0.01,0.4994186835671357,0.06550004999938981,0.25475506344646703,0.230431901694474,0.03,echo
4,0.2147674024832603,0.4206283477396148,0.04409857328145266,0.01,0.580754382777494,0.08745677454873654,0.2965232357117113,0.22380537887473168,0.03,echo
5,0.21448194323808153,0.42043204821810676,0.048427152317880695,0.01,0.6385635171928468,0.10533493501690895,0.32625078037652117,0.220758553276184,0.03,echo
6,0.21475640006668179,0.42008204983700304,0.048427152317880695,0.01,0.6800115574458886,0.11936291589945823,0.3476195986492008,0.2188846406565007,0.03,echo
7,0.21496505493628554,0.41983118779478845,0.048427152317880695,0.01,0.7094932660634086,0.1299870889684577,0.36285908962462843,0.21780543429788993,0.03,echo
8,0.2150393629238081,0.4194136897291107,0.048427152317880695,0.01,0.7304505086516712,0.13786774435219823,0.37369749840129335,0.21710282405207665,0.03,echo
9,0.2151488822435639,0.41899264056494606,0.03130321810425033,0.01,0.7453406143992801,0.14363515027060436,0.3814150866712695,0.21664467449147737,0.03,echo
10,0.21524173434255975,0.41854259764836305,0.03130321810425033,0.01,0.7558777652338478,0.1478029296912123,0.3868760909672296,0.2163314590353977,0.03,echo
11,0.21537870293526687,0.4181619084384964,0.03130321810425033,0.01,0.7634594580899613,0.15084623444376424,0.39080436331652224,0.21608582745968902,0.03,echo
12,0.2155064524584887,0.41778622435708174,0.03130321810425033,0.01,0.7688711877472705,0.15304028125248903,0.39361262738867125,0.2158967552348146,0.03,echo
13,0.21557713086470667,0.41742092889522725,0.025196822780592817,0.01,0.7727878572512457,0.15463987389040146,0.3956455988150905,0.21573860740030854,0.03,echo
14,0.21566511388788745,0.4171257725389429,0.025196822780592817,0.01,0.7756048481328116,0.155794352349732,0.39711019413960646,0.21561623753272458,0.03,echo
15,0.21577840843050874,0.4167675236002587,0.03328894806924098,0.01,0.7776203848023777,0.15662215324595916,0.3981550954880684,0.21553417824777923,0.03,echo
16,0.21587290481916235,0.4164171502962931,0.03328894806924098,0.01,0.7790681416230423,0.15721563149022205,0.3989073154546604,0.21546178998148277,0.03,echo
17,0.2159623472836201,0.4160894032536978,0.03328894806924098,0.01,0.780130663018287,0.15764883255688683,0.39946056538505154,0.21538911920884374,0.03,echo
18,0.21608078871599748,0.4157577638948176,0.033339757178647046,0.01,0.7809211647489279,0.15797004728767844,0.39987288614724903,0.21531973602503116,0.03,echo
19,0.21617926671366244,0.41544673212688976,0.037353664706805956,0.01,0.7815048768054492,0.1582040917747422,0.400175360847651,0.21525731702279585,0.03,echo
20,0.216265799940354,0.4151441718422959,0.037353664706805956,0.01,0.7819514296757339,0.15838215890269258,0.40040927566555895,0.21519056209882848,0.03,echo
21,0.2163731290222749,0.4148636224768126,0.04471310688927276,0.01,0.7822744622206654,0.1585078697968696,0.40057426455092904,0.21513680810118999,0.03,echo
