step,mean_belief,polarization_var,share_extremes,assortativity,regime
0,0.3969182767129413,0.0648462284883249,0.0,0.024580261060183496,curated
1,0.39859608123181794,0.04931379114020091,0.0,0.007636416307639454,curated
2,0.3985700331579148,0.03628671972610189,0.0,-0.0008433287103466598,curated
3,0.39863083141402866,0.0244101921696907,0.0,0.008155020200508832,curated
4,0.40021781492570907,0.014218559553540198,0.0,0.00862836369423241,curated
5,0.40400958968742623,0.006673258726852803,0.0,0.004175614411835122,curated
6,0.4071645885854444,0.002591669665950778,0.0,-0.052268127157994844,curated
7,0.40797428216384035,0.0009663107197225374,0.0,-0.013415892672859244,curated
8,0.407785521011329,0.000354842631792314,0.0,,curated
9,0.40810279262985694,0.00012618587119519223,0.0,,curated
10,0.4082319148843348,4.3679948013843865e-05,0.0,,curated
11,0.4083026251550867,1.4154989521523402e-05,0.0,,curated
12,0.4083242828448632,4.5479397609544184e-06,0.0,,curated
13,0.408264863560418,1.5501799833960418e-06,0.0,,curated
14,0.4082772135506857,5.170651875380215e-07,0.0,,curated
15,0.4082603266154306,1.722216805530429e-07,0.0,,curated
16,0.4082585911717356,5.9966953581051e-08,0.0,,curated
17,0.40825578382099126,1.8977954070249493e-08,0.0,,curated
18,0.40825715642985977,6.0126679566375436e-09,0.0,,curated
19,0.40825940182940934,2.0855071078709685e-09,0.0,,curated
20,0.40825962481316325,7.056228085111634e-10,0.0,,curated
21,0.4082594961924513,2.3902808116737123e-10,0.0,,curated
22,0.40825883056386886,8.415905336520849e-11,0.0,,curated
23,0.40825890240373974,2.940746666058173e-11,0.0,,curated
24,0.4082589268736141,1.0587637022654298e-11,0.0,,curated
25,0.4082588848170298,3.464479785013307e-12,0.0,,curated
26,0.4082588870860326,1.2048252166697214e-12,0.0,,curated
27,0.40825890080026545,4.136821043275849e-13,0.0,,curated
28,0.40825890851080887,1.3872479736070182e-13,0.0,,curated
29,0.4082589005831806,4.485692657802096e-14,0.0,,curated
30,0.4082589027739272,1.5131609997001257e-14,0.0,,curated
31,0.4082589053400595,5.118788947168099e-15,0.0,,curated
32,0.4082589031545678,1.6895505505521099e-15,0.0,,curated
33,0.4082589030459831,5.840264296948106e-16,0.0,,curated
34,0.40825890283813193,1.8410719122683716e-16,0.0,,curated
