step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.06423716950177683,0.5031560583541164,-0.0306029673099971,0.15,0.015708101422387134,7.055345790072916e-05,0.005359876995419323,0.30085917136920715,0.05,mixed
1,0.06578904338166419,0.49622096879996436,-0.030630448968389335,0.1,0.2538033537143203,0.00734993315554705,0.08312276518127008,0.13389373157360382,0.05,mixed
2,0.06943516977891935,0.4945106596710636,-0.02931406624676731,0.06,0.4347664001311612,0.016139802802271633,0.1439013275330179,0.11418360262392667,0.05,mixed
3,0.06899568025242334,0.4891722302574081,-0.025909990807154854,0.05,0.5693571371155731,0.02452311776091696,0.189015230582493,0.10145261186290312,0.05,mixed
4,0.06949627376086204,0.48754184229234154,-0.034425324134545375,0.04,0.6633753918396088,0.03210005186655955,0.21969830418573644,0.09729701099572552,0.05,mixed
5,0.06966840013663238,0.4850162861738447,-0.03510258658354563,0.04,0.7319666047825598,0.03816187102196596,0.24298155398037416,0.09351445522999641,0.05,mixed
6,0.07050707126669338,0.4826517662861175,-0.03594310553376095,0.02,0.786380847942525,0.04128253571178941,0.2612061012822659,0.085354904525325,0.05,mixed
7,0.06909614970556531,0.4805983151388592,-0.03682495920447253,0.01,0.825203346621104,0.044174050237900706,0.27413892338001217,0.08035255272100159,0.05,mixed
8,0.06924034567067751,0.47879361879083027,-0.03682495920447253,0.01,0.8513434406400929,0.04666320007494141,0.28260254562152803,0.07886369625633449,0.05,mixed
9,0.06827256588103543,0.47611935025089636,-0.013678872325697934,0.01,0.8714123802164845,0.04858663720508357,0.28941472388579986,0.07675104661367911,0.05,mixed
10,0.06883333678033415,0.4756047868317916,-0.0021049964148831743,0.01,0.8851057142530954,0.05010917668317094,0.2938854054216374,0.0758927741385537,0.05,mixed
11,0.06827629637632127,0.471907768572481,0.023296501702861357,0.01,0.895001657190723,0.051153821054982916,0.29730426771124957,0.07519520981011908,0.05,mixed
12,0.06806529595933461,0.4695346353873485,0.023296501702861357,0.01,0.9018956474285119,0.051865796998218895,0.2996959207930909,0.07456232626842109,0.05,mixed
13,0.06693763098994643,0.46679019674898314,0.023296501702861357,0.01,0.9065978024872908,0.05237473926330988,0.30131903898369394,0.07442756221024481,0.05,mixed
14,0.06634135338096744,0.46457224013792825,0.023296501702861357,0.01,0.9104417881072497,0.0527125064040008,0.30256172451065333,0.0738570924075357,0.05,mixed
15,0.06536357470247806,0.46233113687339794,0.023296501702861357,0.01,0.9125863331640965,0.05297254026287861,0.3033457597086663,0.07399496423983208,0.05,mixed
16,0.06419241977360109,0.4591718100600402,0.03830425684326908,0.01,0.9142797296372802,0.0531191951350136,0.30394480301101373,0.0739079617150125,0.05,mixed
17,0.06461026315052253,0.4574130066225291,0.04668702650716252,0.01,0.9148164212396914,0.05319990409688015,0.30417382057567716,0.07431893169413399,0.05,mixed
18,0.06371701438775655,0.4545619851530462,0.04668702650716252,0.01,0.9163348293414271,0.05323273464054209,0.3046795822469381,0.07367141112147052,0.05,mixed
19,0.06259003686786911,0.4522980399934425,0.05237574973800985,0.01,0.9170217182286419,0.053312048553658294,0.3049199318496531,0.07362556612622313,0.05,mixed
20,0.06225770793274694,0.4509026536269351,0.05237574973800985,0.01,0.9179396759807221,0.0533794776261488,0.3051971763576536,0.07329242363778916,0.05,mixed
21,0.061926365666037306,0.4499431783628631,0.05237574973800985,0.01,0.9186912038295438,0.05343915760105645,0.3054404027021958,0.07304061343751983,0.05,mixed
22,0.06107952204630073,0.44810829154011067,0.05168592286671424,0.01,0.9188802664564721,0.05347137741401371,0.30551329866962784,0.07315353499297586,0.05,mixed
23,0.061736374205067,0.4476206634678919,0.05168592286671424,0.01,0.9192011674070202,0.05349771861169165,0.30561140073849136,0.07295576016044095,0.05,mixed
24,0.0611993499408928,0.44631637307605593,0.05879452868295664,0.01,0.9202521299704624,0.05353512548050314,0.3059240480319978,0.07230030950116514,0.05,mixed
25,0.062259274505740966,0.44643361425767963,0.05879452868295664,0.01,0.921195881319155,0.053619575629280554,0.30621349604141185,0.0718158184458278,0.05,mixed
26,0.06194177150488669,0.4447040774943039,0.05879452868295664,0.01,0.9219415871919736,0.0535870045272981,0.3064383583091605,0.07124850757002378,0.05,mixed
27,0.062107541771978435,0.4438882939277145,0.05879452868295664,0.01,0.9223122744751983,0.05363341317721608,0.3065548878834021,0.07115567912561943,0.05,mixed
28,0.06288295425821615,0.44365928947380395,0.05879452868295664,0.01,0.9225965955319314,0.05364990556846063,0.3066524787672573,0.07097251509665597,0.05,mixed
29,0.061226563061213025,0.44112527531719353,0.05879452868295664,0.01,0.9254133837397603,0.04988187523941066,0.3075048856526424,0.06816410573149952,0.05,mixed
30,0.060384272971154763,0.43930099921990595,0.07255256928004454,0.01,0.928057779738984,0.04772690344545914,0.3083065316941483,0.0657931015596425,0.05,mixed
31,0.059800221138641974,0.4381600788303973,0.07255256928004454,0.01,0.9300130987211505,0.046556914857671904,0.3089017982809532,0.06410255442247845,0.05,mixed
32,0.05964792648139757,0.43760105545545,0.07255256928004454,0.01,0.9313946300359537,0.0460348110072811,0.3092929628472421,0.06297508423178427,0.05,mixed
33,0.05937341938101634,0.43648777454194776,0.07255256928004454,0.01,0.9320695498681747,0.04575706244984345,0.30949970406856236,0.062387451176210786,0.05,mixed
34,0.061276393284319566,0.4357751438222607,0.07255256928004454,0.01,0.9319127354359044,0.04555138250074473,0.30946021851650185,0.06210856206662271,0.05,mixed
35,0.061727990990324645,0.4351554842879635,0.07255256928004454,0.01,0.932567716568893,0.045515160325670545,0.3096664599724296,0.06168161184428641,0.05,mixed
36,0.06326010935607722,0.4355193761512636,0.07629985754985749,0.01,0.9338030168700433,0.045466719293710246,0.3100370067543792,0.0606885119599059,0.05,mixed
37,0.06315225877932776,0.43365104001082394,0.07345575959933225,0.01,0.9324884710666517,0.045453365352284274,0.30964369746861226,0.06170233771773994,0.05,mixed
38,0.06378523872762573,0.4326953946229322,0.07301768397033657,0.01,0.9325898810295703,0.045456430471350055,0.30967708234734903,0.061693051969823214,0.05,mixed
39,0.06425964327459757,0.4315595626668581,0.08447864328454194,0.01,0.932170675311686,0.0453428717657421,0.3095472210611709,0.06172846810368824,0.05,mixed
40,0.06283822756130167,0.42949450051688964,0.09368182262213588,0.01,0.9323326396402613,0.045345355096098626,0.3095971751905854,0.0615293028757884,0.05,mixed
41,0.06187316226945175,0.42821023449355466,0.09368182262213588,0.01,0.9327536402818148,0.045394904708780236,0.3097337866631666,0.06132123106705634,0.05,mixed
42,0.06163398002405472,0.4274061959527118,0.10657237846676985,0.01,0.9340885268407014,0.04537202505564804,0.31015270310244264,0.06024841652922774,0.05,mixed
43,0.06097574239871129,0.42647198899218614,0.10657237846676985,0.01,0.9353767333984329,0.045364795321838146,0.31054264940706083,0.05915125167004774,0.05,mixed
44,0.06032839353268795,0.4254772370690172,0.10657237846676985,0.01,0.9362463483048294,0.045395243196945066,0.31080381113691447,0.05845496074743778,0.05,mixed
45,0.0598779663113003,0.4248998172800832,0.10657237846676985,0.01,0.9371008205828142,0.045441728029051075,0.3110651974634477,0.05790170934152442,0.05,mixed
46,0.05964844518859985,0.42452063652205774,0.10657237846676985,0.01,0.9380810384942027,0.045456681971914666,0.3113623371022766,0.05713934052010302,0.05,mixed
47,0.05952631673518643,0.42415439169127794,0.10678518454359426,0.01,0.938982322258137,0.0454873456986003,0.31162741136304095,0.056463429003254934,0.05,mixed
48,0.05869758910090659,0.4229216882675823,0.10678518454359426,0.01,0.9394953091970707,0.04553420691445191,0.31178635042213776,0.056189227941301,0.05,mixed
49,0.05806738974910905,0.4220281627816728,0.10577345176867169,0.01,0.9398426740690295,0.04557298295970564,0.3118948295645203,0.05603165143834033,0.05,mixed
50,0.057229550004273114,0.4208807368362588,0.10927973489565845,0.01,0.9402749039073837,0.04562103453681678,0.3120284747004303,0.05585699213074847,0.05,mixed
51,0.057510815148977434,0.4210080925513354,0.10857985119515333,0.01,0.9411312218601836,0.045654129314196185,0.31229103468756897,0.05526266550283125,0.05,mixed
52,0.05683138991758778,0.4201407884201876,0.10857985119515333,0.01,0.9414242994887746,0.045683431211399846,0.3123824169918288,0.05508918983632384,0.05,mixed
53,0.056282098877239714,0.4193792659286011,0.10167127139297953,0.01,0.9418854637768758,0.04573128753454191,0.3125200321090498,0.05480579138821454,0.05,mixed
54,0.05591021552094585,0.4190075471190721,0.10047503614405452,0.01,0.94201035597678,0.04576283370807503,0.3125611365320508,0.05486419749997168,0.05,mixed
55,0.05511285532881196,0.41809897352916225,0.09208252204161108,0.01,0.942179704890518,0.04579391676173612,0.3126183583115444,0.05487579099785009,0.05,mixed
56,0.054713472164231364,0.4177194597596084,0.09208252204161108,0.01,0.9421062934363803,0.04580227528325984,0.31259610594253157,0.055026480164905536,0.05,mixed
57,0.05392908014422977,0.41675995313858943,0.09221554258633555,0.01,0.9421862156000053,0.04581540794825752,0.31262390007466584,0.055005223721365584,0.05,mixed
58,0.05382241295549797,0.4164681997143016,0.10447266154041765,0.01,0.9422482062394155,0.04581604475462509,0.3126455032062942,0.0549408141900804,0.05,mixed
59,0.053446902373748745,0.41601743069515446,0.10447266154041765,0.01,0.9423278637860846,0.04584279578791414,0.31267278043999125,0.05493986900173994,0.05,mixed
