step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.17201267283850438,0.5078006076807196,0.019982985815725978,0.15,0.026365697794269217,0.0006648372668238173,0.00837157216523149,0.521271144036308,0.05,echo
1,0.17861375074459285,0.4994745409423256,0.06422811601285698,0.11,0.22818306681052436,0.014727978439394369,0.07392167726681732,0.25808557125359355,0.05,echo
2,0.18128952569097237,0.49595553418473093,0.09069306930693069,0.06,0.3821752784887018,0.038388386707707375,0.12380564339014827,0.23701198495199804,0.05,echo
3,0.18311113022215608,0.49387617158600866,0.10680065435849494,0.03,0.4944533322866115,0.0636143637749865,0.16016226118560947,0.2296895267080802,0.05,echo
4,0.18372791977120947,0.4922358701537689,0.11473851030110943,0.01,0.5757014838079156,0.08611168863434948,0.18641915262641945,0.22575961831349162,0.05,echo
5,0.1844602881354023,0.4915181891088398,0.11994868505452223,0.01,0.6340877171137437,0.10445365112319899,0.20525628864207499,0.22305788970952137,0.05,echo
6,0.1847387655188453,0.4904067159794529,0.11994868505452223,0.01,0.6746582381111252,0.11831314016182949,0.21835144820070873,0.22185024667189254,0.05,echo
7,0.18680102015595498,0.490380278738048,0.11994868505452223,0.01,0.706330890235778,0.1262378332227068,0.2285001028713247,0.2183339280891586,0.05,echo
8,0.18635409843197387,0.48857245016695194,0.14208109428431864,0.01,0.7318312252622405,0.12943727187340867,0.23660218792213064,0.2123422138039244,0.05,echo
9,0.18530959770721012,0.486259162794423,0.14208109428431864,0.01,0.7534460820903821,0.12973883776222309,0.24340536699090984,0.20449450854934453,0.05,echo
10,0.18531462994390563,0.48559502058665965,0.1574010747435272,0.01,0.7698101849967034,0.13119476783498915,0.24853618853483472,0.19832844133470914,0.05,echo
11,0.1851914515379608,0.4850532642143149,0.17272105520273573,0.01,0.7818202876138675,0.13315692752517397,0.2522952515863056,0.19383265208434908,0.05,echo
12,0.18532804527557636,0.48483745750285756,0.16133122028526145,0.01,0.7907701367484212,0.13509688989275506,0.2550898522607886,0.19043631124173005,0.05,echo
13,0.18694567037060797,0.48559169886418696,0.16133122028526145,0.01,0.7995012996123897,0.13371922132931693,0.25915622874350386,0.18562702298488376,0.05,echo
14,0.18768096931868194,0.48598458612769285,0.15612506406970786,0.01,0.8061394145569681,0.13332073536040545,0.2623272613035547,0.18193364193104855,0.05,echo
15,0.18772401962891103,0.48574363770263185,0.1445762711864406,0.01,0.8111420416940911,0.13345524821311402,0.2647683985883073,0.17908098233152883,0.05,echo
16,0.1875779111847832,0.4853546790176457,0.13072683430933535,0.01,0.8150189940259464,0.13390407236744248,0.2666437143592642,0.1768955907648646,0.05,echo
17,0.18745214648223604,0.48500656690616983,0.12523199292973944,0.01,0.81797239440504,0.13444157506197985,0.26805588644703315,0.17525936084311994,0.05,echo
18,0.18731931743475067,0.48467690500835814,0.12523199292973944,0.01,0.8202192303864824,0.13495680752422676,0.2691130566689866,0.17404062502701706,0.05,echo
19,0.18722288364748824,0.48440629241313077,0.12523199292973944,0.01,0.8219808729305974,0.13542341474604966,0.2699186348547044,0.17311572651534377,0.05,echo
20,0.18716519365788575,0.4842094168133588,0.11362857730169248,0.01,0.8233418057244484,0.13581616069791946,0.2705265724918252,0.17244983666136662,0.05,echo
21,0.18716235064301354,0.48407843085039076,0.11362857730169248,0.01,0.8244393297622002,0.13615124096531764,0.27099546651321627,0.17193588465839013,0.05,echo
22,0.18710370179235444,0.48392764115193093,0.11367464181067301,0.01,0.8252982463133178,0.13642214604110656,0.27135159354853094,0.17155376860763255,0.05,echo
23,0.18707134361813413,0.4837929718378418,0.11367464181067301,0.01,0.8259439268527022,0.13662960741427033,0.2716141763928727,0.1712725996013802,0.05,echo
24,0.18706355288742216,0.4836899496138586,0.11367464181067301,0.01,0.8265012129811997,0.13681133516886088,0.2718295849196015,0.17105334385326557,0.05,echo
25,0.18705222722393156,0.48358526241578353,0.11367464181067301,0.01,0.8269481076243921,0.13695810726079286,0.2719977600497359,0.170874310548146,0.05,echo
26,0.18705034872609894,0.48349303533130283,0.11367464181067301,0.01,0.8273113432608014,0.13707805866130082,0.2721308658169858,0.17073703938385307,0.05,echo
27,0.1870489401993531,0.48341436647208325,0.11367464181067301,0.01,0.827609688874136,0.13717670558270656,0.27223767735491144,0.1706220507654399,0.05,echo
28,0.18701013427213536,0.4833251368896459,0.11367464181067301,0.01,0.8278786475503361,0.13726577514047877,0.27233013881116663,0.17051265490639964,0.05,echo
29,0.18700656037367916,0.4832639658009325,0.11367464181067301,0.01,0.8280865891813134,0.13733473860418013,0.27240112477421297,0.17043247358003127,0.05,echo
30,0.1870144060492716,0.4832083013481568,0.11367464181067301,0.01,0.8282639894679452,0.13739351920076429,0.27246042491752254,0.17036739627452577,0.05,echo
31,0.18700745363103408,0.48314335819318815,0.11367464181067301,0.01,0.8284192951438597,0.1374450245937951,0.2725117711585074,0.1703098196663909,0.05,echo
32,0.18700922817789467,0.48308682225200383,0.11367464181067301,0.01,0.8285624687125959,0.13749235579177516,0.2725576686160137,0.17025549285642086,0.05,echo
33,0.18701711303785426,0.4830343108364701,0.11367464181067301,0.01,0.828674752634524,0.1375293350396449,0.2725939526642642,0.17021150005546687,0.05,echo
34,0.18703689360560907,0.48300604478517334,0.11367464181067301,0.01,0.8287733500824217,0.13756183147510292,0.2726255243109754,0.17017114447583423,0.05,echo
35,0.18705510367331143,0.48297398797001506,0.11367464181067301,0.01,0.8288623106751168,0.1375909348719081,0.27265403341607636,0.170132095494356,0.05,echo
36,0.18703140285449582,0.4829187451659541,0.11367464181067301,0.01,0.8289608084085467,0.13762328038726773,0.2726846629299228,0.1700865453715457,0.05,echo
37,0.1870485283076215,0.4828957877111676,0.11367464181067301,0.01,0.8290245416204998,0.13764406819524694,0.2727041768948878,0.17005984550494163,0.05,echo
38,0.18702482287596248,0.482823691896216,0.11367464181067301,0.01,0.8291019181716719,0.13766929498224034,0.27272853807937053,0.17001883831023945,0.05,echo
39,0.18701810437845479,0.4827807389407232,0.11367464181067301,0.01,0.8291515239348171,0.13768541537801995,0.27274406690532677,0.1699938174183495,0.05,echo
40,0.18699644972279575,0.48271880030618874,0.11367464181067301,0.01,0.829212515574795,0.13770534808297388,0.27276303326085327,0.16996247463690609,0.05,echo
41,0.18701459667677067,0.4827058147699684,0.11367464181067301,0.01,0.8292525973947769,0.13771822698253117,0.27277544223913713,0.16994456400014202,0.05,echo
42,0.18702826813839937,0.48268820662445344,0.11367464181067301,0.01,0.8292909666169641,0.1377305412126482,0.27278730953389807,0.16992455944091772,0.05,echo
