step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.3969182767129413,0.0648462284883249,0.05,-0.045713019717893856,mixed,0.2,0.30932870200686086,0.30354513850890597,,0,0,,0.4
1,0.40082539834053305,0.042846551735035196,0.0,-0.014801163457654974,mixed,0.2,0.25878642165902804,0.23660286518154952,,96,427,0.1835564053537285,0.38
2,0.40108707363155915,0.026580153852686556,0.0,-0.04960987392035624,mixed,0.2,0.20446613377304335,0.17747589591094523,,114,495,0.18719211822660098,0.3
3,0.4033050682231258,0.014768407618246328,0.0,0.05486164628560638,mixed,0.2,0.15539156065381735,0.1243213162772658,,136,552,0.19767441860465115,0.24
4,0.4050818195960288,0.0073136316034964665,0.0,0.08698368240761743,mixed,0.2,0.1094718300300212,0.08082574481760343,,150,603,0.199203187250996,0.12
5,0.4039191872655884,0.0030806781177835003,0.0,0.07306653770201138,mixed,0.2,0.06960014361330259,0.049240515743421386,,158,638,0.1984924623115578,0.06
6,0.4037022438136218,0.0015036289437508545,0.0,0.03458836845434305,mixed,0.2,0.046123204944466444,0.03139206040209051,,162,638,0.2025,0.02
7,0.4042145487717609,0.0008018267219952891,0.0,-0.010101010101008969,mixed,0.2,0.03224066894309402,0.020629750509242272,,156,644,0.195,0.0
8,0.4042007214514205,0.00047834937663816373,0.0,,mixed,0.2,0.02318124957718534,0.014603560199363102,,163,637,0.20375,0.0
9,0.40408345996786715,0.0003071232585882054,0.0,,mixed,0.2,0.016971921988434103,0.010843016188479937,,164,636,0.205,0.0
10,0.4040997109189544,0.00021148325310385606,0.0,,mixed,0.2,0.012376066538828657,0.008220149730484138,,162,638,0.2025,0.0
11,0.40412648021624564,0.00015063444900394489,0.0,,mixed,0.2,0.009356057574559828,0.0065237136056842645,,155,645,0.19375,0.0
12,0.404129632932102,0.00011182106307598447,0.0,,mixed,0.2,0.007256081064002462,0.005370957223599875,,161,639,0.20125,0.0
13,0.4041198049569832,8.686386298792263e-05,0.0,,mixed,0.2,0.005693195911355445,0.00454472281502171,,165,635,0.20625,0.0
14,0.40413429658119904,6.777718872488058e-05,0.0,,mixed,0.2,0.004731920605095922,0.00388368663573162,,162,638,0.2025,0.0
15,0.404104322254299,5.4021227903848486e-05,0.0,,mixed,0.2,0.004019939896569322,0.0034222364959464236,,152,648,0.19,0.0
16,0.40404484303332255,4.3650627002123483e-05,0.0,,mixed,0.2,0.003495154401416046,0.003008474941191206,,159,641,0.19875,0.0
17,0.4040904022276707,3.548050041218913e-05,0.0,,mixed,0.2,0.002987518783611988,0.0026947341325143158,,158,642,0.1975,0.0
18,0.4040877428321107,2.945755423451592e-05,0.0,,mixed,0.2,0.002636772927457115,0.0024089460496679736,,164,636,0.205,0.0
19,0.40409434635474334,2.4212350318830742e-05,0.0,,mixed,0.2,0.002367623972922297,0.002179373091526176,,160,640,0.2,0.0
20,0.4041020181680347,1.973672959307903e-05,0.0,,mixed,0.2,0.0021606350621126607,0.0019615288508695993,,160,640,0.2,0.0
21,0.4041441040853187,1.6001986112431137e-05,0.0,,mixed,0.2,0.0019190080906022933,0.0017651226836092923,,158,642,0.1975,0.0
22,0.4041303330274067,1.3437791836554093e-05,0.0,,mixed,0.2,0.0017337513852317076,0.001611730443649937,,151,649,0.18875,0.0
23,0.40413366469186657,1.091496821148101e-05,0.0,,mixed,0.2,0.001586432537694339,0.0014547785776287212,,158,642,0.1975,0.0
24,0.40411956760333895,8.971263699727462e-06,0.0,,mixed,0.2,0.001420841973017354,0.0013066179368599793,,164,636,0.205,0.0
25,0.40410507152746356,7.3565905292185445e-06,0.0,,mixed,0.2,0.0013167993408715823,0.0011993779178932206,,166,634,0.2075,0.0
26,0.40405896747498443,6.027128642126385e-06,0.0,,mixed,0.2,0.001166506783300419,0.001076556904270493,,157,643,0.19625,0.0
27,0.40405655689656533,4.9258135397711214e-06,0.0,,mixed,0.2,0.0010469085571120018,0.0009746038874702451,,166,634,0.2075,0.0
28,0.404048261968973,4.0487018299079054e-06,0.0,,mixed,0.2,0.0009362028692502816,0.0008873950265167073,,161,639,0.20125,0.0
29,0.4040607443233777,3.2848609696056585e-06,0.0,,mixed,0.2,0.0008569503600102585,0.0007976765506957986,,162,638,0.2025,0.0
30,0.40404326772227883,2.739187426676414e-06,0.0,,mixed,0.2,0.0007698154355976556,0.0007178070415690095,,154,646,0.1925,0.0
31,0.40403476911192526,2.2516484602801165e-06,0.0,,mixed,0.2,0.0006912734065162063,0.0006548917127678185,,161,639,0.20125,0.0
32,0.40403944170632305,1.8478963059322936e-06,0.0,,mixed,0.2,0.0006299436621627119,0.0005871715634830771,,165,635,0.20625,0.0
33,0.4040333240760085,1.519794705256862e-06,0.0,,mixed,0.2,0.0005669117670746165,0.0005306558603375396,,156,644,0.195,0.0
34,0.40401999419473145,1.2379935149717795e-06,0.0,,mixed,0.2,0.0005108296041225513,0.0004785933648467174,,164,636,0.205,0.0
35,0.404013020287144,1.0166285646917938e-06,0.0,,mixed,0.2,0.00047177727785313817,0.000437445389833598,,151,649,0.18875,0.0
36,0.4040187559584756,8.230505579482638e-07,0.0,,mixed,0.2,0.0004209063448338102,0.0003934772310140364,,165,635,0.20625,0.0
37,0.40400598430686224,6.800642070964942e-07,0.0,,mixed,0.2,0.00038313655800768174,0.00035458044430557016,,154,646,0.1925,0.0
38,0.40400100915646997,5.55160289172292e-07,0.0,,mixed,0.2,0.0003473335575909814,0.00031921601365678576,,158,642,0.1975,0.0
39,0.4039960417534509,4.660654491163806e-07,0.0,,mixed,0.2,0.00030844938486717933,0.00029078359498645,,168,632,0.21,0.0
40,0.40398476933459393,3.867228371073546e-07,0.0,,mixed,0.2,0.0002827603552322339,0.0002660671563547083,,153,647,0.19125,0.0
41,0.403983662600395,3.2089559874176384e-07,0.0,,mixed,0.2,0.00025242801093611157,0.00024272088396660535,,166,634,0.2075,0.0
42,0.4039836738474694,2.6860813293238705e-07,0.0,,mixed,0.2,0.00022672687912373758,0.00022202963443874264,,167,633,0.20875,0.0
