step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.17201267283850438,0.5078006076807196,0.44,0.014173796087022789,curated,0.048879837067209775,0.7034868938307127,0.7412903487319717,,0,0,,0.47
1,0.17343687383871476,0.49644425094414685,0.45,0.01838910702064046,curated,0.048879837067209775,0.6798232015397069,0.7236271176508763,,2,62,0.03125,0.47
2,0.17494408191097183,0.49310631288277185,0.46,0.022909877863734725,curated,0.048879837067209775,0.6598334023461226,0.7077997798349268,,3,70,0.0410958904109589,0.47
3,0.17657811030956183,0.49111562307547507,0.41,0.01990382898395443,curated,0.048879837067209775,0.6435793463842739,0.6963595332977829,,3,79,0.036585365853658534,0.47
4,0.1761561021689029,0.48819991241079597,0.42,0.0048804725526539324,curated,0.048879837067209775,0.6325270902392547,0.6878616253440619,,1,67,0.014705882352941176,0.47
5,0.17661643267631144,0.4876204341119235,0.37,0.0048804725526539324,curated,0.048879837067209775,0.6306009702499985,0.6823665381811914,,1,61,0.016129032258064516,0.47
6,0.17864240305663054,0.4878277268259586,0.3,0.0048804725526539324,curated,0.048879837067209775,0.62792047673056,0.6789860039062007,,4,74,0.05128205128205128,0.47
7,0.17882568846387703,0.4873645119393249,0.25,0.0048804725526539324,curated,0.048879837067209775,0.6258632145847134,0.6772186077611342,,2,71,0.0273972602739726,0.49
8,0.1810194773112373,0.4871791384460995,0.29,0.0048804725526539324,curated,0.048879837067209775,0.6274415614790829,0.6750774429939118,,1,74,0.013333333333333334,0.49
9,0.18062444351443646,0.4860842863766446,0.32,0.0048804725526539324,curated,0.048879837067209775,0.6248660733414447,0.6733776269950109,,3,69,0.041666666666666664,0.49
10,0.18309372521547154,0.4862877928740856,0.32,0.00787974143894571,curated,0.048879837067209775,0.6193611443860777,0.6712966512452249,,1,56,0.017543859649122806,0.49
