step,mean_belief,polarization_var,share_extremes,assortativity,regime,weak_tie_fraction,weak_edge_disagreement,strong_edge_disagreement,inter_cluster_gap,weak_tie_activations,strong_tie_activations,weak_activation_share,adoption_share
0,0.2859508286429337,0.40697971535590305,0.4,0.0246419816797833,echo,0.04591836734693878,0.2655072148182168,0.6483182617939056,0.12808080029122368,0,0,,0.54
1,0.289624341220009,0.40140831407031685,0.38,0.09106071392250586,echo,0.04591836734693878,0.22920193079053514,0.6182707514687619,0.13060872305587265,16,157,0.09248554913294797,0.54
2,0.29260028292223145,0.39999136719531575,0.4,0.10394513949833666,echo,0.04591836734693878,0.21003732488083662,0.6029958000574391,0.1309085980031179,16,164,0.08888888888888889,0.54
3,0.2933916662970623,0.4000785747871802,0.39,0.11664254703328514,echo,0.04591836734693878,0.20143878571035373,0.5967522038734089,0.13112758938282912,16,163,0.0893854748603352,0.54
4,0.29392197958102934,0.39997480427352683,0.41,0.11664254703328514,echo,0.04591836734693878,0.19531903802349598,0.5929774960820827,0.13210034036577423,16,163,0.0893854748603352,0.54
5,0.29400085965475975,0.399923569143267,0.44,0.12590329107651652,echo,0.04591836734693878,0.1934122821011506,0.5907776274294075,0.13305526888425262,16,164,0.08888888888888889,0.54
6,0.294158878519321,0.4000809458955765,0.46,0.12590329107651652,echo,0.04591836734693878,0.1915598392916402,0.5894054263244297,0.13323358719308484,16,163,0.0893854748603352,0.54
7,0.29416029247149483,0.4000677191204086,0.48,0.12590329107651652,echo,0.04591836734693878,0.19024410318333926,0.588411908781088,0.13367221071898383,16,164,0.08888888888888889,0.54
8,0.29425663025136733,0.4001541564840015,0.49,0.12590329107651652,echo,0.04591836734693878,0.18900715447421496,0.5877652332796283,0.13384323384936275,16,163,0.0893854748603352,0.54
9,0.2943510845703616,0.4002634726216634,0.49,0.12590329107651652,echo,0.04591836734693878,0.18807992476079893,0.5872956098862299,0.13399316443424425,16,163,0.0893854748603352,0.54
10,0.2944123470802907,0.4003229717974501,0.5,0.12590329107651652,echo,0.04591836734693878,0.1872054680288019,0.5869044702601384,0.13419904029484966,16,163,0.0893854748603352,0.54
11,0.29447715882923764,0.40039262727359926,0.5,0.12590329107651652,echo,0.04591836734693878,0.18667155025731563,0.5865978106454096,0.1343954457116844,16,163,0.0893854748603352,0.54
12,0.29454246183905286,0.4004661648916934,0.5,0.13027971882970127,echo,0.04591836734693878,0.18613718226871973,0.5863629425911631,0.13457648784460832,16,164,0.08888888888888889,0.54
13,0.2945853277990127,0.40051589157989737,0.51,0.13027971882970127,echo,0.04591836734693878,0.1856955508332483,0.5861430091129479,0.13477405708033774,16,163,0.0893854748603352,0.54
14,0.29463561442942654,0.4005650313392611,0.52,0.13027971882970127,echo,0.04591836734693878,0.18530072059223987,0.5859930088341255,0.13493035416182125,16,163,0.0893854748603352,0.54
15,0.29467885150244855,0.4006060573938594,0.53,0.13027971882970127,echo,0.04591836734693878,0.1850220797419909,0.5858612986608778,0.1350390718964457,16,163,0.0893854748603352,0.54
16,0.29471769501158573,0.4006554690873433,0.54,0.13027971882970127,echo,0.04591836734693878,0.18476976886382024,0.5857627632126841,0.13510983433903356,16,163,0.0893854748603352,0.54
17,0.29476267128052686,0.4007046231648745,0.54,0.13027971882970127,echo,0.04591836734693878,0.1845013076230818,0.585677772807927,0.13518474027426483,16,162,0.0898876404494382,0.54
18,0.2947925421017812,0.4007336506932457,0.54,0.13027971882970127,echo,0.04591836734693878,0.18416198143306797,0.5856032681158919,0.13527485935018607,16,163,0.0893854748603352,0.54
19,0.29481888466986594,0.40076139214184964,0.54,0.13027971882970127,echo,0.04591836734693878,0.18389645803065613,0.5855259508974008,0.13537600287177298,16,163,0.0893854748603352,0.54
20,0.29483163146612074,0.4007796084770242,0.54,0.13027971882970127,echo,0.04591836734693878,0.18373507699398925,0.5854691082602838,0.13546258812785017,16,164,0.08888888888888889,0.54
21,0.29485223468620947,0.4008022798871515,0.54,0.13027971882970127,echo,0.04591836734693878,0.18354021896931638,0.58541947663496,0.13552153546011544,16,163,0.0893854748603352,0.54
22,0.2948664315604371,0.4008231396281047,0.54,0.13027971882970127,echo,0.04591836734693878,0.18335265963546077,0.5853732596220375,0.1355769268364859,16,163,0.0893854748603352,0.54
23,0.2948736407137817,0.4008308136044597,0.54,0.13027971882970127,echo,0.04591836734693878,0.183171050765706,0.5853204961801745,0.1356323908971263,16,163,0.0893854748603352,0.54
24,0.29489007524558414,0.40084850444179737,0.54,0.13027971882970127,echo,0.04591836734693878,0.18301452428890505,0.5852906362445462,0.13568124810915916,16,164,0.08888888888888889,0.54
25,0.2948941028733119,0.4008554939154119,0.54,0.13027971882970127,echo,0.04591836734693878,0.18286653709827025,0.5852588631324321,0.13572091783289517,16,164,0.08888888888888889,0.54
26,0.2949048892410949,0.40086551991447317,0.54,0.13027971882970127,echo,0.04591836734693878,0.18271202535930053,0.5852298343863065,0.13573949595829518,16,164,0.08888888888888889,0.54
27,0.29491396217273846,0.40087994682327355,0.54,0.13027971882970127,echo,0.04591836734693878,0.18258594085242313,0.5852180154212774,0.1357545579812709,16,163,0.0893854748603352,0.54
28,0.2949257366056118,0.4008916586420677,0.54,0.13027971882970127,echo,0.04591836734693878,0.1824574671259786,0.585195185690719,0.13574591150339094,16,163,0.0893854748603352,0.54
29,0.2949308379213872,0.40090009348228195,0.54,0.13027971882970127,echo,0.04591836734693878,0.182378599485916,0.5851688814164093,0.13575688966666907,16,163,0.0893854748603352,0.54
30,0.2949317372611011,0.40090280330683564,0.54,0.13027971882970127,echo,0.04591836734693878,0.18229240878108868,0.5851506302166873,0.13576016260675086,16,164,0.08888888888888889,0.54
31,0.2949366147249255,0.40090825586705064,0.54,0.13027971882970127,echo,0.04591836734693878,0.18223602694998794,0.5851286269622499,0.1357513818590688,16,163,0.0893854748603352,0.54
32,0.2949430369276278,0.40091921464491276,0.54,0.13027971882970127,echo,0.04591836734693878,0.18215201922656077,0.5851213096648296,0.13574192234519405,16,163,0.0893854748603352,0.54
33,0.294946172370724,0.4009222583632972,0.54,0.13027971882970127,echo,0.04591836734693878,0.18210377445416073,0.5851017145450613,0.13573150361632494,16,164,0.08888888888888889,0.54
34,0.2949533033051488,0.40093014971519836,0.54,0.13027971882970127,echo,0.04591836734693878,0.18203874309300325,0.5850866908609441,0.13571316491320412,16,164,0.08888888888888889,0.54
35,0.29496168816292273,0.4009411321038064,0.54,0.13027971882970127,echo,0.04591836734693878,0.18200273315225987,0.585078897488953,0.13569349638364772,16,163,0.0893854748603352,0.54
36,0.29496102100698435,0.4009406744150574,0.54,0.13027971882970127,echo,0.04591836734693878,0.1819256930242353,0.5850570648307771,0.1356857399681076,16,163,0.0893854748603352,0.54
37,0.29496187798402684,0.4009428120724398,0.54,0.13027971882970127,echo,0.04591836734693878,0.18185669292224743,0.5850426055544853,0.13565652735629777,16,164,0.08888888888888889,0.54
38,0.29496534570444594,0.40094826572790937,0.54,0.13027971882970127,echo,0.04591836734693878,0.18181755710312264,0.5850392281944558,0.13562262848198628,16,163,0.0893854748603352,0.54
39,0.2949663414139604,0.4009485082866187,0.54,0.13027971882970127,echo,0.04591836734693878,0.18177309256392005,0.5850267612124475,0.1355932276424017,16,164,0.08888888888888889,0.54
40,0.29496892399212077,0.400952690800123,0.54,0.13027971882970127,echo,0.04591836734693878,0.18173324119106374,0.5850152240065801,0.13556222832055959,16,164,0.08888888888888889,0.54
41,0.2949752972745127,0.40095700072242985,0.54,0.13027971882970127,echo,0.04591836734693878,0.18170086424873075,0.5850080762487486,0.13552666922601372,16,163,0.0893854748603352,0.54
42,0.2949803450080903,0.40096337878732335,0.54,0.13027971882970127,echo,0.04591836734693878,0.181653658345899,0.5850007794720402,0.13549574149608712,16,164,0.08888888888888889,0.54
43,0.2949784137406139,0.4009651930348101,0.54,0.13027971882970127,echo,0.04591836734693878,0.18159615343302177,0.5849921862107098,0.13546657435184448,16,164,0.08888888888888889,0.54
44,0.2949808432371261,0.4009681272427387,0.54,0.13027971882970127,echo,0.04591836734693878,0.1815611347321304,0.584985146612492,0.13542794639109054,16,163,0.0893854748603352,0.54
45,0.2949822876357056,0.40097014761978483,0.54,0.13027971882970127,echo,0.04591836734693878,0.18150098560322134,0.5849779729930727,0.13540066450330224,16,164,0.08888888888888889,0.54
46,0.2949831647882526,0.4009708848980942,0.54,0.13027971882970127,echo,0.04591836734693878,0.1814593230662023,0.584970563147077,0.13536488592391963,16,163,0.0893854748603352,0.54
47,0.2949809853141633,0.4009675114756097,0.54,0.13027971882970127,echo,0.04591836734693878,0.18142876604341307,0.5849533697013339,0.13533867025697854,16,163,0.0893854748603352,0.54
48,0.2949800849957155,0.4009692854406775,0.54,0.13027971882970127,echo,0.04591836734693878,0.1813912444544512,0.5849458613430493,0.13530518952412948,16,163,0.0893854748603352,0.54
49,0.2949795352084667,0.4009694500103581,0.54,0.13027971882970127,echo,0.04591836734693878,0.1813423926021921,0.5849397082477334,0.13527358287133565,16,162,0.0898876404494382,0.54
