step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.06423716950177683,0.5031560583541164,0.0022125537220777916,0.15,0.012663368377654092,5.924508664213926e-05,0.006108843108974443,0.3290220395185168,0.05,curated
1,0.05980702838753637,0.4888779476468755,0.008620463928173403,0.1,0.2789418688970041,0.00023709706417441128,0.13792832076475295,0.02818356627875744,0.05,curated
2,0.0591209604277038,0.4822031791761173,0.01925925925925924,0.0,0.4736790767787664,0.0004893030256877065,0.23438782352705645,0.022038779667328468,0.05,curated
3,0.059043260506536514,0.4789297833813773,0.01925925925925924,0.0,0.6167863007845547,0.0006474412509905274,0.305255207249229,0.01755694903022075,0.05,curated
4,0.05669468814907094,0.47804978754721467,0.02356300343912198,0.0,0.7222640694228807,0.0005745176061724617,0.35754887952304776,0.013886301646730744,0.05,curated
5,0.05571266011959877,0.47791091631185867,0.02648435461841835,0.0,0.7992384949204667,0.0004266061810682809,0.3957030798556028,0.010933054453375916,0.05,curated
6,0.054721659680713165,0.47811714983873016,0.028429205249895565,0.0,0.8558262239965814,0.00027941264707973673,0.42372812595977427,0.00827405911890537,0.05,curated
7,0.054350006695332256,0.4783038984723209,0.022306211812304372,0.0,0.8969882709182221,0.00016509661886134086,0.44409900599600527,0.006113791581316406,0.05,curated
8,0.054138181379653455,0.47820592389711813,0.025902756667679893,0.0,0.9265895593816458,9.39170653458894e-05,0.45874995309924393,0.004481075552708091,0.05,curated
9,0.05405141024698509,0.4780652166759157,0.025902756667679893,0.0,0.9478571286806162,5.087814531724507e-05,0.46926900366537466,0.003206817339930694,0.05,curated
10,0.053990705339980176,0.4780355656858653,0.025902756667679893,0.0,0.9630607016950858,2.711470973988313e-05,0.4767918579262001,0.002301801995285473,0.05,curated
11,0.05396679232303472,0.4780083779526909,0.025902756667679893,0.0,0.9738979253708543,1.4190512507113129e-05,0.48215344529396076,0.001649408231361349,0.05,curated
12,0.053968907438312105,0.4779932318112779,0.025902756667679893,0.0,0.9815822417458584,7.363245215262719e-06,0.4859534231760601,0.0011807503963289889,0.05,curated
13,0.05395925428844825,0.47800065121893026,0.025902756667679893,0.0,0.9870275488962544,3.77245745351192e-06,0.48864627165604024,0.0008420696859380428,0.05,curated
14,0.05395764986840446,0.47799116854113327,0.025902756667679893,0.0,0.9908691319290912,1.9046963997484067e-06,0.49054537749930494,0.0005962039433444488,0.05,curated
15,0.05395361443146874,0.4779894595952799,0.025902756667679893,0.0,0.9935785529821873,9.552980720807711e-07,0.4918847256545116,0.0004209483100792966,0.05,curated
16,0.05395402281459865,0.4779885993855065,0.025902756667679893,0.0,0.9954877703318488,4.784013106713127e-07,0.49282829957607727,0.000297356270635305,0.05,curated
17,0.053953271687579296,0.4779888740994427,0.025902756667679893,0.0,0.996831776222736,2.374413639178964e-07,0.4934926118361717,0.00020913646934474174,0.05,curated
18,0.05395270428457169,0.4779893031488275,0.025902756667679893,0.0,0.997776546069471,1.178851802807726e-07,0.49395953461122616,0.00014718244633172618,0.05,curated
19,0.05395274376091159,0.4779894074626771,0.025902756667679893,0.0,0.9984402114131075,5.840712871735997e-08,0.49428751767942286,0.00010356795786194084,0.05,curated
20,0.053952694130366456,0.47798948954692283,0.025902756667679893,0.0,0.9989062617802514,2.8828907348770905e-08,0.494517848484453,7.277264075923995e-05,0.05,curated
21,0.05395265016282595,0.47798947097130273,0.025902756667679893,0.0,0.9992332736979551,1.4216515150934674e-08,0.49467945915784517,5.1092817025875094e-05,0.05,curated
22,0.053952676690716454,0.47798943080056994,0.025902756667679893,0.0,0.9994626540751735,6.997319100122901e-09,0.49479281978157524,3.5828030610076665e-05,0.05,curated
23,0.05395270219214039,0.4779894060932183,0.025902756667679893,0.0,0.9996234974159625,3.441849198676847e-09,0.49487230676174976,2.512038075636269e-05,0.05,curated
24,0.053952705014895914,0.4779894063068761,0.025902756667679893,0.0,0.9997362479104729,1.6913922483935271e-09,0.49492802788871665,1.760836998428772e-05,0.05,curated
25,0.053952703481970996,0.47798942810926415,0.025902756667679893,0.0,0.9998152671652474,8.308375638840612e-10,0.4949670779713777,1.2338000452132292e-05,0.05,curated
26,0.0539527054003682,0.4779894263711636,0.025902756667679893,0.0,0.9998706208474839,4.0772457003848505e-10,0.4949944335520287,8.641650745033757e-06,0.05,curated
27,0.053952703554377764,0.4779894225463729,0.025902756667679893,0.0,0.999909393750929,2.000737402050261e-10,0.49501359448078786,6.053300338066947e-06,0.05,curated
28,0.05395270208588086,0.47798942090327046,0.025902756667679893,0.0,0.9999365523068423,9.81198080360398e-11,0.49502701585940345,4.238557240512364e-06,0.05,curated
29,0.05395269977695674,0.47798942092351626,0.025902756667679893,0.0,0.9999555729603107,4.811089488683178e-11,0.4950364154957058,2.967673905089896e-06,0.05,curated
30,0.05395269899380339,0.4779894211696955,0.025902756667679893,0.0,0.9999688932579722,2.358698735422591e-11,0.4950429982053057,2.0777193039123174e-06,0.05,curated
31,0.053952698151104,0.47798942059382077,0.025902756667679893,0.0,0.9999782208123469,1.1562580268319853e-11,0.4950476077226819,1.454646808980442e-06,0.05,curated
32,0.05395269806098863,0.47798942073308837,0.025902756667679893,0.0,0.9999847519744134,5.667556163531511e-12,0.4950508353092652,1.0183689087739367e-06,0.05,curated
33,0.05395269812838021,0.4779894210212417,0.025902756667679893,0.0,0.999989324903959,2.778022128875816e-12,0.4950530951780862,7.129425466700923e-07,0.05,curated
34,0.053952698153717844,0.47798942097197844,0.025902756667679893,0.0,0.9999925265323246,1.361492342570854e-12,0.49505467737875086,4.990996248466217e-07,0.05,curated
