step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.06423716950177683,0.5031560583541164,-0.0306029673099971,0.15,0.015708101422387134,7.055345790072916e-05,0.00792721269297686,0.30085917136920715,0.05,mixed
1,0.06183291225736728,0.49578074473520384,-0.027350413033950024,0.1,0.2538850279347318,0.007351513124467176,0.12660203676824872,0.13396991884850565,0.05,mixed
2,0.06332000856732553,0.4928667081092748,-0.018576356648039655,0.06,0.4346434823779029,0.016110087370080878,0.2164045375735954,0.11397070653566033,0.05,mixed
3,0.06216268378792872,0.48605380926169944,-0.01539301682651277,0.04,0.5688716483383669,0.024457675503034446,0.28279568605685407,0.10156421401254036,0.05,mixed
4,0.061725216147817286,0.48258496874943135,-0.006236391647669379,0.04,0.6670200832641139,0.02679328107772686,0.3320968456841299,0.09079574888532548,0.05,mixed
5,0.061795714859897995,0.4804407258828508,0.016049636078929744,0.04,0.7400293432024536,0.02924017564099604,0.3682849232872766,0.08204289777523002,0.05,mixed
6,0.06374835582306083,0.47711788451938775,0.016049636078929744,0.02,0.7966999184583392,0.029793039451244806,0.3956544699579628,0.07173476743169103,0.05,mixed
7,0.06133003289692947,0.473959216165444,0.031571331171993545,0.01,0.8397610563463815,0.02737213677896998,0.41624915110364213,0.06252966764900833,0.05,mixed
8,0.060804218076835205,0.4719735896303815,0.04322890886617098,0.01,0.8704326508088855,0.026474781169150922,0.4309472408012776,0.05672349874827276,0.05,mixed
9,0.059417972841933925,0.46931005805583004,0.04607327816226719,0.01,0.8940136646589129,0.026243864264706502,0.44232660678160857,0.051282800127041096,0.05,mixed
10,0.05944956515250985,0.4689353022326047,0.028348219894849473,0.01,0.9098853042565651,0.026876992231650087,0.45011177546570863,0.04872392133879771,0.05,mixed
11,0.059485015501883155,0.4665462455852866,0.04599414323360979,0.01,0.923391430442759,0.026779392455321384,0.4565230976849769,0.04491357747433597,0.05,mixed
12,0.05944982643377378,0.46571094135302227,0.04823827244179453,0.01,0.9331200351548441,0.02686469154443528,0.46113107227183714,0.04201863616758132,0.05,mixed
13,0.05893475380664728,0.46487025198844845,0.04147955664274063,0.01,0.9404047962567708,0.027029873094656723,0.4646090679328094,0.03994303075231457,0.05,mixed
14,0.05867229782654434,0.46391254344653055,0.04147955664274063,0.01,0.9457764919287694,0.02719704476806549,0.46721678019580426,0.03839078022177802,0.05,mixed
15,0.05815979663530706,0.4634807058094957,0.04823827244179453,0.01,0.9495201276082241,0.027386828511781407,0.4690850606842594,0.037709394425623086,0.05,mixed
16,0.0578177148224165,0.4623969571353458,0.04147955664274063,0.01,0.9524940777205246,0.027529455340176114,0.4705284674423849,0.0370028066970616,0.05,mixed
17,0.05730164288006931,0.46185852721297904,0.014263522101398184,0.01,0.95462157835584,0.027614734203802952,0.4715623855668409,0.03650397284217235,0.05,mixed
18,0.05635254233639385,0.46044747131736224,0.029351623668155746,0.01,0.9565023821858502,0.027697970367919166,0.47245291358883285,0.03600136113941574,0.05,mixed
19,0.05571667569803964,0.4597866717473494,0.027436383969236696,0.01,0.957998177522187,0.027752617817666126,0.4731602687956771,0.035502345375043945,0.05,mixed
20,0.055339180423850394,0.4592076550679425,0.0018904024183423228,0.01,0.9591650219150205,0.027799898983845557,0.4737300908380411,0.0351062321643758,0.05,mixed
21,0.05523458929288793,0.4589807260006095,-0.0036617746591311386,0.01,0.9599546709652855,0.027839555825128495,0.4740856800246043,0.034937940603060866,0.05,mixed
22,0.054521486732919094,0.45831587354619463,-0.014062663107505629,0.01,0.9607436342870834,0.027870861609687093,0.4744665901823716,0.034654569292573004,0.05,mixed
23,0.0544399758267366,0.45830213274376896,-0.014062663107505629,0.01,0.9614203684799996,0.02789295748145773,0.47476811588734646,0.034320058953781825,0.05,mixed
24,0.054192851311108896,0.45798679810790177,-0.009610659582515675,0.01,0.9619673037958111,0.027919895397284063,0.47503201343038576,0.03413805684979522,0.05,mixed
25,0.054167414895564384,0.4579457585663226,-0.009610659582515675,0.01,0.9625763206236195,0.027947038624738862,0.47531016104231577,0.03390853423580381,0.05,mixed
26,0.05376498624244894,0.45718511902215686,-0.009610659582515675,0.01,0.9628652529055737,0.02796221811514118,0.4754591222747619,0.03382819661352997,0.05,mixed
27,0.05390551098185885,0.4571118545033078,-0.011731911934556817,0.01,0.963425615844016,0.027979943574711515,0.4757251484376118,0.03349504089333564,0.05,mixed
28,0.05393701075586468,0.457014417142615,-0.009610659582515675,0.01,0.9636949851264012,0.02799326681536988,0.475868371987329,0.03337947983981707,0.05,mixed
29,0.05374554818444314,0.45697737202863004,-0.009610659582515675,0.01,0.9639460611855646,0.028006831869229764,0.4759675797697057,0.033272598503851045,0.05,mixed
30,0.05370340922991832,0.4568058105121961,-0.011731911934556817,0.01,0.964279906717062,0.02802103324516324,0.47612781930495,0.03310919786759072,0.05,mixed
31,0.05359726120838923,0.45670828165248895,-0.011731911934556817,0.01,0.9646698889385124,0.028034298108090466,0.47631301423766176,0.03286731325637575,0.05,mixed
32,0.05346331740236389,0.45674685370475465,-0.014062663107505629,0.01,0.9650030507412437,0.02804900314106653,0.47649671070534616,0.032676023705369206,0.05,mixed
33,0.053320413172190176,0.45647148489445344,-0.009610659582515675,0.01,0.965138498970285,0.02805735138534722,0.47656274804317755,0.032658120031464365,0.05,mixed
34,0.05342536845850932,0.4564278378654698,-0.011731911934556817,0.01,0.9653626355047109,0.028067963107331995,0.47666318836864036,0.03253113238397375,0.05,mixed
35,0.05344934308218272,0.456502236172056,-0.009610659582515675,0.01,0.9657130725103447,0.028083269824479947,0.4768331283088709,0.03232552983778461,0.05,mixed
36,0.053225298799931195,0.4565152170098138,-0.009610659582515675,0.01,0.9659418479511046,0.028091540274297912,0.4769276130422956,0.03216413327937758,0.05,mixed
37,0.05299243184920214,0.4564415320528887,-0.009610659582515675,0.01,0.9662077098771833,0.028102852875012484,0.47705986865140376,0.03200792955336979,0.05,mixed
38,0.05324539955232292,0.4564882516135675,-0.009610659582515675,0.01,0.9664297262965806,0.028113818780170878,0.47716595172871606,0.03191474447022742,0.05,mixed
39,0.05280687069620991,0.45643601003220013,-0.009610659582515675,0.01,0.9664781445460328,0.02811510506659718,0.47717271643421877,0.03190360419951375,0.05,mixed
40,0.05270571316241015,0.4563923268923362,-0.009610659582515675,0.01,0.9666778905728763,0.028122630598683078,0.4772626951214267,0.03176298114364528,0.05,mixed
41,0.05270743079441338,0.45660033010682094,-0.009610659582515675,0.01,0.966869927138683,0.02813084882503398,0.47734852739809214,0.03164918642119488,0.05,mixed
42,0.0525562411609512,0.4565310037027526,-0.009610659582515675,0.01,0.9670266677628243,0.0281382227483694,0.47741827886729327,0.031554970309052945,0.05,mixed
43,0.0525361667763048,0.456409575074396,-0.009610659582515675,0.01,0.9672283994431372,0.028147774720043938,0.4775145478649956,0.031420285175528445,0.05,mixed
44,0.05229542855294298,0.4563131490464097,-0.009610659582515675,0.01,0.9673356304341728,0.028152594697210244,0.47755968409527827,0.0313460901986582,0.05,mixed
45,0.05219832364210801,0.45638663062531054,-0.008223415170937045,0.01,0.9674889919806025,0.02816017520249267,0.4776356361171802,0.03125729592528899,0.05,mixed
46,0.05216084876952807,0.45624787847543596,-0.008223415170937045,0.01,0.9675977311193381,0.028165263500423827,0.4776915940983992,0.03117884387453259,0.05,mixed
47,0.05212708751698646,0.45624357149273,-0.008223415170937045,0.01,0.9676940314162256,0.028170556390924754,0.4777442289728049,0.031130434061810347,0.05,mixed
48,0.052252897717088895,0.45617005574776476,-0.009610659582515675,0.01,0.9677900531683602,0.02817547398688021,0.47779068300115446,0.03106875120753955,0.05,mixed
49,0.052254563700504006,0.45610143741576137,-0.009610659582515675,0.01,0.9679196690008915,0.028182239828490996,0.47784467595079894,0.030990833642889442,0.05,mixed
50,0.05225408479373514,0.45591353992890843,-0.011731911934556817,0.01,0.9681061624117221,0.02819125172226198,0.47793409853509705,0.030870830538226528,0.05,mixed
51,0.05232772820420044,0.45592516871082134,-0.01075043734393928,0.01,0.9682323943430978,0.02819834012508374,0.47800024797581536,0.03080620968250841,0.05,mixed
52,0.05224145674998791,0.45581558722163107,-0.014062663107505629,0.01,0.9682968999809853,0.02820222388157749,0.47803168473010255,0.030793673794401143,0.05,mixed
53,0.05230763199020291,0.45583369228276843,-0.01075043734393928,0.01,0.968430300436453,0.028208861951984368,0.47809465103671506,0.03070658896904689,0.05,mixed
54,0.052215121057707946,0.45583480292041906,-0.014062663107505629,0.01,0.9685264052977436,0.0282140460486728,0.4781344282811193,0.030664301984276676,0.05,mixed
55,0.05226722605667161,0.4558232786524949,-0.009610659582515675,0.01,0.968653500043835,0.028220985993187488,0.4781951844982838,0.0306009620974406,0.05,mixed
56,0.0522522588379674,0.4559519632673192,-0.009610659582515675,0.01,0.9686598491535012,0.028221403660349798,0.4781998335501797,0.0306116351431821,0.05,mixed
57,0.052219480269755814,0.4559101716300438,-0.009610659582515675,0.01,0.96872220158658,0.028224823718935855,0.47822833843125145,0.030579047181387722,0.05,mixed
58,0.05229811706219731,0.4559446913369172,-0.011731911934556817,0.01,0.9687573485644085,0.02822669010749578,0.47824548003155776,0.030552841619705902,0.05,mixed
59,0.05236153316473155,0.45600566651987906,-0.009610659582515675,0.01,0.9688185005917476,0.0282299648589633,0.47827497060213675,0.030512124950553526,0.05,mixed
60,0.052289124334411304,0.4560433832040261,-0.011731911934556817,0.01,0.9688629754681399,0.028232266608106765,0.4782924799393249,0.030481275908461357,0.05,mixed
61,0.05226945385361683,0.4560615821446571,-0.009610659582515675,0.01,0.9689109984740767,0.028235054144691903,0.4783164862911415,0.030459884344994775,0.05,mixed
62,0.05225023135347275,0.45605294994250767,-0.009610659582515675,0.01,0.9689638155291201,0.02823795469114897,0.47834179127406534,0.03043070430610413,0.05,mixed
63,0.05215317426873436,0.4559536705782645,-0.009610659582515675,0.01,0.9690592107752074,0.02824311438028622,0.4783873429523575,0.0303730922212074,0.05,mixed
64,0.052169849696584863,0.45597899045715556,-0.009610659582515675,0.01,0.9691148814704141,0.028246171026003228,0.4784085352978301,0.030340823002873805,0.05,mixed
65,0.052200085916258764,0.4559471563516546,-0.01075043734393928,0.01,0.9691439801311128,0.028247827129267766,0.4784216271356396,0.030332145720766732,0.05,mixed
66,0.05225475898373817,0.45602543078915325,-0.01075043734393928,0.01,0.9691744432138577,0.028249625433529185,0.4784381245339697,0.030322999221489084,0.05,mixed
67,0.05233511467595872,0.4560705558417573,-0.01075043734393928,0.01,0.9692120056309678,0.02825167207281171,0.4784558353396988,0.030300923613163347,0.05,mixed
68,0.052422047727360296,0.45612557475528825,-0.01075043734393928,0.01,0.9692104182070759,0.028251510406119347,0.4784550230089358,0.03029956663053014,0.05,mixed
69,0.05238778835340277,0.45613105968570394,-0.01075043734393928,0.01,0.9692699065245648,0.028254744454756158,0.4784831345339192,0.03025893915619406,0.05,mixed
70,0.05238115000591013,0.45616969530273005,-0.01075043734393928,0.01,0.9693019847000961,0.028256532173312504,0.47849722149803775,0.03024597542309266,0.05,mixed
71,0.052417122995380885,0.456185869913328,-0.01075043734393928,0.01,0.9693478135829523,0.028259057604606005,0.47851942826127436,0.03021701401600396,0.05,mixed
72,0.05252790679593902,0.4562305036521802,-0.01075043734393928,0.01,0.9693996492632734,0.028261876199183827,0.4785423516189978,0.030180661623979574,0.05,mixed
73,0.05254920772878977,0.45630691057970374,-0.01075043734393928,0.01,0.9694414281559761,0.028264177313021374,0.47856072541379047,0.03015287977109253,0.05,mixed
74,0.05250251605299058,0.4563754322987886,-0.01075043734393928,0.01,0.9694539826981284,0.028264853114641823,0.47856870853973876,0.030141997111886382,0.05,mixed
75,0.05249343820292701,0.4563787960550673,-0.01075043734393928,0.01,0.9694755441973052,0.02826607091093476,0.4785799558772302,0.030128801010940974,0.05,mixed
