step,mean_belief,polarization_var,assortativity,share_extremes,mean_influence,var_influence,mean_cred_weighted_influence,influence_gini,elite_fraction,regime
0,0.17201267283850438,0.5078006076807196,0.019982985815725978,0.15,0.026365697794269217,0.0006648372668238173,0.012860481606346886,0.521271144036308,0.03,echo
1,0.17680990499727883,0.5009850213920928,0.057780782303344436,0.11,0.22853370779466,0.014717421565117088,0.11390902995659392,0.25810084178811465,0.03,echo
2,0.18019954830979032,0.49915064662990544,0.10345755415041032,0.07,0.3807201633890627,0.039766871837253366,0.18976390057958906,0.24162578101584245,0.03,echo
3,0.18280466714652369,0.4981522817866363,0.10693979281875539,0.05,0.49159206749689993,0.0662683695606152,0.24503612102044076,0.2359997621179413,0.03,echo
4,0.1837429983987566,0.4970551753912307,0.1220690192412558,0.01,0.5717555492905472,0.08974929770818227,0.2850154457119378,0.23267581125615905,0.03,echo
5,0.18466678101950582,0.49642734733649907,0.1150190114068441,0.01,0.6288997852443297,0.10871905111575643,0.31355006491154186,0.2307371171569531,0.03,echo
6,0.18662472230740085,0.4962013384848338,0.1150190114068441,0.01,0.6712918921705762,0.1206769564362085,0.33447605023535026,0.22700592415893867,0.03,echo
7,0.18540393208972547,0.4931574200604258,0.12782547058360247,0.01,0.7069351535127758,0.12441639487694177,0.3516533470507807,0.21823755289034508,0.03,echo
8,0.18494044785998529,0.4918616399834939,0.1426841889437816,0.01,0.7332865807762522,0.12829360982295396,0.3642854093173892,0.21118192808033298,0.03,echo
9,0.18528518394079957,0.49159402330548674,0.14354380598645403,0.01,0.7529098802778291,0.1323773936958072,0.3736384850004182,0.20582451723427098,0.03,echo
10,0.1857180045282347,0.49151157425655834,0.13293519132935194,0.01,0.7672065152184828,0.1360395432521603,0.3804447279471693,0.20190788781338326,0.03,echo
11,0.18592496082092913,0.4913211319785077,0.12383021390374332,0.01,0.7775652173919678,0.139032660080228,0.38537218532155343,0.19905864306157453,0.03,echo
12,0.18616501726764284,0.4912213344909722,0.1196851740953033,0.01,0.7851659662772009,0.14141722911587976,0.38899298003084887,0.19694707906253187,0.03,echo
13,0.18632382533466732,0.49108306303647575,0.1196851740953033,0.01,0.790690830177542,0.1432418546208612,0.3916314508511484,0.19540016165166108,0.03,echo
14,0.18651407782382642,0.49107103450824213,0.10993540991557008,0.01,0.794843270127126,0.14466129667375868,0.3936141906790472,0.19422525614886582,0.03,echo
15,0.18660379226412452,0.4909516630027976,0.10993540991557008,0.01,0.7979190022994804,0.1457358230573064,0.3950808449513575,0.19332779247236032,0.03,echo
16,0.18661617425683058,0.49078352292904376,0.11041893786014641,0.01,0.8003052077149683,0.1465841981848176,0.39622117657587164,0.192609156548083,0.03,echo
17,0.18663808304970828,0.4906311366679551,0.11041893786014641,0.01,0.8021260501643,0.14723956874623487,0.3970929738033795,0.19206089916581562,0.03,echo
18,0.1866591309176799,0.49049631462397447,0.11041893786014641,0.01,0.8035062266412112,0.14774047376952573,0.39775173408835157,0.19164224847974837,0.03,echo
19,0.1866810842805576,0.49038146475806227,0.11041893786014641,0.01,0.8046322910798888,0.1481513933058754,0.39829168034505985,0.19128696493392852,0.03,echo
20,0.18671087770997224,0.4902956252451466,0.11041893786014641,0.01,0.8054903472734642,0.14846644223803673,0.3987015520882297,0.19102938880958406,0.03,echo
21,0.18835964190952667,0.49127403620770776,0.11041893786014641,0.01,0.8082977535590439,0.14558056885840603,0.39954172558473894,0.18863512745735306,0.03,echo
22,0.1892300610329554,0.49195293419815855,0.11092966818625113,0.01,0.8106146629228816,0.14397819612748353,0.4002330576079586,0.1866655467091104,0.03,echo
23,0.18967712448661808,0.49231678546346463,0.11092966818625113,0.01,0.8125187085167357,0.1432323332693397,0.4008067416110436,0.1850232272740692,0.03,echo
24,0.18994389389377175,0.4925312482464508,0.11092966818625113,0.01,0.8140993877767341,0.14299623578027362,0.4013067347645622,0.18370142690030733,0.03,echo
25,0.19007415786071177,0.49260194994070317,0.11092966818625113,0.01,0.8153319377642048,0.14300184061844493,0.401701689601312,0.18268581727427374,0.03,echo
26,0.19015464099808824,0.4926176907942844,0.11092966818625113,0.01,0.8162801564503793,0.14311061851818993,0.40201484990076625,0.18192890502585385,0.03,echo
27,0.19018987974720897,0.4925897998823608,0.11092966818625113,0.01,0.8170042411905843,0.1432505221736454,0.4022591399715099,0.18136665191994766,0.03,echo
28,0.19018494726933763,0.4925299406542931,0.11092966818625113,0.01,0.8175733067051513,0.1433943322134538,0.4024621946575587,0.1809451436079192,0.03,echo
29,0.1901882633261818,0.4924825762631116,0.11092966818625113,0.01,0.8179906409520628,0.14351318981888603,0.4026126858265349,0.18063986183600123,0.03,echo
30,0.19019670436720257,0.4924351363070148,0.11092966818625113,0.01,0.818311701999354,0.14361240616874046,0.40273132103486153,0.18041847506158062,0.03,echo
31,0.19018470079823036,0.4923725157956186,0.11092966818625113,0.01,0.8185680213592196,0.14369568519982165,0.40282930888322355,0.1802493652540862,0.03,echo
32,0.19018048640368018,0.4923164533567181,0.11092966818625113,0.01,0.8187731370018213,0.14376434861600454,0.40291249191964096,0.1801233335155135,0.03,echo
33,0.1901843456099211,0.49227439737870987,0.11092966818625113,0.01,0.8189261841333203,0.14381620931962447,0.402973757354996,0.1800269721597374,0.03,echo
34,0.19019338427540033,0.492242124939502,0.11092966818625113,0.01,0.8190574985730577,0.14386135992044508,0.40302826798964125,0.17994912666878463,0.03,echo
35,0.19019909113528158,0.492203970640224,0.11092966818625113,0.01,0.819170518605184,0.1439003627178303,0.4030761557944891,0.17988268156648587,0.03,echo
36,0.190179233630057,0.4921500783489033,0.11092966818625113,0.01,0.8192698455216539,0.14393479329335335,0.4031199421724233,0.17982884126853052,0.03,echo
37,0.19018312586465097,0.49211766094440945,0.11092966818625113,0.01,0.8193410554420659,0.1439594066431587,0.403152125881536,0.17978894946472393,0.03,echo
38,0.19015772158706679,0.49204951731600105,0.11092966818625113,0.01,0.8194108788579649,0.1439835846728905,0.40318271322572746,0.17975007762995404,0.03,echo
39,0.190143598097988,0.4920028273564669,0.11092966818625113,0.01,0.819464622772726,0.1440021715079295,0.40320642168246645,0.17971842327353243,0.03,echo
40,0.19012143147731753,0.49194460274778995,0.11092966818625113,0.01,0.8195159636528164,0.14401995849864954,0.4032298655438553,0.17968997348056007,0.03,echo
41,0.19012449741083665,0.49191942754706175,0.11092966818625113,0.01,0.8195602620691369,0.14403521872068178,0.4032500125178414,0.17966682841212006,0.03,echo
